x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_10_7g	Y_20180224_15102_11_4g	Y_20180224_15102_12_13g	Y_20180224_15102_12_8g	Y_20180224_15102_13_2g	Y_20180224_15102_13_5g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_15_5g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_18_1g	Y_20180224_15102_18_2g	Y_20180224_15102_2_8g	Y_20180224_15102_20_3g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_25_3g	Y_20180224_15102_25_9g	Y_20180224_15102_26_10g	Y_20180224_15102_26_3g	Y_20180224_15102_26_4g	Y_20180224_15102_27_12g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_2g	Y_20180224_15102_28_5g	Y_20180224_15102_7_1g	Y_20180224_15102_7_5g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
1.3342	25091.074	18636.338	16992.256	19075.396	17376.809	18923.072	18926.992	19843.998	19646.506	22633.141	18808.453	20976.672	21318.094	21741.084	21028.555	20758.432	15706.9	18267.492	22428.479	21619.826	27022.275	25610.281	16462.133	20087.693	20711.775	19852.625	22441.23	20019.092	21390.541	19850.582	15116.771	23334.688	21154.381	19520.367	19008.617	21372.432	18491.801
1.4676	23762.842	18145.891	15785.093	18056.432	16263.715	17994.828	17196.367	18576.865	17621.887	23147.729	18367.818	21486.969	21071.518	21092.686	19957.775	20356.229	17077.463	20184.371	22451.311	23215.223	25981.393	24486.895	16084.397	20466.664	19120.328	18979.166	22715.09	19392.533	20388.17	20557.404	15699.24	20292.32	22339.139	19903.869	19647.178	22041.137	18921.48
1.6011	22534.963	18516.434	15553.042	17251.154	14555.403	17560.006	18063.344	17260.65	17233.441	22124.818	17309.66	19900.441	22207.012	20293.297	18989.463	20232.301	16744.25	20275.578	22246.926	23619.402	24050.383	25619.637	16166.649	21320.244	19855.416	18790.783	21975.203	18418.324	20939.408	21646.848	15434.084	19371.111	23369.949	20393.646	19485.158	21929.977	17877.27
1.7345	21824.713	18778.568	17174.453	16947.488	14946.083	16853.303	19463.385	17105.652	18329.879	21414.105	18061.635	18317.488	22279.293	18778.104	18084.088	18682.449	15566.97	18563.271	22735.49	21642.637	22816.928	28511.32	16834.963	20341.352	18577.574	18012.82	22454.674	19111.594	20491.189	21999.514	14802.006	19150.277	22952.062	20074.779	18584.76	22870.504	18094.625
1.8679	23160.055	18896.625	18713.004	15119.569	14810.053	17338.107	18908.49	17411.459	18822.219	20429.826	17958.191	18467.488	23425.049	19656.955	18635.561	17404.537	14967.07	17891.318	21936.861	21311.842	24154.213	28122.805	17658.324	19420.379	18276	18318.854	23718.617	19371.426	18564.924	22172.092	14606.633	19518.393	23675.488	20016.572	17682.777	21469.154	17666.74
2.0013	24664.469	18053.107	18459.701	14930.914	15009.518	17195.416	18301.525	18368.422	18044.953	20648.727	18117.674	18047.832	23438.215	18225.025	17665.795	16250.278	15884.447	17677.012	22426.557	20538.061	23943.959	25367.592	18353.916	19299.031	19360.369	19154.965	23852.344	18389.545	18757.482	21108.256	13693.631	20456.16	21789.479	19718.719	16671.268	19715.439	15941.503
2.1348	24179.68	17379.402	17870.896	14627.417	14272.617	16012.972	19813.439	18173.762	17884.859	19746.947	19117.23	18395.518	21780.068	17582.043	16821.504	16755.721	16060.218	16726.096	23584.473	19496.416	22742.553	24188.242	17430.334	19107.568	19749.908	18647.18	22465.346	18674.715	19200.727	19232.438	13763.029	21068.225	20180.125	18495.684	15865.288	19625.918	15622.406
2.2682	24772.609	17096.424	17480.494	14508.371	14329.867	17205.938	20138.383	17731.088	18646.385	18923.43	18290.09	18702.072	22026.416	17098.957	16916.434	17665.748	16653.906	16195.497	23291.777	19756.135	22835.623	24044.227	16457.816	16764.621	18052.795	17140.988	20104.459	18285.742	17818.771	17890.244	14021.778	22423.674	17230.611	17400.59	14424.032	19073.797	16237.971
2.4016	22605.588	16448.914	18727.715	14656.567	14184.466	16762.182	18778.658	18619.352	19721.963	19635.08	17040.357	18845.406	24656.225	18024.162	16423.082	18068.473	15980.151	17014.309	22419.422	19080.838	22951.826	24173.311	16421.967	15373.187	17043.227	17156.863	19726.047	18969.77	16916.764	18430.986	14143.062	23294.889	16304.395	17417.068	14933.089	18126.658	16360.422
2.535	20846.75	16824.48	19190.283	15837.81	14482.537	17423.662	19662.963	19066.445	18782.42	21504.934	16859.875	19112.092	24663.438	17033.662	15922.688	17732.701	16420.926	16847.221	22873.533	17565.648	21245.453	24861.438	15093.152	15073.893	14493.128	17748.262	18497.352	19352.5	15891.857	17500.869	14533.932	22203.955	15366.146	17180.371	14831.773	17759.686	16980.881
2.6684	18403.445	16545.971	18678.033	15512.953	15015.604	16155.144	18335.967	19116.58	18831.422	22364.459	16249.858	18109.846	23502.889	17610.684	19004.666	17030.418	15886.322	16371.569	22630.68	16820.471	20532.174	24243.754	15556.07	14807.724	15124.943	16675.572	17417.609	17386.088	15459.829	16580.152	13862.922	21897.844	15869.163	15889.647	14497.583	18351.555	17590.24
2.8019	17299.982	15720.198	18370.053	15383.507	15123.462	15439.972	18024.373	17179.133	20644.475	22768.58	14788.452	17970.93	20228.135	17519.062	22801.248	15943.066	15639.517	16212.561	23981.984	16050.521	19712.914	25684.582	15456.096	15202.255	14670.103	15032.234	17442.838	17506.33	15360.929	17312.482	13122.601	23208.67	16325.562	16823.039	14635.125	20247.865	16369.739
2.9353	17018.523	14956.049	17937.596	14863.428	15450.704	14552.512	16826.398	15557.238	21690.822	20842.359	14967.032	18803.477	19251.34	17147.82	26131.492	15024.09	18167.625	16775.893	25751.883	17626.73	19162.084	25800.691	15924.175	14264.001	17648.221	14487.32	17282.887	15984.54	15128.59	18902.836	13232.591	23610.107	17007.238	17998.791	15186.879	21087.354	15387.3
3.0687	17341.43	14185.412	17538.062	14859.11	15207.475	16051.521	16129.206	14768.672	20168.908	20465.893	14036.389	18793.57	17695.496	16704.35	23991.447	15517.373	22020.205	16899.088	26077.604	18721.713	18885.93	29727.086	16030.463	13716.146	16868.84	14813.762	18596.328	15302.266	14851.032	20124.912	13976.438	21958.371	18537.631	19796.604	15055.072	21346.066	15233.048
3.2021	17164.564	13655.331	17544.479	14596.668	14906.007	17909.428	15635.469	15277.892	17734.391	24684.791	13780.104	18756.799	16877.719	17266.199	20717.232	16953.596	24757.695	15416.337	22927.656	22381.854	18361.047	37504.781	15229.835	13660.653	16227.508	15585.771	18461.748	14926.661	15977.276	20599.59	13952.982	20844.893	20723.49	20476.176	17614.492	20255.789	14903.911
3.3356	18581.076	13664.441	17020.908	14829.418	14009.196	17642.434	15706.797	14868.075	15794.253	28303.066	14111.73	18077.08	16795.602	18138.639	18007.23	17968.523	22633.02	15049.652	19619.088	22771.922	17377.061	42134.391	14624.361	13028.577	16741.955	15022.107	17431.459	14575.651	16784.271	19323.553	14082.111	18067.744	25451.486	19879.527	18678.25	18568.578	13968.525
3.469	20560.736	12841.363	16302.231	14990.196	14876.744	16047.205	15077.399	14680.476	14729.094	29340.83	14204.874	16218.217	16328.662	19207.965	18387.861	19097.773	17865.648	13792.537	18375.291	19935.141	16896.23	36916.102	14601.253	12333.523	16780.805	14286.773	16238.519	14155.021	16409.51	17632.553	13893.915	16015.729	25516.033	17085.027	17652.178	16883.359	13790.912
3.6024	21447.838	13638.416	17088.914	14450.809	15867.088	15088.047	14351.737	15018.93	13817.729	26014.705	14955.128	14571.921	15959.701	18796.748	20162.623	18085.305	14915.701	14281.761	19597.633	17198.389	17142.18	28753.234	14704.67	12796.163	16613.047	13940.379	16838.641	13851.237	15732.686	17246.697	13191.865	14889.633	23277.645	16233.807	17901.336	18317.186	13506.174
3.7358	20982.785	14417.792	16476.295	14971.381	16000.863	13953.988	14354.951	15182.77	13061.03	22101.77	14986.659	14688.252	14600.749	19486.43	21591.664	17985.145	15080.847	13836.638	21823.912	16243.076	16532.264	22987.266	15170.505	14209.412	16225.34	14440.556	15960.781	14705.83	15573.852	16234.172	13035.518	14981.545	21265.342	15231.098	17128.426	18046.018	13316.769
3.8692	18266.936	NaN	16284.981	15334.579	17125.451	14219.17	14824.083	14897.51	12543.823	18461.35	14992.372	14333.221	14066.503	19629.297	20696.127	17039.551	14023.194	15343.89	23581.232	15694.487	16649	20724.146	15459.286	15299.991	15231.004	14231.583	15891.722	14761.297	15362.877	15433.001	14044.867	15629.606	20330.754	15117.085	16691.695	17722.975	14497.193
4.0027	15866.802	NaN	15549.322	15820.363	NaN	14300.726	14939.302	15941.257	12588.851	16534.291	15002.899	14124.546	13731.639	NaN	NaN	17926.436	13743.13	15848.339	21214.361	16953.814	16791.234	19378.264	14216.706	16154.201	15072.378	13233.788	15590.624	15046.042	14887.504	NaN	14018.355	14689.32	20678.697	NaN	15461.49	17284.846	13267.896
4.1361	15115.014	NaN	16265.065	16135.756	NaN	14660.379	14449.511	NaN	13455.783	15401.021	14250.21	NaN	13247.101	NaN	NaN	18357.234	14068.641	NaN	16618.188	NaN	16670.668	18654.855	13908.894	16281.962	15986.981	13448.991	15760.384	15607.591	NaN	NaN	NaN	14677.685	20078.199	NaN	NaN	15403.208	NaN
4.2695	14488.845	NaN	17972.58	NaN	NaN	13836.889	14252.206	NaN	14632.977	NaN	14351.886	NaN	13218.692	NaN	NaN	NaN	NaN	NaN	15600.25	NaN	16162.936	18129.301	NaN	14846.593	NaN	13687.642	16600.594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15132.864	NaN
4.4029	14950.633	NaN	NaN	NaN	NaN	14620.861	NaN	NaN	NaN	NaN	14019.313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13770.775	NaN	15989.022	18497.301	NaN	15382.877	NaN	NaN	15906.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15216.078	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	14008.322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17025.281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14893.177	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
