x	Y_20180224_15102_1_3_s_g	Y_20180224_15102_10_4g	Y_20180224_15102_10_7g	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_4g	Y_20180224_15102_12_8g	Y_20180224_15102_14_5g	Y_20180224_15102_15_10g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_18_2g	Y_20180224_15102_18_4g	Y_20180224_15102_20_10g	Y_20180224_15102_20_11_S_g	Y_20180224_15102_22_1g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_4g	Y_20180224_15102_25_9g	Y_20180224_15102_26_1g	Y_20180224_15102_26_3g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_4g	Y_20180224_15102_27_7g	Y_20180224_15102_27_8g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_29_3g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
1.3342	26130.863	20557.344	18636.338	19516.225	21427.795	20372.275	20570.207	27670.543	17376.809	17565.307	17882.117	20976.672	24147.443	21028.555	17029.488	25254.26	21390.982	21808.664	21619.826	17697.82	20560.887	20087.693	18845.35	19852.625	26186.471	21390.541	20518.58	18824.564	25946.684	19850.582	23334.688	19096.705	19525.371	22464.262	26491.852	22725.957	17566.838
1.4676	24677.932	21218.361	18145.891	19371.143	21910.336	19781.768	19656.631	25467.002	16263.715	17317.605	17022.83	21486.969	23357.844	19957.775	17316.83	24774.006	21077.289	20518.992	23215.223	15318.294	17998.344	20466.664	17285.561	18979.166	24386.547	20388.17	21515.273	18199.732	26851.008	20557.404	20292.32	18683.475	18938.164	21431.832	27681.299	20769.461	16890.52
1.6011	21856.158	21548.773	18516.434	18095.957	21329.684	18884.459	19530.988	23807.902	14555.403	17452.193	15695.205	19900.441	22664.818	18989.463	15442.651	24930.369	19959.422	20947.078	23619.402	14804.508	17411.703	21320.244	16913.146	18790.783	22546.758	20939.408	20189.873	17687.953	27066.912	21646.848	19371.111	18456.52	18458.734	21116.1	25511.953	20278.113	16845.193
1.7345	18555.285	18744.562	18778.568	16292.464	20183.717	17868.232	20240.004	21453.178	14946.083	18274.387	18294.484	18317.488	22625.916	18084.088	15891.255	23532.77	18771.619	20168.053	21642.637	15632.645	16818.729	20341.352	16531.078	18012.82	19342.709	20491.189	18853.977	18409.646	28391.91	21999.514	19150.277	19168.617	18100.074	20430.322	19844.32	19381.859	17542.633
1.8679	17647.939	18291.111	18896.625	16838.59	19409.961	19218.41	21303.16	20976.754	14810.053	17612.188	17498.457	18467.488	21596.865	18635.561	17057.5	24271.094	19872.48	18933.297	21311.842	14333.36	18113.713	19420.379	16130.014	18318.854	17501.844	18564.924	18600.855	17646.383	25735.645	22172.092	19518.393	18844.281	18919.281	21260.449	16785.488	19584.891	15973.736
2.0013	17001.324	18471.561	18053.107	17223.697	18556.684	19221.896	20166.469	21637.875	15009.518	17017.893	17405.039	18047.832	21576.256	17665.795	17314.371	22831.303	20699.703	17007.305	20538.061	14243.104	18553.301	19299.031	16514.498	19154.965	18917.969	18757.482	21289.377	17073.16	24229.504	21108.256	20456.16	19466.439	19168.689	20953.545	17285.527	19840.129	15294.47
2.1348	17031.572	17991.027	17379.402	17364.508	17933.084	18141.945	18191.619	22953.457	14272.617	16638.002	18917.408	18395.518	21711.209	16821.504	17314.037	21154.932	19934.391	17185.16	19496.416	15152.643	16766.244	19107.568	16801.771	18647.18	20660.287	19200.727	20706.143	17941.656	21598.037	19232.438	21068.225	20243.291	19802.199	19212.332	19096.523	18528.48	16084.692
2.2682	17496.32	17829.752	17096.424	16682.812	17321.924	17834.678	17619.178	25874.049	14329.867	16292.249	18100.764	18702.072	21384.062	16916.434	17634.229	20240.564	18953.023	19025.904	19756.135	17107.812	14946.161	16764.621	17085.762	17140.988	21774.35	17818.771	21683.701	18449.547	20952.494	17890.244	22423.674	19328.008	20540.318	20689.99	19906.102	17827.717	14791.925
2.4016	16532.811	16862.506	16448.914	16550.865	17373.34	18591.805	17555.102	26478.775	14184.466	16194	18359.174	18845.406	22257.146	16423.082	17231.631	19466.031	18711.723	19235.064	19080.838	18147.445	14322.028	15373.187	17139.195	17156.863	24415.969	16916.764	22857.164	18565.496	20472.32	18430.986	23294.889	19379.395	18834.953	20122.34	19302.92	17124.096	15211.418
2.535	16459.82	15316.025	16824.48	16980.045	17531.988	19676.629	16650.408	22336.289	14482.537	16238.331	18264.061	19112.092	21597.285	15922.688	16864.76	18301.809	18532.461	18932.287	17565.648	18697.604	14117.353	15073.893	17327.303	17748.262	23457.014	15891.857	23622.906	19136.496	18634.619	17500.869	22203.955	20238.537	19136.318	19516.551	17848.754	16150.858	14005.233
2.6684	16896.555	13295.591	16545.971	18585.963	16897.668	18566.596	15944.464	19476.582	15015.604	16483.645	19073.854	18109.846	19285.578	19004.666	17692.842	17610.57	19552.443	18570.918	16820.471	16807.115	13815.576	14807.724	17770.062	16675.572	22697.908	15459.829	23402.164	19402.139	18457.223	16580.152	21897.844	19047.377	20580.627	19918.318	17508.451	16293.448	13264.479
2.8019	17355.584	13114.4	15720.198	18503.924	15661.725	17333.879	16322.947	17739.152	15123.462	18022.359	23172.809	17970.93	17859.104	22801.248	17038.588	17433.412	20944.328	18697.203	16050.521	15963.722	13116.215	15202.255	17035.924	15032.234	22693.279	15360.929	20922.771	20726.715	18189.842	17312.482	23208.67	17586.533	21249.232	20692.357	17112.545	15886.518	14159.672
2.9353	17028.91	13712.193	14956.049	20208.242	15677.797	16585.199	16286.154	18084.953	15450.704	18027.631	23666.807	18803.477	17939.984	26131.492	15555.594	15616.201	20723.09	16812.594	17626.73	15727.03	13366.534	14264.001	17809.648	14487.32	20387.506	15128.59	21875.828	21599.279	17722.305	18902.836	23610.107	15271.091	23171.945	21992.883	17855.594	15638.515	13864.488
3.0687	17298.982	13331.776	14185.412	19785.879	16599.652	14855.372	16581.68	17269.574	15207.475	17700.203	21865.309	18793.57	17502.863	23991.447	15233.751	16475.016	19440.008	16354.582	18721.713	16001.419	13386.202	13716.146	18728.391	14813.762	18766.898	14851.032	22395.629	20743.822	16530.166	20124.912	21958.371	14471.051	22304.41	21622.816	16980.887	14463.047	13709.955
3.2021	17381.629	13631.528	13655.331	18831.113	17032.363	13765.025	17016.654	15746.145	14906.007	17954.502	19701.605	18756.799	16541.867	20717.232	15089.479	16987.816	19136.148	15234.163	22381.854	14903.19	14173.235	13660.653	17994.949	15585.771	18103.584	15977.276	23354.031	19765.738	14474.567	20599.59	20844.893	15227.352	20312.566	20660.354	15381.356	14389.439	13427.215
3.3356	17415.943	14092.821	13664.441	17674.068	16802.887	13909.489	17938.621	16506.223	14009.196	20153.449	19391.154	18077.08	16640.338	18007.23	14457.216	16623.305	17689.672	15362.563	22771.922	15084.336	14294.839	13028.577	16466.834	15022.107	18236.084	16784.271	23240.285	20055.652	14879.796	19323.553	18067.744	15584.076	18568.328	18012.762	14707.015	14496.65	14181.354
3.469	17172.279	15297.915	12841.363	16326.271	15887.804	14257.239	20025.807	16667.623	14876.744	21411.076	18374.572	16218.217	16937.146	18387.861	15162.033	15877.564	17304.738	14621.251	19935.141	14208.77	14414.778	12333.523	15058.137	14286.773	18065.883	16409.51	20555.727	18892.309	15267.696	17632.553	16015.729	17659.26	17222.719	16428.74	15042.645	14557.968	14493.631
3.6024	16382.096	14413.005	13638.416	NaN	16165.349	13936.472	21270.936	16213.145	15867.088	22035.273	16739.635	14571.921	16980.916	20162.623	13730.113	15756.944	17453.873	14497.737	17198.389	14751.917	14707.116	12796.163	13703.785	13940.379	18327.732	15732.686	19155.207	17649.32	16227.978	17246.697	14889.633	16853.383	16236.525	15185.351	15834.854	14605.402	15159.386
3.7358	16175.812	14671.418	14417.792	NaN	16066.08	14999.439	19956.352	15118.749	16000.863	19635.938	16117.026	14688.252	16257.403	21591.664	15033.968	15921.348	17650.146	14803.116	16243.076	13628.158	14612.569	14209.412	NaN	14440.556	17491.617	15573.852	17192.852	17139.816	15699.068	16234.172	14981.545	16631.773	15681.789	14993.102	NaN	NaN	NaN
3.8692	15546.508	NaN	NaN	NaN	15606.856	16154.763	17132.049	15343.681	17125.451	17828.75	15330.816	14333.221	16092.344	20696.127	NaN	NaN	15554.463	14964.866	15694.487	13271.729	14493.106	15299.991	NaN	14231.583	16512.158	15362.877	15824.188	16227.327	14505.182	15433.001	15629.606	17317.865	14811.927	NaN	NaN	NaN	NaN
4.0027	14480.327	NaN	NaN	NaN	16139.89	16205.493	14996.374	NaN	NaN	17275.348	NaN	14124.546	16995.443	NaN	NaN	NaN	15921.74	NaN	16953.814	13213.074	NaN	16154.201	NaN	13233.788	NaN	14887.504	16134.911	15133.146	14363.926	NaN	14689.32	NaN	14480.495	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	16134.373	NaN	14046.965	NaN	NaN	NaN	NaN	NaN	17277.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16281.962	NaN	13448.991	NaN	NaN	NaN	14601.526	13418.81	NaN	14677.685	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14846.593	NaN	13687.642	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15382.877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
