x	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_17_4g	Y_20181208_15100b_19_4g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_3g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g
1.7345	14618.042	13896.0312	15376.8604	13408.3799	14736.3555	15844.8633	13665.5469	13282.5518	14468.0127	13802.793	13982.8057	14169.9121	14937.667	12322.7559	12476.9473	14429.6406	13270.627
1.8679	14954.1973	14453.5352	15304.6709	12888.8877	14008.126	15758.5234	13027.9512	13547.0615	14471.3916	13612.3525	13524.4336	13236.96	13547.4141	12405.4062	11404.4746	14466.6875	13535.0391
2.0013	14824.7891	13853.8066	14018.752	12371.6396	14650.5205	15752.1562	11856.6914	13647.0312	12758.7324	13865.5088	13424.5332	13828.6406	13121.0615	12249.9834	11495.0625	13598.1367	14130.3506
2.1347	14411.4277	12837.417	13767.3057	12386.3154	13718.2236	14624.3135	11505.7383	13895.3154	13085.7588	12754.375	13151.3232	13932.3906	12690.4297	12685.75	11555.7783	13706.834	13754.2666
2.2682	14408.6094	12571.7578	13261.7256	12315.252	12995.8252	14259.5	11794.2744	13566.5537	12156.5098	12671.3086	13329.8584	13549.0645	11929.7314	12279.2793	11548.0479	13421.9492	14014.4209
2.4016	13399.1885	12947.0596	13132.1807	12853.9785	13150.1113	15361.8076	11614.457	14736.2393	11804.2812	11838.3594	NaN	13020.3799	11529.6904	12183.4775	NaN	12635.7197	13382.6758
2.535	12530.6865	NaN	12339.7852	12198.4004	12308.2363	16496.6387	11488.6025	NaN	11892.3389	12011.7256	NaN	13102.0664	11184.5264	NaN	NaN	12141.6445	12630.374
2.6684	13230.2432	NaN	12157.0186	11961.4209	12331.2588	16126.793	11810.626	NaN	NaN	11996.9824	NaN	12132.0576	11415.0234	NaN	NaN	12069.0977	12926.3984
2.8019	NaN	NaN	11935.5596	12410.8574	NaN	14421.7588	NaN	NaN	NaN	NaN	NaN	12046.2705	11061.6396	NaN	NaN	12154.0674	12209.4893
2.9353	NaN	NaN	NaN	NaN	NaN	13864.2051	NaN	NaN	NaN	NaN	NaN	12808.1592	11441.2451	NaN	NaN	NaN	12428.5
3.0687	NaN	NaN	NaN	NaN	NaN	13476.5352	NaN	NaN	NaN	NaN	NaN	12424.5273	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	13244.2881	NaN	NaN	NaN	NaN	NaN	11926.752	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
