x	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_24g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_9g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g	Y_20181208_15692b_7_3g	Y_20181208_15692b_8_8g
1.3342	15211.4189	13313.3477	11099.9395	14063.2021	11631.1094	17340.1758	12483.0889	12188	16303.3096	14320.2822	12415.4746	14810.6943	15253.2129	12941.1689	14415.5664	13333.3828	15868.9316	13724.3604	16647.1738	12493.748	14087.4395	14494.7236	11681.0713	16781.7852	12906.8633	12102.8164
1.4676	15123.415	12008.7305	11214.8604	13309.2793	11283.8564	16545.3691	12630.1133	12295.0029	15423.6182	13053.3467	11852.0049	13652.3955	13949.0371	12973.4736	14585.6074	13657.748	13904.125	14011.3184	14222.6123	11958.418	14167.3467	13168.1211	11605.2334	15646.7705	12107.5107	12153.5127
1.6011	13390.4043	11369.5977	11521.3037	13493.2695	11184.7119	14878.0088	12818.293	12582.7969	14460.4629	12187.4971	11521.749	13159.377	12935.6064	12229.1152	13867.5146	12586.8789	12752.1553	13701.4902	13239.1055	12845.3438	12851.9355	12546.3486	12086.6396	15618.1816	12184.7539	11561.2383
1.7345	13518.9297	11100.6035	11107.8369	13324.7852	10570.0605	14259.5596	12353.9131	12393.832	14107.6836	12706.0137	11632.1738	12819.8965	12200.4541	12726.7793	13445.9062	12600.0391	12626.3115	12910.2686	12916.9854	12677.9268	13050.5146	11926.2246	12062.6465	16204.0205	12246.8398	NaN
1.8679	13549.9248	11564.4971	11992.9443	12505.6211	10610.1865	12798.4199	12845.3428	12664.7402	14041.8213	12447.582	11473.4121	11859.3574	11694.207	12591.8477	13053.3662	12262.7529	12433.582	12388.3398	12752.0635	12609.3613	12509.0615	12115.6475	12355.791	17123.4004	NaN	NaN
2.0013	13472.6172	11404.1191	11438.7998	12266.4502	10895.1875	13465.335	NaN	12868.8213	12789.834	12687.6445	11973.6992	11007.708	12030.5918	12423.5361	12791.6631	12908.9277	12387.2393	12606.8652	12468.5635	NaN	12146.5205	11840.0361	12132.9287	15762.5547	NaN	NaN
2.1347	12997.4893	NaN	NaN	11720.8926	10679.0312	13747.9961	NaN	NaN	12074.3564	12974.7803	12725.4355	10254.1426	11714.8418	12840.9932	NaN	12986.3496	12252.3467	12578.3135	11962.8359	NaN	12531.9512	12088.0117	12013.5996	13056.4961	NaN	NaN
2.2682	NaN	NaN	NaN	12229.584	NaN	NaN	NaN	NaN	11621.9629	NaN	NaN	NaN	11434.0996	NaN	NaN	NaN	12109.3555	11986.9707	11625.7998	NaN	NaN	NaN	12358.9258	13103.0674	NaN	NaN
2.4016	NaN	NaN	NaN	12087.1602	NaN	NaN	NaN	NaN	11128.0781	NaN	NaN	NaN	11701.3203	NaN	NaN	NaN	11902.1055	11889.4385	12421.0732	NaN	NaN	NaN	NaN	11135.2002	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10765.9365	NaN	NaN	NaN	11581.3066	NaN	NaN	NaN	NaN	11673.2275	12256.7334	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11191.2539	NaN	NaN	NaN	11429.2939	NaN	NaN	NaN	NaN	11959.3096	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11004.7334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12287.9834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10579.3584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
