x	Y_20181208_15694_1_14g	Y_20181208_15694_1_16g	Y_20181208_15694_1_18g	Y_20181208_15694_1_1g	Y_20181208_15694_1_20g	Y_20181208_15694_1_21g	Y_20181208_15694_1_5g	Y_20181208_15694_10_10g	Y_20181208_15694_10_15g	Y_20181208_15694_10_17g	Y_20181208_15694_10_5g	Y_20181208_15694_10_6g	Y_20181208_15694_11_2g	Y_20181208_15694_11_6g	Y_20181208_15694_12_10g	Y_20181208_15694_12_13g	Y_20181208_15694_12_3g	Y_20181208_15694_12_9g	Y_20181208_15694_14_2g	Y_20181208_15694_14_3g	Y_20181208_15694_14_5g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_15_1g	Y_20181208_15694_15_3g	Y_20181208_15694_15_5g	Y_20181208_15694_15_6g	Y_20181208_15694_15_8g	Y_20181208_15694_16_16g	Y_20181208_15694_16_5g	Y_20181208_15694_16_8g	Y_20181208_15694_17_1g	Y_20181208_15694_19_5g	Y_20181208_15694_20_4g	Y_20181208_15694_20_7g	Y_20181208_15694_20_8g	Y_20181208_15694_21_10g	Y_20181208_15694_21_11g	Y_20181208_15694_21_12g	Y_20181208_15694_21_3g	Y_20181208_15694_21_5g	Y_20181208_15694_21_7g	Y_20181208_15694_21_8g	Y_20181208_15694_22_3g	Y_20181208_15694_23_10g	Y_20181208_15694_23_14g	Y_20181208_15694_23_19g	Y_20181208_15694_23_6g	Y_20181208_15694_24_8g	Y_20181208_15694_25_5g	Y_20181208_15694_26_14g	Y_20181208_15694_26_16g	Y_20181208_15694_26_1g	Y_20181208_15694_26_20g	Y_20181208_15694_26_21g	Y_20181208_15694_27_10g	Y_20181208_15694_27_4g	Y_20181208_15694_27_7g	Y_20181208_15694_28_11g	Y_20181208_15694_28_12g	Y_20181208_15694_29_2g	Y_20181208_15694_30_3g	Y_20181208_15694_4_3g	Y_20181208_15694_4_5g	Y_20181208_15694_4_7g	Y_20181208_15694_5_14g	Y_20181208_15694_5_17g	Y_20181208_15694_5_1g	Y_20181208_15694_5_21g	Y_20181208_15694_5_8g	Y_20181208_15694_6_13g	Y_20181208_15694_6_15g	Y_20181208_15694_6_19g	Y_20181208_15694_6_21g	Y_20181208_15694_6_8g	Y_20181208_15694_7_13g	Y_20181208_15694_7_17g	Y_20181208_15694_7_5g	Y_20181208_15694_8_12g	Y_20181208_15694_8_13g	Y_20181208_15694_8_1g	Y_20181208_15694_8_6g	Y_20181208_15694_9_15g	Y_20181208_15694_9_2g	Y_20181208_15694_9_5g	Y_20181208_15694_9_9g	Y_20181208_15694b_1_6g_left	Y_20181208_15694b_3_5g_left	Y_20181208_15694b_6_6g_left
1.3342	11579.2021	13761.4756	13916.3838	14337.958	12548.752	12188.9072	12972.1357	14420.8369	13622.6582	11514.1279	14460.124	14459.2803	14186.5312	14705.9453	13073.7148	12560.2334	10400.5723	13107.3506	12854.6387	13857.5576	13319.624	14655.9482	14036.6963	12779.8506	13225.5781	12709.6504	15633.7793	17416.2676	12081.9639	11608.5176	12660.0898	13497.3086	13982.6064	12532.6465	11530.3184	13369.5654	11855.6494	11671.5801	14130.0957	12197.792	11377.2822	13357.335	13320.166	14230.0869	12665.501	14461.1426	11840.8838	14164.1963	12162.7402	15541.7031	14916.2559	12609.5957	12610.2588	12338.4951	14098.6572	13260.5479	11953.0674	14975.6582	16091.0879	15291.4561	13242.8623	11628.9453	13073.959	13192.166	13938.5107	12794.585	12884.4492	11423.708	13395.4912	14500.7568	13521.0195	13405.8232	16733.0254	13265.9609	14834.1055	13449.3008	15632.5332	12413.5283	13997.9805	13054.9004	15506.3457	11566.7969	11239.2686	12217.4199	12274.7305	15504.6201	13646.8008	10510.4619	12181.1787
1.4676	12983.5938	13249.9023	12517.4512	13376.4863	11852.4287	11362.1484	13299.0674	14118.7061	12617.6836	11900.3291	14658.7139	13372.9941	13828.2861	14110.3789	12516.6494	11858.5996	10364.7422	12928.0293	14346.7344	13820.0889	13261.7861	13911.7227	13936.835	12925.3037	12979.0205	13324.9541	13773.7773	14516.7168	11523.0068	11077.0195	12224.6787	13128.8984	14286.3643	11921.1348	12294.1436	13304.1357	11138.2686	11800.6934	13663.8174	11540.1768	10511.0186	13474.1348	13276.1914	12757.9961	12479.9082	14440.9268	11641.9512	12660.168	11960.0283	16814.7422	16350.0742	11772.7471	13023.3994	12223.7793	13772.3906	12836.0215	12535.752	13963.1934	14237.7285	16891.8711	12239.9658	11782.7158	13001.0127	13466.7061	13550.0615	12469.4766	12605.1836	12595.002	12554.374	13867.1934	12234.4395	13361.2646	20401.0488	12403.8975	15244.6719	12096.7236	14920.9492	12451.7871	12907.6592	12710.875	14807.7002	11238.2744	10589.4219	11573.8311	12831.29	14346.0986	13620.5371	10688.8008	11858.5527
1.6011	12731.0771	12409.9902	11882.4736	12780.0205	11506.1826	11746.9385	13791.6523	13108.752	11642.9395	12168.5127	14043.0244	12794.293	14343.8564	14086.8184	12008.7939	11988.9033	10511.8926	12853.1055	13618.2607	13104.3535	12343.3301	13019.9707	13211.5488	12893.7861	12140.7324	12747.1494	13183.6836	13110.1553	11116.1602	11090.3457	12141.9639	12321.8965	13421.8389	11927.2061	12183.1514	13727.7314	11437.9053	12070.748	12741.7734	11499.9756	11067.0127	12701.7959	13026.3506	11998.2129	11972.4521	14222.7197	11347.8506	12420.7686	11797.8643	15626.2471	17407.9316	11935.7256	12620.3975	12548.5938	13344.4561	12994.8369	13117.042	13121.9209	13985.3008	15247.0791	11396.6514	11770.8789	12650.8799	13752.6709	12442.4258	12546.1904	12199.0264	11060.8398	11647.2305	13097.4141	12274.8525	12718.3857	21552.5449	12386.6953	15545.5361	12189.3037	14008.3018	12004.7549	12548.2178	13457.6953	13933.7979	11385.9775	10409.1953	11980.292	12574.5146	12819.2529	12869.3115	10935.6113	11343.2627
1.7345	12286.4346	12298.2285	12159.6846	12981.4453	12565.8135	11898.1016	16017.251	12557.8291	11774.4746	NaN	12954.1064	12078.917	13369.1016	13505.0205	12022.9385	12354.6387	10442.873	12108.5146	13188.8887	13294.5537	12586.7217	12051.5713	12099.9297	12188.4551	11012.3467	12670.1387	12430.3926	12105.9385	10871.0391	11334.167	11913.5332	12152.0986	13028.0576	11913.4443	11718.877	13289.9355	11176.0801	11638.0957	11690.0254	11336.2354	10986.7744	12693.4248	12794.876	11765.3359	11812.8096	13294.2549	12063.0215	12126.0195	11769.3291	13412.1064	16213.9346	12140.5684	12272.1553	12103.1035	13723.2881	12756.4355	13866.6396	12931.5107	13210.3672	13483.2588	11182.2734	11366.6396	NaN	13327.9756	11832.5547	13061.7695	11671.1162	10538.3096	11791.9531	13442.9043	11579.3789	11762.8086	20010.7148	12589.6445	16129.0352	11871.9082	13318.3018	12378.8916	13483.9189	12506.7441	13292.6045	11757.4229	10912.0039	12384.127	11980.6143	12013.376	12601.3174	10638.1064	12247.8877
1.8679	11845.7588	12088.0146	11658.8984	12562.5186	12990.0781	11495.4785	16035.7002	13136.4502	11864.3652	NaN	12735.6064	11186.8291	13039.957	13723.2822	12313.5449	12212.1855	10530.5029	12734.8955	12719.5312	12600.207	12137.5801	12049.6641	11678.2578	11696.3477	10720.71	12949.668	11743.3145	12554.9062	11245.0186	11536.7891	11883.6699	11731.2207	13076.2314	11801.8701	10898.3457	12488.3066	11015.6924	11274.4111	12048.8359	10683.7471	11544.001	12892.3457	12285.248	11759.1152	11414.9414	12657.6289	10923.6514	12011.5762	11893.999	12492.3262	16519.5957	11981.083	11788.2324	13220.542	13755.3408	11859.3066	13134.6592	12642.9658	12743.6562	12792.9043	11225.0283	12250.0039	NaN	13817.2891	11963.0938	14011.8594	11024.499	11509.2061	12023.9951	13461.5957	11668.1543	11483.0693	16543.6875	11705.6504	15539.9277	12188.0342	14013.9053	12537.3047	13127.8408	12377.5996	13276.4863	11513.1445	10411.7109	12645.3926	11219.9688	12693.4785	12024.585	11113.9326	11555.043
2.0013	11873.9111	11502.3486	11547.3584	12679.0303	13975.4756	12251.6689	NaN	13981.0107	11799.3682	NaN	12169.3545	11236.1084	13479.4932	13138.8652	11431.2598	12153.9434	10700.3291	12164.4902	12814.0215	12349.8105	12061.1084	12898.7275	11611.9756	11055.0693	10866.8184	12301.7979	12548.2314	12444.5264	11443.4795	11548.4307	12124.3301	10986.5762	12806.9365	11312.3818	11448.2842	12820.5586	NaN	12041.1865	11255.3926	NaN	11993.9463	NaN	12398.1279	11701.2422	NaN	12439.1924	11618.8467	11400.7197	11924.2598	12290.8994	17572.3633	11347.4248	11446.9658	12091.5996	14341.1719	12351.5967	13146.1377	12178.8359	12276.082	13071.7363	10800.4023	11657.0186	NaN	13448.7891	11524.0361	14073.6865	11328.9502	11979.5713	12242.3086	13507.5371	11792.042	12090.3457	15715.7793	11682.5918	13535.2373	11755.499	14176.6436	13543.0322	11940.7197	NaN	13081.2559	11898.6992	10484.4219	12077.0312	11452.9473	12590.5771	12037.2705	NaN	NaN
2.1347	11504.6836	12126.0518	NaN	13485.9756	NaN	12415.9258	NaN	12675.2627	NaN	NaN	12351.8682	10803.916	12674.8506	13126.2334	11493.9541	NaN	10448.2822	12091.8828	13013.6738	12599.5684	12683.9814	12832.2871	11521.4805	11556.8486	10121.6885	NaN	12352.9102	12262.9883	11561.4727	11172.5664	12203.8633	11359.7275	12348.4629	11787.1992	11186.3486	12579.2314	NaN	11364.7373	11847.125	NaN	11436.4814	NaN	NaN	12022.1885	NaN	13082.7686	NaN	11335.9902	12175.9082	12363.0342	17559.8477	12730.3174	11630.1006	12234.5811	14402.292	12415.5293	12562.8223	11513.8623	11541.3008	13007.5674	10855.2656	12110.3398	NaN	NaN	11642.3076	13817.1289	11511.0918	11111.6816	11520.9209	14075.3027	12162.418	12374.8633	13565.2363	12194.6982	12171.9092	11826.3428	13422.6104	NaN	12084.7754	NaN	13829.6182	11823.1514	NaN	11594.1377	11802.8945	12620.3242	11690.8818	NaN	NaN
2.2682	11789.6777	12654.0625	NaN	13481.5957	NaN	NaN	NaN	NaN	NaN	NaN	12801.8232	11523.6777	12284.9414	13333.1123	11930.6914	NaN	10388.3789	12395.0332	12457.9238	13154.9922	12817.0449	NaN	10896.8271	11481.417	10423.4561	NaN	12447.1191	11722.041	11643.4961	NaN	NaN	11015.1436	12321.708	11976.377	10866.8691	12453.3301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12387.6895	NaN	13182.3545	NaN	11952.6484	11097.207	12405.5791	16051.2061	11847.3691	11422.0156	12207.8955	14359.1826	12453.0771	12897.8027	11549.4238	11621.8975	12152.1455	10945.8037	NaN	NaN	NaN	11904.8896	13609.834	11702.3301	NaN	12070.3799	14344.2109	12231.3672	13090.6738	12475.4971	12484.9883	11121.1299	11163.7324	13324.459	NaN	12031.5459	NaN	14847.9736	NaN	NaN	12037.1289	NaN	NaN	11884.0645	NaN	NaN
2.4016	NaN	12328.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11477.1396	12648.0996	13350.3848	11725.3359	NaN	10485.2109	11765.6348	13218.7256	13250.3018	13206.8389	NaN	10797.4102	11303.2598	10645.3721	NaN	13213.9082	12030.6504	11606.8262	NaN	NaN	10968.3838	12470.9248	11395.3086	10967.9727	12785.4736	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11816.2285	11410.2861	12860.6172	14567.2861	NaN	11210.8838	12678.042	14474.6348	12329.2344	12010.0361	11363.2168	NaN	12277.4824	11054.0332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13994.7197	12439.0801	12721.8496	11924.0312	11417.6279	10411.4189	11089.5195	13498.5049	NaN	11892.5137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	11731.2881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11526.6143	12149.7324	12935.0176	NaN	NaN	11272.2939	NaN	NaN	13768.1943	12429.2383	NaN	10973.4805	12006.7559	11608.8262	NaN	12244.54	11783.9795	NaN	NaN	NaN	NaN	12089.2471	11909.9883	11228.7646	12990.0127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14187.3545	NaN	11160.0156	NaN	NaN	12577.8936	12198.748	11340.5156	NaN	12394.6133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13696.7354	11779.2148	NaN	11571.7275	10864.4492	9988.8711	11060.7012	13504.9082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
