x	Y_20180224_15100_10_5g	Y_20180224_15100_11_5g	Y_20180224_15100_11_6g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_3g	Y_20180224_15100_14_1g	Y_20180224_15100_16_1g	Y_20180224_15100_16_2g	Y_20180224_15100_16_4g	Y_20180224_15100_17_3g	Y_20180224_15100_17_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_14g	Y_20180224_15100_19_15g	Y_20180224_15100_19_16g	Y_20180224_15100_2_11g	Y_20180224_15100_20_3g	Y_20180224_15100_22_6_2g	Y_20180224_15100_24_6g	Y_20180224_15100_25_3g	Y_20180224_15100_25_5g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_28_10g	Y_20180224_15100_28_4g	Y_20180224_15100_29_4g	Y_20180224_15100_29_8g	Y_20180224_15100_4_11_2g	Y_20180224_15100_4_6g	Y_20180224_15100_4_8g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_8_4g
1.3342	42841.152	35244.809	34964.605	42032.742	33102	39811.613	41996.684	40430.965	40870.059	36694.148	38770.395	41383.203	37856.734	38524.32	37400.883	39711.086	37829.023	42085.188	35137.754	44064.551	35559.289	40200.535	41167.383	40378.281	37992.277	38869.559	41650.996	41473.398	40919.449	34857.367	36131.043	36306.332	37427.898	38381.391	36700.305
1.4676	41156.461	35346.238	35726.73	40076.098	32441.141	39195.723	41749.254	39114.457	41459.473	38522.211	40226.312	40601.953	40094.816	38587.586	37625.648	37764.965	38567.703	41828.621	33886.281	43596.883	33060.605	40326.152	41105.062	38107.77	38362.734	37695.406	39835.938	40716.305	39272.922	35850.848	36711.105	36053.035	37350.023	37220.992	37464.004
1.6011	40875.613	35509.195	37881.426	40835.395	32656.627	40265.871	42461.418	38174.836	40277.395	41123.281	40696.414	39752.566	39487.773	38476.414	37818.238	38558.012	38050.477	43464.453	33480.504	43678.793	35130.84	42344.461	42586.234	39995.832	38546.051	39386.66	41656.609	42485.883	40215.59	36049.914	37621.262	36449.77	38500.297	39215.184	40279.051
1.7345	43173.207	37548.281	36751.438	41929.812	34930.863	39619.395	41608.176	39370.098	39732.227	43484.977	42186.859	40813.723	39658.27	39869.57	38461.988	38503.203	39056.82	43476.18	37746.387	44012.289	36252.012	41665.656	46070.52	41553.035	38160.316	40868.914	41255.297	43220.574	39461.52	34853.016	37632.895	39242.117	39869.043	38951.453	40773.062
1.8679	44158.262	37859.137	40841.363	42295.41	38265.5	39731.293	41317.562	40432.199	40396.887	51874.039	42461.641	41127	38249.266	41637.477	40435.316	36458.359	44386.609	42854.426	39112.98	46092.52	41821.676	42711.32	53622.07	41220.527	39486.836	40115.695	42310.145	45196.336	39856.758	37257.008	37087.859	40557.348	46269.555	38868.953	42833.004
2.0013	45999.492	38681.617	44053.922	42747.754	41801.082	42146.504	40505.582	40375.273	45644.449	75559.477	43785.422	41524.688	38834.703	42447.68	44198.91	38220.574	53511.641	45512.918	45857.945	47429.195	53183.961	43910.777	74620.367	41285.742	38739.887	44881.367	43604.73	45824.652	40860.504	36671.832	36774.684	43678.207	53491.211	40715.512	44929.598
2.1348	48816.898	39378.73	52597.121	48822.016	52572.172	45019.516	39530.965	40605.945	54271.699	118818.602	43168.316	46213.016	39877.395	48563.945	51226.816	40828.016	70252.703	52449.773	64246.074	53112.855	77497.047	47385.363	119436.258	42710.633	40570.555	53543.715	47826.316	54769.816	42988.145	40152.113	40284.688	55180.969	79999.375	41261.219	49866.719
2.2682	55839.594	42864.82	70327.969	58781.098	78375.727	53734.84	43013.871	44475.789	81911.711	132206.125	45088.895	56034.051	41286.766	62772.504	68551.734	46119.102	81998.5	74399.844	95938.102	56585.629	105825.07	55799.949	143138.891	43633.66	43787.188	75698.695	57018.605	73192.703	50017.836	37769.055	47016.906	69370.234	135813.844	43543.273	60341.898
2.4016	73608.828	51707.965	108034.867	86112.25	107106	76654.188	44536.633	50829.062	137897.859	96222.055	50475.848	77105.984	47449.547	102595.586	109566.891	59808.266	72346.508	110315.781	102324.93	59495.02	101158.391	78145.688	115277.086	46876.68	49276.582	95610.031	79620.359	113465.289	63918.52	41772.016	68500.805	72618.125	169969.672	50355.688	64190.32
2.535	90533.469	80834.844	130120.008	115717.844	93924.195	118657.539	54383.645	69237.242	147487.016	63667.434	65449.828	118967.531	64516.09	143238.047	155469.109	88457.781	53335.211	122001.523	68644.93	53703.344	66814.758	125246.43	84883.125	55498.496	66489.977	83872.641	119514.539	147815.828	95094.953	42897.57	108413.266	56060.93	137299.219	66255.945	54145.75
2.6684	80010.75	112286.781	103104.703	112870.742	63738.707	148537.391	71418.867	91806.805	105481.477	48334.117	91912.141	146041.156	81004.289	135571.75	148468.953	109012.477	42076.984	91467.008	46853.652	47773.465	49000.363	146660.078	73472.766	60108.441	91983.281	61230.082	152064.172	122242.961	108979.906	51105.258	132977.672	43771.211	80857.25	104708.641	45517.957
2.8019	60608.977	105705.812	63395.59	80092.82	43999.562	118299.039	98852.227	89878.625	67015.578	43499.082	96076.562	113481.641	75274.234	89263.578	97204.078	91427.43	39043.281	60906.16	NaN	45018.941	41566.961	113171.688	NaN	53855.367	99035.242	50533.387	114260.891	80223.781	83133.695	63493.098	105854.375	39879.609	53426.555	145562.938	42281.258
2.9353	49628.074	76762.969	46458.898	55182.328	NaN	69047.281	88686.883	65272.805	51655.727	NaN	71933.656	73250.57	55750.566	58751.125	61599.488	60548.348	NaN	50481.793	NaN	NaN	NaN	77917.82	NaN	44585.699	77902.391	NaN	70002.453	54276.438	58871.016	60954.613	64267.871	NaN	46548.156	131230.812	NaN
3.0687	46236.285	53449.203	NaN	47234.695	NaN	52649.82	60784.43	49901.602	46825.824	NaN	51105.906	51958.605	46303.684	48251.484	46658.348	46055.391	NaN	47896.57	NaN	NaN	NaN	61589.602	NaN	40987.879	67210.047	NaN	53704.297	46520.988	47749.254	49736.371	51178.938	NaN	NaN	83786.992	NaN
3.2021	42941.48	NaN	NaN	45226.957	NaN	NaN	48513.617	NaN	44839.895	NaN	44230.402	46465.383	42377.035	42950.398	41108.113	39912.402	NaN	44051.656	NaN	NaN	NaN	51481.5	NaN	41830.145	NaN	NaN	46826.488	NaN	43803.453	41920.574	NaN	NaN	NaN	59648.766	NaN
3.3356	42770.328	NaN	NaN	NaN	NaN	NaN	44659.512	NaN	NaN	NaN	42099.855	NaN	NaN	43566.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41188.988	40470.832	NaN	NaN	NaN	50232.59	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45726.055	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
