x	Y_20181208_15694_1_18g	Y_20181208_15694_1_21g	Y_20181208_15694_10_10g	Y_20181208_15694_10_4g	Y_20181208_15694_10_8g	Y_20181208_15694_12_9g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_14_3g	Y_20181208_15694_14_4g	Y_20181208_15694_15_2g	Y_20181208_15694_15_4g	Y_20181208_15694_15_8g	Y_20181208_15694_15_9g	Y_20181208_15694_16_6g	Y_20181208_15694_16_7g	Y_20181208_15694_2_11g	Y_20181208_15694_2_5g	Y_20181208_15694_2_9g	Y_20181208_15694_20_10g	Y_20181208_15694_20_9g	Y_20181208_15694_23_13g	Y_20181208_15694_23_15g	Y_20181208_15694_23_6g	Y_20181208_15694_25_2g	Y_20181208_15694_26_1g	Y_20181208_15694_26_22g	Y_20181208_15694_27_12g	Y_20181208_15694_27_4g	Y_20181208_15694_3_10g	Y_20181208_15694_3_14g	Y_20181208_15694_3_3g	Y_20181208_15694_30_7g	Y_20181208_15694_5_5g	Y_20181208_15694_6_14g	Y_20181208_15694_6_16g	Y_20181208_15694_6_5g	Y_20181208_15694_6_7g	Y_20181208_15694_6_8g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_10_4g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_3g	Y_20181208_15694b_6_5g
1.3342	39319.0781	29990.5977	29295.0957	45009.5039	31502.5039	37783.3359	29347.3008	33752.8555	29812.2812	31171.1855	37701.457	32869.2773	34266.1562	27206.3223	35911.8711	31174.9023	32169.7168	34400.6953	31810.1738	35031.7383	34470.2305	34931.5664	50418.5977	28267.3926	33420.2734	36784.1758	70578.1719	50090.9258	36680.2969	34582.5938	30962.1816	30709.1992	53249.1289	33641.2969	40611.5078	43916.0586	38396.8359	51712.3086	32421.877	35071.9375	37572.2617	34047.8125	33163.3359	28023.3848	36498.6211	34767.9102	53675.1484	40147.1758	30853.0293	68581.625	48365.9609	52340.3594
1.4676	48926.2578	31515.5957	29420.8047	52396.5	31098.8965	49522.7227	30297.9629	33841.168	36847.7266	32336.4453	39552.5898	35120.2188	44074.6602	29421.7227	45551.6484	30994.582	33019.8789	35490.8125	34641.6406	38868.9766	41353.6016	38569.2891	66055.1484	27823.9727	46918.7461	44656.9922	70073.5781	54860.9453	47113.168	35152.5898	31025.1367	33034.2969	50928.6289	34372.8906	51762.7773	53298.2227	42738.7617	74987.5625	40176	35654.6055	38641.5195	37240.2461	33763.0312	28336.6543	42030.1914	41234.75	50565.6211	54825.082	29459.957	61439.457	59991.7539	60343.2383
1.6011	57621.6523	37639.9297	30931.9297	49358.3398	34092.5547	59176.1289	31178.6738	38224.6055	50010.5195	40875.0898	42898.1562	39640.9492	60865.4297	34059.8242	55359.3672	31638.5898	33946.9102	42238.6602	42779.375	49419.043	44397.8906	46479.2227	61313.457	28585.1797	72347.1875	55291.7148	49343.0469	46006.1367	53149.4492	35134.8438	34547.2969	37630.1719	39919.0586	34955.7617	65665	58844.25	50920.4727	82333.6406	55765.9766	40795.4023	42232.6914	45228.8906	35326.0469	30044.2129	52375.1953	51585.6758	40291.7031	77934.5312	35597.0898	42903.3008	62308.3164	57872.9219
1.7345	53180.6055	44587.9844	34934.5273	42599.2852	41696.6367	54297.8359	31886.6602	47787.8008	55471.4062	59170.7656	47040.9375	48021.793	64027.6406	50264.0898	54296.4688	37625.8047	37898.8945	60366.3242	45138.2383	69416.8984	39634.7148	54631.3828	43773.5859	28137.1738	82930.1328	53703.1797	35431.9961	39874.375	46583.2695	36279.6094	44358.2344	43165.7383	35551.7188	39282.0898	60388.6602	52741.6172	75324.5938	60910.1211	67615.125	51147.3438	52084.6445	52811.3242	33614.793	33237.2773	73331.7812	55739.2969	34254.8789	81497.8516	43752.4961	33626.3008	51088.4492	45080.9336
1.8679	40922.4414	44723.4375	41278.7617	38622.3672	52893.4844	43167.2656	31869.0977	59628	42583.4805	66018.8594	48428.2734	48719.7383	47913.9023	68811.2266	39961.7578	41426.1055	44960.9219	86479.3438	40941.1289	71487.6562	35967.6445	54769.2383	33956.25	30042.0273	67395.9375	39562.8281	31091.9062	37182.4023	38561.8594	41370.9805	55663.957	40029.5703	34687.1133	43743.0117	43994.8555	42423.1836	101329.9922	42037.7383	59605.3711	72305.1562	64063.7227	50667.6797	34890.7539	42209.4062	80410.6797	45604.5352	NaN	63320.75	43958.1523	30627.6465	43334.6133	40116.9609
2.0013	36502.0547	39103.8711	46934.6836	37115.8242	51512.4062	35778.2773	32204.3672	55580.9766	32853.3477	54791.1758	38432.4844	42264.918	36413.0391	66260.1094	32690.2031	42982.207	52174.8398	85996.9297	34772.9219	55574.8711	33513.3594	43832.5586	31824.8633	32833.8711	45498.0703	33425.7031	28847.5156	35686.4336	32808.2383	52681.0547	55157.0039	35619.9258	35287.2773	39961.0898	37585.918	38347.2188	90197.5312	35231.3203	41762.5547	81553.6328	58522.9336	39371.0391	36346.6172	62577.2617	63805.7031	37727.9141	NaN	45967.8594	36864.9844	NaN	47735.6094	NaN
2.1347	34733.8047	32854.5039	42512.0039	35495.2812	41801.8047	35434.0391	34642.6641	43891.6328	29475.8711	42460.375	33055.5547	36001.957	31673.8809	48732.918	NaN	37921.6094	49805.9336	59025.9648	32839.9062	40893.2305	32164.1094	35579.2383	30741.7539	39065.5195	38027.9648	34005.8008	27813.6895	35567.4492	29477.6758	64484.8555	42202.3086	31509.8926	NaN	34743.0156	33045.7109	36730.8477	61170.4766	30652.0723	32356.3496	66318.2344	44059.8438	35259.6836	40471.2773	72391.5312	44402.1133	NaN	NaN	37407.1641	31510.0508	NaN	NaN	NaN
2.2682	33430.0508	30349.4805	35102.3398	NaN	33385.0859	NaN	40110.5508	37592.5078	25680.8828	33899.0117	32587.7012	NaN	28653.3516	34834.7422	NaN	31843.4902	40351.1406	44484.2383	32498.6367	35335.5156	NaN	34061.793	29132.5078	44201.9102	NaN	35518.3594	NaN	NaN	29787.9961	62844.3594	37549.2812	31044.1133	NaN	33225.2422	32020.0586	35042.3281	43461.3828	28822.8047	30712.002	48845.5625	35290.2969	36408.9336	46450.9531	57719.9688	36237.6289	NaN	NaN	36198.6719	28697.3457	NaN	NaN	NaN
2.4016	32401.6191	29441.2676	31893.6406	NaN	32966.9141	NaN	52282.5586	33553.7031	25450.4902	30817.0898	NaN	NaN	NaN	30359.7324	NaN	31091.3457	36517.1914	38693.6016	NaN	35012.5078	NaN	32688.5977	NaN	41341.9297	NaN	NaN	NaN	NaN	29692.6973	48252.1797	35716.4883	29904.3027	NaN	31598.9824	31449.8789	33727.0273	37736.9336	28874.6816	30109.2891	40381.9453	33235.9219	35757.3281	44262.2812	40715.0273	33396.6328	NaN	NaN	33597.3906	NaN	NaN	NaN	NaN
2.535	NaN	NaN	29105.2949	NaN	30089.5762	NaN	53770.7344	33582.7227	24882.0957	28133.1758	NaN	NaN	NaN	28949.5938	NaN	30901.0527	31562.4785	35940.6133	NaN	34256.8281	NaN	31143.1211	NaN	35146.4805	NaN	NaN	NaN	NaN	NaN	40350.9922	NaN	NaN	NaN	30085.8516	28980.9883	35328.1523	36019.7266	NaN	28276.959	36646.5938	NaN	NaN	38867.5742	32591.0547	32568.1445	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	28987.707	NaN	29391.5703	NaN	42572.8438	35261.8555	NaN	28004.8301	NaN	NaN	NaN	27055.4863	NaN	30345.8496	31000.5586	NaN	NaN	NaN	NaN	NaN	NaN	30534.3125	NaN	NaN	NaN	NaN	NaN	36392.4883	NaN	NaN	NaN	NaN	27717.1895	NaN	NaN	NaN	NaN	34675.4844	NaN	NaN	33315.4336	30761.5137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	36974.2109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30655.6055	NaN	NaN	NaN	NaN	NaN	NaN	29439.5098	NaN	NaN	NaN	NaN	NaN	34699.1797	NaN	NaN	NaN	NaN	29607.8281	NaN	NaN	NaN	NaN	34647.4922	NaN	NaN	32538.5293	28750.4121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	32987.9766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28103.0918	NaN	NaN	NaN	NaN	NaN	33813.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31957.9902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	35017.0234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28078.8359	NaN	NaN	NaN	NaN	NaN	32607.5488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32521.2676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
