x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_37_21g	Y_20181208_15692_39_6g	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_1g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g
1.4676	28077.5508	28701.8555	32489.1523	31686.9297	31293.1387	26720.5332	31172.1895	25171.9434	29359.0332	24610.7832	26468.2871	30390.6855	26605.0488
1.6011	29092.3984	28591.6992	33173.9805	31315.6465	29186.6719	27127.9688	30284.0645	26741.5723	28810.2773	24687.8887	27604.3184	29841.8164	26487.416
1.7345	29430.3164	28567.0312	33228.082	30217.6875	30283.4766	25950.752	29771.5938	26587.4297	27995.7188	26742.373	26903.5859	29453.4102	24983.1074
1.8679	28258.584	27201.6895	33198.5547	30298.6992	31012.5938	28046.3535	29876.0137	26787.5371	27286.873	26934.2266	26272.1953	29556.4219	24554.4551
2.0013	27550.7578	26990.9688	33305.8867	31759.5586	29877.8379	28539.0234	29662.2441	26780.1543	28738.4375	25446.127	27464.1914	30183.0078	26111.4043
2.1347	30582.1816	28064.4531	32634.3301	30828.3145	31422.6484	26685.1582	30356.9766	26748.9141	28692.9473	25066.2656	27567.2949	29735.6543	26660.4316
2.2682	29960.9648	27299.6387	32337.1387	29624.793	31300.7559	27098.7168	30299.8672	27585.4785	29103.5742	26695.5664	26822.1367	30244.7246	25787.5059
2.4016	29423.7285	27499.8047	31900.3828	29633.4902	30773.5254	27400.6914	30976.1406	26850.8223	28986.0137	26730.8652	27376.5684	31835.4668	25787.7715
2.535	29261.6016	28026.7285	33459.6094	30557.2461	30600.6543	26484.0039	32342.2891	28327.1582	29508.1211	28666.4512	28122.3906	33991.6484	25695.6934
2.6684	30092.0469	28321.9707	33324.8008	32296.1113	31865.8945	25331.4961	34892.4414	28628.125	31084.4199	29357.7754	28078.6836	38603.4531	28279.2441
2.8019	31009.0723	30766.2441	33501.918	31478.041	34342.0859	27699.8848	40318.207	29028.498	31326.8828	30010.4297	33375.9531	52867.7852	29871.2324
2.9353	30386.1172	34258.1367	34513.6289	34587.8867	37642.5117	27125.7676	49834.2383	29066.0254	33435.3594	31615.0684	41338.5039	71872.7969	36293.3516
3.0687	33219.5938	42458.957	36245.6523	43498.9531	53590.3906	30845.8145	57573.1016	30050.1035	42524.7891	33744.8984	52491.625	69921.2422	44923.2852
3.2021	42579.1641	50419.957	36211.3867	53972.7773	83748.9844	38713.7695	51907.5938	31603.1348	62119.707	38783.4609	56940.793	49844.832	41667.7969
3.3355	56685.0547	51158.832	39148.1602	53463.7578	103070.1172	47300.0547	41212.8672	34630.9766	78783.5	43332.8164	44168.8594	38350.082	34291.0391
3.469	61722.3633	42103.2812	46757.8594	44385.5078	85551.0781	47728.2695	35595.6719	41550.3047	69025.6094	38471.0156	33466.8203	NaN	28325.8262
3.6024	48941.4141	35289.9883	63716.0352	39309.3828	54617.7305	38234.3203	35387.4375	56181.6875	46848.5117	32746.2969	28725.1016	NaN	27596.1484
3.7358	37030.0781	32459.7676	82502.2344	41241.8125	40046.9062	32416.6992	37278.0352	63172.0352	36070.3828	28087.877	27836.3691	NaN	28125.8984
3.8692	31231.2148	NaN	75993.6797	NaN	35452.918	29435.6426	NaN	47863.8906	32740.0664	27534.541	27733.1152	NaN	26125.0195
4.0027	29959.9844	NaN	56200.4414	NaN	33157.4609	29859.3203	NaN	36273.9453	30646.1582	26983.4414	NaN	NaN	24494.166
4.1361	NaN	NaN	41417	NaN	32961.6523	31045.9805	NaN	30979.3613	NaN	26261.4453	NaN	NaN	NaN
4.2695	NaN	NaN	35344.3008	NaN	33590.0859	NaN	NaN	30485.877	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	34012.3711	NaN	30680.8047	NaN	NaN	28915.6445	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
