x	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_5g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_5g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_17g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_9g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_4g	Y_20181208_15693b_6_10g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_12g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_6g	Y_20181208_15693b_9_7g
2.4016	53697.9961	38076.5273	89029.0781	89605.7031	44670.3867	70580.1719	62591.8867	62004.2148	41939.0742	112945.3594	69101.2969	52204.6367	48226.6953	34565.9062	NaN	40837.7695	78594.7266	35902.918	80950.8828	44534.6133	75766.3203	45270.1641	35260.9023	56416.3867	60269.6445	44135.8594	58310.7109	45944.5703	47535.7734	43859.9102	32934.2344	54855.3164	41281.0703	44137.0273	35326.832	37593.5391	104702.9609	65681.5156	44671.6953	95432.8359
2.535	48775.2656	33498.4141	66671.4375	104570.0547	38916.4141	54735.2344	47663.9883	48423.793	60859.1797	98817.5078	47669.4727	66264.3359	39074.9883	31122.3789	NaN	50693.9648	68625.3984	33701.1094	55738.1289	36288.1953	62650.2578	34526.2617	31921.7812	40576.4492	47190.0391	37995.0547	42848.8164	39271.6719	49286.9102	39594.9922	31538.9902	39311.9883	40413.2305	35080.4922	29357.1543	34055.2266	116529.2969	76831.4531	35824.0234	71849.7266
2.6684	48923.6562	30302.8887	47164.332	80472.4141	36075.7148	40183.1484	36580.8203	38767.8984	78133.0703	63771.4062	37037.3555	60495.2461	35773.2109	29408.3359	NaN	50589.1953	49865.4648	31609.6484	42089.4141	32835.6484	45815.5781	32769.3711	30679.1895	36306.5664	42501.1797	36332.1641	35719.0117	33292.2969	NaN	36869.5	30495.5996	35000.3047	39020.1016	32004.2188	27188.3145	33730.3711	88376.7891	67129.9453	30822.7988	48431.1094
2.8019	60697.7266	28931.123	36658.1719	57762.5781	NaN	31248.8613	33472.2227	36045.6758	77977.3281	44477.4492	35114.125	45866.1953	34320.1523	30785.0625	NaN	40029.4375	42115.3086	NaN	37297.8281	32505.625	38681.2539	42159.9844	30558.4199	33492.4688	39094.0469	NaN	33448.582	32707.9961	NaN	38946.3867	NaN	33694.4141	41531.8633	30174.2617	26525.4961	32860.4062	60325.7461	48406.8125	29196.8262	36848.5039
2.9353	NaN	NaN	33203.8047	43415.3164	NaN	29723.7676	32852.6055	34352.4141	56134.7773	39748.4648	32184.9648	42837.1406	32995.5547	NaN	NaN	36154.4727	39637.8477	NaN	34536.082	32660.8145	35239.8984	NaN	30391.1699	32807.0234	36257.4531	NaN	31796.7461	30326.5	NaN	38085.0547	NaN	NaN	NaN	30074.5293	26014.8828	NaN	43452.3359	39748.9453	29679.6621	32699.6641
3.0687	NaN	NaN	32643.8066	38441.3789	NaN	29008.3066	32154.2012	32316.7949	44168.2852	37167.2891	31966.084	46604.793	34103.5234	NaN	NaN	34542.8203	36971.2617	NaN	34493.2539	NaN	NaN	NaN	NaN	NaN	34079.5781	NaN	29627.7598	29610.6523	NaN	36779.2578	NaN	NaN	NaN	30925.2598	NaN	NaN	37353.8125	39569.5508	NaN	33191.6328
3.2021	NaN	NaN	31813.6328	37548.8867	NaN	NaN	NaN	NaN	38806.4492	35749.4414	31044.1543	NaN	33551.3828	NaN	NaN	33366.5859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30539.9805	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35893.9805	NaN	NaN	32210.332
3.3355	NaN	NaN	32299.4863	35755.4648	NaN	NaN	NaN	NaN	36845.9648	34570.3281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35007.2109	NaN	NaN	NaN
3.469	NaN	NaN	NaN	36812.207	NaN	NaN	NaN	NaN	36998.7734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	34861.0039	NaN	NaN	NaN	NaN	35921.3047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
