x	Y_20181208_15100_1_1g	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_13_5g	Y_20181208_15100_13_8g	Y_20181208_15100_15_2g	Y_20181208_15100_16_4g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_21_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_5_10g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_6_2g	Y_20181208_15100_6_9g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g
1.3342	15221.0186	17898.2461	14229.2129	13170.8779	14716.1299	15062.9697	13780.8564	14031.2871	15400.498	17747.707	15494.3154	18490.6152	17166.4043	14169.2852	14317.6436	12822.7432	14168.9268	19164.4805	14025.5439	19890.7852	20656.3223	13828.165	15316.3369	16756.1836	11861.1924	12453.2129	14434.334	11405.167
1.4676	16273.0293	17285.6016	14918.5098	13413.2695	14303.4424	16650.9961	14027.8604	12900.9668	15806.7178	17126.0312	13663.54	17386.3711	16143.7266	14104.1475	14448.3213	13277.3672	14083.543	16697.8789	14465.7725	19735.7559	20375.7422	13757.333	15114.6016	17958.4805	12463.957	12459.9951	14997.7969	11414
1.6011	16490.9316	17010.9375	14224.4375	12799.1641	14484.042	17792.9551	14213.5449	11951.0811	15388.1973	17732.3984	14274.915	18006.1484	17546.5078	13199.832	14607.1895	12548.0996	13563.4238	14886.5635	15327.0986	19487.0371	18340.2539	14725.1895	15573.3652	17190.2793	12625.5977	11875.3789	14680.0723	11087.7256
1.7345	17451.9688	16953.2676	14041.8379	13013.4521	13799.2295	16924.8867	12814.8613	11817.8926	16436.7617	15606.1084	14431.6836	19854.332	20080.5762	12396.5537	14070.2021	12950.9102	14740.8086	14969.2861	17188.8926	18067.4395	17882.2637	15065.2764	16891.2305	15931.1191	13817.9951	13210.625	15557.3398	11555.9814
1.8679	17277.8613	16675.7188	13829.5088	12711.8594	13108.7471	15385.8438	13927.7646	11970.0498	17747.7773	15524.8271	15349.4043	20401.9141	21712.668	13038.0127	13508.6035	13880.7021	14314.8418	17220.4883	18124.3438	17098.0625	17742.7324	14907.3242	17837.8242	15415.9043	14409.0518	14313.5166	16509.4863	11261.166
2.0013	15775.4434	16654.3945	14337.9004	12243.9902	13668.2471	13786.7344	14665.6289	12319.0234	19908.7969	14775.7783	15278.7637	19797.8828	20572.6562	12944.082	13689.4697	15504.5938	14449.96	19217.3008	14946.1807	15883.2412	16505.791	14004.5469	17899.8535	14973.3975	13445.3154	14805.7783	18363.8047	11086.1162
2.1347	15068.7139	17572.9609	15368.1309	12039.1533	13618.2783	13568.6826	14274.9229	12292.6055	21845.1543	14512.1484	14794.0039	17537.6641	16986.2207	13176.7988	14031.0967	16885.1367	14570.1494	18655.4688	13382.8262	14523.2295	14969.334	13876.6182	16304.1953	14795.207	12568.5029	14396.5859	16801.4004	11250.2705
2.2682	14196.5762	17220.9785	15965.2061	12239.4297	13654.6348	12760.5684	13273.4473	12307.3086	20538.2207	14482.3115	15103.9023	16322.6201	14680.2422	12226.2188	13913.2119	16689.7949	14647.125	16616.2246	13234.2637	14297.7822	15029.8203	13701.4268	14390.9443	15004.2627	12382.0645	13753.6426	16125.1475	10906.7178
2.4016	12839.668	17433.1562	15271.1846	12712.3525	14392.9521	12167.79	13432.3682	12933.6504	18484.6133	13785.3545	15970.2471	14752.9092	13149.9697	12317.8389	12882.6494	14301.6006	13956.6094	14788.0957	13442.9404	13489.7832	13987.5166	13490.2139	13166.873	15264.0732	11984.7803	12875.5674	14266.2568	11422.3574
2.535	11797.9854	17082.5059	12945.835	12074.582	14269.8076	12759.2051	12884.0693	12661.5566	16633.248	13103.5527	14676.7275	13471.5312	12488.3789	12755.5254	13093.9697	13590.4971	12926.1318	13959.9111	12780.5664	12975.3447	12735.1621	14068.7012	13807.7939	14709.9551	11397.666	14288.1133	13273.6025	11690.2305
2.6684	12499.5713	16075.0811	13151.667	13039.6973	14070.2275	12958.5576	13148.4404	13215.001	14764.3057	12658.3057	13506.9229	13288.8398	12230.0752	11791.4688	13495.1621	12757.3535	13808.4736	13119.3174	12773.0166	12664.4268	12547.2891	13086.126	12877.3633	13539.5596	10952.1855	15253.8857	13265.0957	11653.9062
2.8019	11964.6953	14634.6709	12698.4404	NaN	14694.4941	12443.249	12643.123	13749.5293	13403.9824	12947.4717	13643.6221	12868.6201	NaN	11540.5449	13441.1709	12559.8604	13909.749	12212.085	13507.9365	12778.2432	12107.2637	11949.4268	13308.4697	13419.6758	11340.3496	15356.1875	12776.459	NaN
2.9353	11754.543	14352.3379	NaN	NaN	13988.0361	12945.6074	13914.0391	14275.9551	12534.7246	12784.1982	13292.2266	12197.8984	NaN	11645.7578	NaN	13242.3564	13614.9424	11887.2432	13286.3496	NaN	12499.8906	11438.5479	13965.1094	14285.4951	11417.3828	14390.7793	12615.334	NaN
3.0687	12019.5186	13489.9521	NaN	NaN	13149.9102	12841.7334	13631.7324	13347.1338	13353.2051	12714.166	12784.7207	12472.7041	NaN	NaN	NaN	13046.999	NaN	11950.8838	13194.3164	NaN	12463.9922	11514.8994	13676.7422	NaN	10966.3506	13017.6641	NaN	NaN
3.2021	NaN	13636.8438	NaN	NaN	13339.3311	NaN	NaN	NaN	13516.8301	NaN	NaN	12608.7891	NaN	NaN	NaN	12195.3604	NaN	11688.1768	NaN	NaN	NaN	NaN	13314.9141	NaN	NaN	12078.9121	NaN	NaN
3.3355	NaN	13636.2295	NaN	NaN	12723.1455	NaN	NaN	NaN	NaN	NaN	NaN	12406.0117	NaN	NaN	NaN	NaN	NaN	12207.3916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	13688.6504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13085.7656	NaN	NaN	NaN	NaN	NaN	12419.6875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	13938.3008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12327.584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	14302.5322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12836.2959	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
