x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_32_7g	Y_20181208_15692_32_9g	Y_20181208_15692_33_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_16g	Y_20181208_15692_37_20g	Y_20181208_15692_40_4g	Y_20181208_15692_41_2g	Y_20181208_15692_41_6g	Y_20181208_15692_41_7g	Y_20181208_15692_42_2g	Y_20181208_15692_44_11g	Y_20181208_15692_44_19g	Y_20181208_15692_44_8g	Y_20181208_15692_45_12g	Y_20181208_15692_45_16g	Y_20181208_15692_46_5g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g	Y_20181208_15692_8_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_8g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_8_9g
1.3342	17349.1504	15268.5049	17520.875	15477.3193	13149.6562	14579.4023	13623.6963	16973.6211	13912.7773	12489.1348	15528.3828	15983.4912	13632.9023	14312.248	13690.7139	13284.1133	13961.9844	14458.7744	12790.6641	16092.0127	15182.5684	14246.2266	15380.5879	12486.6162	16787.3594	14615.5264	13167.6992	12284.2529	14657.4385	15307.1533	14086.1943	12566.9473	14298.0635	15263.6816	15061.7256	14816.0654	14338.25	13444.5547	14866.085	13765.0908
1.4676	16466.1719	14594.6426	16930.2207	15789.8027	13053.0566	14256.4238	13364.1719	16002.5928	13512.2998	12980.2852	14894.1973	15811.2988	13319.0625	14535.0195	13355.5732	12394.9316	13396.8232	15029.1924	12655.3174	15996.5654	15573.1377	14245.8262	15473.4316	11298.6738	16542.1133	14844.1768	12212.6699	11417.9385	14011.6934	14043.1318	13790.5664	13321.5068	14382.8418	14678.8047	14518.834	15487.1484	13812.3994	13097.8271	15556.2246	14074.8486
1.6011	16151.2549	14392.1738	15084.9551	14739.1025	11991.4795	14499.1924	13030.6807	16973.582	13507.1797	12966.1006	14291.5762	13854.8203	14194.5752	14346.1016	13348.4609	11852.4707	13403.5811	14441.3701	12730.1836	15397.0459	13949.0723	13992.0693	14700.8291	11458.7236	16046.8252	14637.666	11195.4785	11241.543	14094.3574	13684.293	13056.1484	13529.792	13631.541	15196.749	15248.9961	15097.9951	12601.4014	12910.0918	14343.6006	12281.3887
1.7345	15259.7539	14694.8398	15289.6279	13803.3574	11533.5439	14921.3711	13365.1582	17244.0508	13134.8984	12536.6562	13846.1318	13307.8652	13685.125	13502.6963	13198.6201	11708.2949	13684.6494	14558.4141	12147.0088	13665.9502	13053.3164	13166.4824	13405.3564	11523.5469	16573.9414	13535.0693	11556.8389	11592.2949	14712.5898	14386.1387	13117.8691	12777.9717	12924.6885	13904.0127	16138.8848	14160.4277	12283.5879	12133.9453	13949.2861	12233.7754
1.8679	13823.6963	15614.7725	14569.5107	14957.5	11565.9551	13996.2949	12620.832	15937.0977	12150.2549	13249.6748	14269.6104	12164.376	13091.7979	12688.415	12556.5537	11459.6797	13339.2998	13808.3027	11812.2881	13094.4141	12519.0176	13022.9785	12556.7939	10940.4814	16244.3828	13277.7754	11334.7217	11166.7275	14595.0205	14597.6416	14196.3818	12021.292	12429.6436	13267.9717	15973.9072	13209.0254	11980.4307	11750.9404	13122.623	11417.0039
2.0013	13678.6982	14240.8779	14210.6934	13376.0713	11530.5479	13293.4277	12786.2969	13910.9033	12707.2852	13559.0312	15540.5479	12128.9404	13434.6514	12504.1592	12732.7725	11210.8867	13660.9053	12928.0947	11428.7539	12361.3711	13011.0059	12561.2842	12524.4355	10667.0068	16884.9102	12970.2812	10770.6826	11159.0811	14881.5303	13919.4141	NaN	11316.3223	12808.6074	13257.4121	14419.6104	12933.5674	11535.3398	12159.1895	13312.79	11570.8828
2.1347	13648.7881	14245.5908	13045.2285	13191.6182	12565.5664	13198.335	12021.2061	13174.0332	12710.2139	12879.207	14445.6416	12228.7578	12684.9326	11757.6045	12923.0615	11340.6328	13147.9326	12152.8203	11333.3047	11460.7266	11670.3701	13733.2764	12122.1924	10895.5811	15167.6016	14050.958	10673.5078	11406.6943	13798.9551	13809.3037	NaN	11013.0088	12642.1113	13139.6729	14710.4023	11599.6953	11706.5703	11837.9551	12884.3857	11283.5322
2.2682	13554.9443	13064.3535	13349.1816	13274.1436	13028.4199	13439.2666	12202.0527	12503.165	12563.6572	11791.5176	12835.2061	12970.207	11996.4814	11426.9043	12381.8145	11657.29	12566.7539	12616.4326	11952.8779	11417.4463	12273.1738	14554.0977	11580.6846	10969.9316	14172.1055	12726.3027	11034.668	NaN	13054.2139	12864.5557	NaN	10706.252	NaN	12963.0137	14907.7441	11421.9453	11566.0488	10803.5869	12320.7568	11460.0586
2.4016	12642.3789	12534.8018	13204.3311	13431.7998	NaN	13726.4912	12737.9238	12680.7324	12870.0498	12483.6953	12649.2256	14194.3213	12301.5957	11353.0137	12007.5	12023.9736	12096.3828	12036.3574	11676.3291	11864.793	12219.1914	13414.5176	11443.4473	10928.2324	13594.6289	13368.043	10904.3438	NaN	12274.7822	12783.9521	NaN	NaN	NaN	12223.0049	14827.5488	11456.0342	11244.9326	10721.1445	12924.0674	11787.1191
2.535	12694.0459	13031.8164	13591.208	NaN	NaN	NaN	NaN	11422.8203	12771.0352	11999.3711	12333.4023	15276.9473	12619.25	10607.5967	11601.1025	11831.5635	11476.4189	11785.0508	12293.6172	11001.0107	11453.2998	12829.4404	NaN	NaN	13219.0635	12578.1494	10830.6367	NaN	11827.9893	11711.1064	NaN	NaN	NaN	11581.585	13130.084	11104.7139	10570.9785	10886.6758	12431.6963	NaN
2.6684	11144.0215	12378.3789	NaN	NaN	NaN	NaN	NaN	NaN	12290.8027	11595.9766	12089.7188	14558.9229	13049.5449	10925.3955	11431.9492	11322.6357	NaN	NaN	NaN	NaN	NaN	12107.2871	NaN	NaN	12567.9043	12264	10436.9121	NaN	11554.5771	11614.7139	NaN	NaN	NaN	NaN	12394.4893	10892.3428	10789.4199	NaN	NaN	NaN
2.8019	11183.2275	11965.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11473.0234	13390.8584	NaN	10358.5068	11446.0303	11695.7666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12849.9736	NaN	NaN	NaN	NaN	11431.8779	NaN	NaN	NaN	NaN	12818.2109	NaN	NaN	NaN	NaN	NaN
2.9353	11413.3057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13038.6055	NaN	9724.4893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11834.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11196.833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
