x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
1.8679	29339.1621	29893.9355	28934.3164	29896.9707	30785.1152	28789.8418	27027.7695	25927.2754	29847.1328	27327.623	28742.6992	28415.3105	28118.4062
2.0013	30024.7793	28734.0293	29106.8027	29571.207	32556.5078	27816.3359	25945.0254	27023.6523	30206.8301	26385.6211	28682.1602	29177.7793	28341.4297
2.1347	27717.1152	28613.7441	29773.1934	29652.6953	34013.668	28012.5391	27320.0527	27600.3242	28245.1133	26749.2402	28028.8965	28395.6094	29769.2891
2.2682	29360.8086	28465.6328	29948.0566	30914.9844	34892.7539	28293.9844	27679.7871	26893.8262	28149.5781	25950.7168	28332.6465	30310.5605	29409.7617
2.4016	29392.2383	29269.5918	30143.0703	30321.9922	36516.1406	28360.0957	29350.3711	28689.4785	27597.8047	26155.3125	30369.7578	30632.0586	30806.4688
2.535	29512.7266	31846.9102	30163.3047	33164.3711	35673.2773	29413.0625	29521.75	29231.5137	28169.3672	26876.418	31248.9668	29234.918	30699.3691
2.6684	29459.625	34615.8281	30360.748	37225.3516	39373.4375	30912.3965	29016.2832	29400.2969	29444.5918	26193.9531	31068.6367	29283.4199	34523.1875
2.8019	32682.5566	43854.4688	30883.1113	41188.1211	43410.6211	35065.0977	30197.748	31298.3809	30698.543	26731.1465	32777.6875	29918.334	43946.3477
2.9353	36944.8086	64670.2852	33032.5977	40439.3633	51972.1641	42980.2773	35093.1289	32742.1953	32361.7832	27915.9375	39508.1094	31838.6699	64139.6172
3.0687	49661.7148	81793.6875	35241.3398	39031.6289	52112.1367	58581.9219	41893.7148	40749.4023	40143.6172	31268.0879	54297.332	31919.4922	86036.6719
3.2021	72106.4219	74880.9219	38715.4023	45379.25	43254.2539	65046.2383	52316.6289	55457.7734	56311.4141	37518.0391	88613.6406	32632.3262	75711.7188
3.3355	93373.9141	51033.5703	43736.3555	49276.1758	35449.207	50500.1484	51484.3867	81783.1016	68370.4688	45220.4297	123854.1016	36362.5039	50780.2266
3.469	86238.0156	40137.0508	49034.5352	41801.375	33472.7656	37646.0625	41515.1172	85755.0078	58934.8867	51837.4258	109873.6953	46832.9766	37491.3438
3.6024	59619.8242	34559.3945	47794.375	34100.4844	32742.4844	32591.6094	32992.1328	61115.9062	43868.8438	42643.9453	71456.5547	62812.7188	30830.918
3.7358	42987.4844	32411.4121	42380.4141	31469.9414	31891.832	30847.6484	30007.6562	50104.8906	35295.5586	33287.8945	48282.5586	61296.8555	30527.3281
3.8692	36364.6719	31488.3516	38167.5273	31194.6836	NaN	30197.1758	28505.9453	54441.8008	32221.6035	28066.8457	39041.6719	47348.6914	29809.4746
4.0027	33506.2188	NaN	40035.3008	30071	NaN	28615.1172	28027.6191	NaN	30546.1816	28831.6328	35758.1211	37735.4648	27886.2754
4.1361	32278.1562	NaN	NaN	NaN	NaN	28572.2637	28465.5273	NaN	29697.9668	29474.5469	33925.6641	33187.1992	NaN
4.2695	30162.8066	NaN	NaN	NaN	NaN	28882.1914	26954.6172	NaN	30386.5391	26661.252	NaN	NaN	NaN
4.4029	29820.5977	NaN	NaN	NaN	NaN	NaN	27014.0215	NaN	NaN	28447.5	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
