x	Y_20180212_14590b_1_14g	Y_20180212_14590b_1_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_11_2g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_5g	Y_20180212_14590b_13_7g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_3g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_2g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_1g	Y_20180212_14590b_2_3g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_2g	Y_20180212_14590b_21_4g	Y_20180212_14590b_21_5g	Y_20180212_14590b_22_3g	Y_20180212_14590b_22_4g	Y_20180212_14590b_23_1g	Y_20180212_14590b_23_2g	Y_20180212_14590b_23_4g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_4g	Y_20180212_14590b_24_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_6g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_1g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_32_2g	Y_20180212_14590b_34_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_1g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_5g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_3g	Y_20180212_14590b_4_6g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_3g	Y_20180212_14590b_41_4g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_46_1g	Y_20180212_14590b_46_5g	Y_20180212_14590b_47_4g	Y_20180212_14590b_48_10g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_11g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_4g	Y_20180212_14590b_6_3g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_4g	Y_20180212_14590b_9_1g	Y_20180212_14590b_9_6g
1.3342	20822.83	15311.354	17855.797	13795.122	16706.619	17102.936	15398.139	14435.638	13951.819	21886.838	17303.469	14550.792	15721.167	17668.951	15121.485	23603.148	23937.654	13843.778	15184.14	18866.887	16991.32	16479.838	14717.891	14675.796	15681.963	17095.395	17443.463	16339.533	20180.797	15082.049	18479.916	13542.554	20383.986	15430.666	16256.997	17678.805	14338.295	18954.559	21465.742	13187.119	20703.523	14272.239	16150.122	14246.463	17296.271	18746.184	14400.452	17995.189	14842.873	18896.615	16661.594	18896.582	17072.746	17693.723	18036.715	14156.077	17374.291	15080.428	29995.305	15392.393	18131.105	17041.023	17038.008	15262.831	17409.188	18179.43	17056.078	21079.764	21009.828	14682.993	20531.906	16154.298	13678.57	15202.891	16755.402	19288.277	19009.076	14215.45	18398.229	15720.611	21629.812
1.4676	20251.232	14543.114	17280.934	14348.711	17528.543	16554.906	14242.798	15874.505	14977.503	20062.709	16398.99	14647.236	14589.612	18592.705	14916.289	22102.385	22057.717	12571.775	15931.433	17233.697	16790.703	16387.781	14686.186	13125.204	15908.998	16061.601	18292.631	15255.136	18347.666	15143.4	17116.885	12988.45	17635.91	15347.317	16205.438	15412.718	14521.578	17214.643	21010.961	12773.512	18598.848	13887.647	15163.402	13914.687	16977.707	17974.428	14991.88	18107.781	14118.008	19469.932	15891.227	18858.148	18125.854	18910.574	20184.451	14654.336	16250.567	13912.142	26302.809	14734.922	18026.107	18158.676	18079.391	14821.11	17166.527	17283.521	15474.386	19811.135	20600.57	13791.593	20156.15	16500.992	13813.129	14982.465	15037.379	19437.195	18773.396	15496.444	17851.33	16102.819	20278.971
1.6011	18704.684	13976.043	16722.781	15796.238	19409.68	15290.471	13352.216	17342.203	14996.909	18628.475	17290.744	14792.241	16273.49	18805.203	14374.664	20020.918	19879.516	13066.509	15217.655	17993.242	15825.476	17589.027	14040.246	12972.992	17091.34	17046.842	18763.645	16445.756	16449.785	15409.105	15980.07	13522.112	16939.488	15760.016	16279.929	13864.436	15381.838	15601.896	19696.775	13902.385	18129.576	13581.569	15465.12	14850.062	15435.458	17805.113	16343.312	19334.15	15127.934	19331.143	15220.335	17454.748	21451.607	22024.938	24583.018	15847.031	16037.533	14679.589	22644.504	15689.272	16540.305	18866.098	17727.537	16008.357	16074.699	18716.613	15302.765	20970.703	20792.281	13726.968	19985.684	16870.807	14337.873	14233.436	15092.022	19534.99	18453.723	15220.332	16374.059	17802.721	20419.156
1.7345	19267.721	15245.133	15710.13	17361.012	18255.043	15926.969	13277.204	19925.635	15311.636	19972.641	17732.467	15814.286	16837.832	19704.6	13440.027	19455.348	18317.82	13821.068	14499.409	17643.014	14747.912	19342.93	14355.871	13452.668	16907.328	17361.381	18732.646	17758.799	15797.122	16609.463	16596.74	13443.379	19878.348	16627.85	16217.824	14575.684	15041.112	15588.301	17988.967	14914.877	18951.936	14311.985	16594.102	16027.863	14429.043	19096.65	19374.363	21629.979	16791.008	20017.168	15801.884	17217.145	25570.826	29270.793	31236.025	17341.406	16529.734	14697.64	21139.539	17426.57	18340.359	18887.434	19967.021	17522.17	16717.877	18961.873	15241.577	23758.244	22086.211	13989.746	19705.326	19382.922	14876.846	15619.857	14856.52	17973.24	19302.48	16486.17	16272.227	20561.26	21983.143
1.8679	21186.494	16825.012	13786.082	19784.561	17747.279	15678.083	14068.64	25138.836	17232.953	19698.947	18120.996	17093.605	19748.74	21994.184	13623.244	18332.967	18505.768	13419.941	15561.5	17107.783	15270.087	23205.908	13856.205	15260.844	18808.842	15418.185	18986.502	19317.666	14927.375	19244.055	17126.064	14429.152	17967.451	17239.982	17546.555	15837.624	15703.909	15414.134	15593.771	16158.148	18770.674	14287.753	15728.528	18826.457	14218.959	20596.035	25151.965	31550.82	16625.117	21091.695	17636.055	16797.926	28967.055	32613.906	32935.582	16666.066	16235.777	16100.347	19559.543	19736.92	18237.387	18003.209	20127.982	18874.049	19083.07	19063.436	16980.635	23996.957	21798.383	13082.413	21521.938	24626.645	15390.499	16783.541	14625.112	17944.621	18650.648	17490.023	18681.551	20850.633	24223.404
2.0013	24799.553	19211.209	13470.258	23811.256	17130.59	16473.492	14892.108	NaN	20164.422	19115.607	21587.959	20105.297	23709.596	22701.426	14068.728	17715.227	19311.215	13633.676	16004.775	17376.107	17238.512	29560.947	14958.032	16589.986	20358.629	14588.569	19891.477	20652.127	14125.026	24144.816	18168.531	16148.696	17208.1	18990.684	20786.547	16503.062	16949.777	14367.511	14643.801	18777.854	20777.961	14376.863	16602.191	23408.521	15953.8	22646.15	34565.641	45836.355	17812.924	21456.264	17855.598	16934.041	26769.824	NaN	26893.385	16727.838	17404.096	16385.059	18329.625	21796.918	16331.136	17621.785	20006.711	20433	21619.285	19081.289	18648.1	24381.721	25785.129	13239.136	29526.779	29803.4	17613.729	18233.234	16741.5	20140.928	18934.035	18399.564	19963.822	20019.516	24936.432
2.1348	28481.545	20240.535	13796.438	28758.799	18588.557	18601.531	18132.92	NaN	21963.049	22256.463	25713.127	22313.637	26739.619	24034.559	14236.148	16308.91	20619.211	12969.483	15339.069	18140.947	20112.537	31008.059	17728.807	17930.24	21125.18	15756.939	20810.275	20468.32	13607.408	27956.598	19522.365	19711.486	20156.26	25570.676	25839.123	18590.047	20114.559	14595.417	15606.637	20982.07	23240.451	15249.045	17144.318	26857.664	17622.08	25857.787	37461.633	46264.098	19653.242	23566.203	18011.213	17549.043	21898.02	NaN	21353.75	18118.637	21994.025	16755.912	19068.186	22450.938	16128.604	18959.012	19349.264	22304.705	24722.539	17979.34	21311.873	23941.885	29001.592	14467.876	40959.984	31636.52	20926.938	18895.424	19341.348	23954.682	18630.756	18264.25	20220.209	17658.365	NaN
2.2682	34005.43	20871.143	13501.233	30227.998	19897.863	20878.762	21175.955	NaN	23932.256	26183.182	30273.639	24012.42	26137.473	24928.617	15021.042	15968.65	20885.592	12820.533	14205.798	21011.738	23857.197	28382.244	19839.709	18315.635	20359.818	17086.326	NaN	19455.742	12621.408	25440.723	19775.697	24104.053	23573.793	37760.551	26752.824	23932.404	25080.271	16115.374	16797.682	23201.707	26009.949	17292.566	17125.131	NaN	19649.898	29358.221	NaN	36519.484	24134.064	26282.729	19903.725	19696.979	19737.693	NaN	18400.039	18737.271	26539.047	17586.566	19418.471	19346.764	15832.673	21742.461	21547.178	25280.26	27261.707	15778.136	24789.797	22302.668	31822.277	16931.736	46904.703	28064.201	23946.424	19066.117	22472.156	28472.729	19809.68	18706.945	20027.191	16368.248	NaN
2.4016	38384.203	21541.424	12993.294	NaN	21895.957	NaN	21481.707	NaN	NaN	30617.125	35604.75	NaN	NaN	21749.059	16877.713	16333.054	18766.533	12729.747	13962.239	24099.301	29245.211	25341.549	25008.42	18867.182	19001.752	16594.555	NaN	17843.576	12470.488	20610.012	19834.234	29949.732	26121.461	49805.027	25747.928	30558.104	26263.742	19651.465	17903.084	NaN	28793.168	20892.297	16708.479	NaN	21143.57	30435.512	NaN	28564.238	26142.352	30774.73	21706.98	21458.797	NaN	NaN	18789.549	17851.584	31711.604	18907.049	19280.211	NaN	15884.467	26645.553	24931.389	26908.449	27381.613	14794.622	28126.17	20723.473	34159.395	17397.582	43228.852	21927.342	28280.521	17926.979	NaN	31941.855	20342.148	NaN	19745.002	NaN	NaN
2.535	36537.844	NaN	NaN	NaN	23103.869	NaN	NaN	NaN	NaN	32795.727	40034.867	NaN	NaN	18366.314	17692.479	16256.792	NaN	12062.816	13711.146	26972.301	30419.221	21831.49	30328.352	NaN	17761.271	16157.604	NaN	15955.957	12563.038	18654.869	NaN	30008.418	29418.145	49504.52	23453.092	NaN	NaN	23444.908	18807.086	NaN	29942.074	23499.061	NaN	NaN	NaN	29461.316	NaN	21837.189	25794.775	NaN	25565.709	22844.506	NaN	NaN	18020.248	NaN	32507.857	20348.805	17809.434	NaN	17308.229	27978.787	28083.016	28649.717	NaN	14204.461	NaN	NaN	34637.121	16790.93	33632.551	NaN	NaN	NaN	NaN	NaN	19181.664	NaN	19819.814	NaN	NaN
2.6684	36232.414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17021.791	18024.635	NaN	NaN	NaN	13740.455	27429.309	29998.98	18768.666	NaN	NaN	17644.318	15289.919	NaN	NaN	13516.096	NaN	NaN	25281.738	NaN	40460.539	20825.033	NaN	NaN	28966.779	NaN	NaN	29358.359	25560.881	NaN	NaN	NaN	26202.844	NaN	NaN	24773.896	NaN	28783.686	22262.906	NaN	NaN	NaN	NaN	30486.582	20108.824	16618.209	NaN	18045.576	NaN	27414.434	28480.807	NaN	NaN	NaN	NaN	32119.801	15658.238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20842.803	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16178.351	NaN	NaN	NaN	14094.854	NaN	26828.26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13594.983	NaN	NaN	NaN	NaN	32821.703	NaN	NaN	NaN	30394.318	NaN	NaN	NaN	26076.896	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31105.037	21606.975	NaN	NaN	NaN	NaN	28565.219	18668.898	15232.387	NaN	NaN	NaN	24319.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14164.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31803.957	20925.684	NaN	NaN	NaN	NaN	25343.766	NaN	15249.603	NaN	NaN	NaN	23013.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20138.467	NaN	NaN	NaN	NaN	NaN	NaN	14585.99	NaN	NaN	NaN	21826.518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19416.902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
