x	Y_20181208_15100_1_7g	Y_20181208_15100_11_4g	Y_20181208_15100_14_1g	Y_20181208_15100_16_1g	Y_20181208_15100_17_5g	Y_20181208_15100_18_3g	Y_20181208_15100_19_5g	Y_20181208_15100_4_1g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g	Y_20181208_15100_7_8g
1.3342	26260.2168	33811.0938	28534.2715	27270.0059	29650.9062	30753.5488	27187.9434	28545.6113	31157.5254	32038.8887	32031.6094	31806.9473	31839.2598	30398.9766	32690.6289
1.4676	26800.5762	32040.4336	28937.0098	26872.7539	28298.1992	30811.7637	27434.1484	28576.3828	31138.168	32904.8828	32011.5078	32589.5371	30234.8086	31124.3301	33041.4805
1.6011	25940.541	32060.541	30994.9043	26988.3398	30249.5176	31777.1426	26614.002	27345.5098	31327.3359	31668.0059	31523.6309	33656.2969	31631.4707	31744.2461	32320.707
1.7345	27129.9805	32676.6094	32351.8242	28545.4922	29676.832	33164.1016	26324.7266	27372.3867	30990.291	30963	31529.4727	34777.7891	31313.9043	31425.4688	34159.7188
1.8679	27367.0352	32075.1133	36918.9141	27886.6387	29868.1328	32612.4688	26285	27301.2812	30835.6035	33256.9648	32871.7383	38215.1445	30484.4121	31687.1816	35858.1523
2.0013	28060.1875	33272.9336	36043.043	29174.0625	30640.1777	32023.1074	26828.6406	27859.4199	31076.8457	33845.0547	33328.9609	41449.8672	33200.0703	32377.4883	40489.5859
2.1347	29251.9023	34262.5938	48063.8867	28046.0625	32422.8066	34541.5117	25832.5742	28150.377	30264.0078	36110.7734	33729.418	49085.4688	32649.6328	32450.668	50406.457
2.2682	32089.0215	36665.9961	77263.4609	30627.8242	36948.5117	33071.9766	28140.877	30866.9473	32376.584	41466.6328	35110.7031	68528.3047	34074.5078	33240.5703	71975.2188
2.4016	33820.207	38010.5117	132996.9219	33671.0234	46465.8984	33867.4375	27945.9453	34057.5234	31389.877	56233.4102	41213.3516	114185.875	35807.832	33993.5391	76000.2891
2.535	41088.1328	48965.793	160240.2031	41397.125	64458.207	33807.1758	28751.1328	35531.7188	31428.8887	88038.4844	52423.8242	142890.2969	42937.5039	38593.5391	60526.2969
2.6684	59023.4922	67700.9141	120914.0625	60850.5547	71951.7188	37699.5898	32846.6133	45415.8789	35180.1445	124119.9531	80444.7422	110291.6016	62074.1523	52639.9258	44718.4961
2.8019	78387.0781	82268.1719	69516.8984	82920.0391	51954.1289	45763.4453	40396.0977	71307.6484	40241.7188	106486.6797	94715.5703	62876.9883	96629.1641	81336.6562	37320.6367
2.9353	72581.0156	70776.7031	45196.082	78569.5859	39611.4453	56903.9727	46424.0156	109300.9375	55905.5156	70838.4844	74902.8516	40622.8438	112394.0781	96884.8594	NaN
3.0687	49863.4844	52205.4883	36877.2539	61358.0547	34875.207	60896.7422	40297.0117	104743.5156	81519.4922	50314.293	49645.0391	35105.5078	82176.3359	75989.5234	NaN
3.2021	35954.0625	41684.9766	35654.2578	67698.9219	33805.3867	50854.0859	33084.4844	66171.5469	79734.6016	41311.4453	38376.5312	32252.5566	54998.4492	49000.707	NaN
3.3355	32531.4453	37443.4062	32707.3848	NaN	NaN	44396.3984	29456.2266	42232.8203	54719.3086	39110.418	34403.8828	31333.2441	41185.9844	38613.9766	NaN
3.469	34147.9023	36120.5391	NaN	NaN	NaN	50941.1641	28739.6113	34988.8633	40008.3281	33994.2812	34016.0156	30597.8613	37152.9688	34827.3359	NaN
3.6024	NaN	35815.332	NaN	NaN	NaN	NaN	28435.918	31074.9512	34815.0312	33611.0664	32335.7852	NaN	32826.8711	32618.1074	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29650.2383	32400.8926	33441.6484	32258.709	NaN	NaN	33413.9648	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29549.6152	33435.3984	NaN	NaN	NaN	NaN	33351.9766	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29298	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
