x	Y_20180212_14590b_1_3g	Y_20180212_14590b_11_9g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_15_8g	Y_20180212_14590b_16_3g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_17_2g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_18_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_22_5g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_26_4g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_3_7g	Y_20180212_14590b_30_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_37_1g	Y_20180212_14590b_37_3g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_45_2g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_47_6g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_3g	Y_20180212_14590b_5_7g	Y_20180212_14590b_7_1g	Y_20180212_14590b_7_4g
1.3342	15311.354	18417.592	13951.819	17303.469	16511.287	22993.066	17668.951	15121.485	13358.444	17378.908	13194.83	16948.016	15184.14	17095.395	16811.648	15430.666	16256.997	17678.805	18954.559	17355.746	15954.698	16790.789	14272.239	14246.463	18354.566	16304.672	18746.184	14842.873	15515.438	17828.221	15932.607	16661.594	15816.954	16666.426	19917.77	18195.229	17016.373	17041.023	17038.008	16398.568	21009.828	14682.993	15087.82	17435.988	17042.197	15672.86
1.4676	14543.114	19874.574	14977.503	16398.99	15932.289	22965.404	18592.705	14916.289	13984.472	17072.068	13072.599	15475.264	15931.433	16061.601	16244.308	15347.317	16205.438	15412.718	17214.643	16485.434	17633.814	16654.291	13887.647	13914.687	18221.012	16245.045	17974.428	14118.008	15520.8	16675.025	14532.098	15891.227	14616.803	16150.794	17961.869	18056.645	18443.602	18158.676	18079.391	15012.835	20600.57	13791.593	14707.908	16770.6	16398.137	16403.596
1.6011	13976.043	19686.293	14996.909	17290.744	14897.535	21762.365	18805.203	14374.664	14508.702	16226.487	12289.7	15191.869	15217.655	17046.842	16630.068	15760.016	16279.929	13864.436	15601.896	18324.402	19149.84	16077.3	13581.569	14850.062	16865.07	15349.388	17805.113	15127.934	14380.447	18120.318	13142.642	15220.335	13599.436	15570.911	16906.289	17934.09	19808.305	18866.098	17727.537	14727.647	20792.281	13726.968	15860.325	16775.064	15894.345	17668.703
1.7345	15245.133	18423.455	15311.636	17732.467	15202.286	21069.383	19704.6	13440.027	13951.698	17047.432	13349.901	15553.809	14499.409	17361.381	16060.756	16627.85	16217.824	14575.684	15588.301	19197.207	21201.381	16644.107	14311.985	16027.863	17385.078	16690.281	19096.65	16791.008	14551.144	17667.855	12945.276	15801.884	14267.028	14101.813	16017.739	18332.701	18593.871	18887.434	19967.021	14272.396	22086.211	13989.746	15989.089	16130.254	16260.604	16922.113
1.8679	16825.012	18427.531	17232.953	18120.996	14978.929	24144.748	21994.184	13623.244	14165.198	17050.674	12436.593	14879.943	15561.5	15418.185	14885.105	17239.982	17546.555	15837.624	15414.134	21560.703	21605.16	14494.083	14287.753	18826.457	16577.422	18660.135	20596.035	16625.117	15434.038	17172.494	13457.329	17636.055	15897.967	15033.807	15593.598	18656.438	17948.199	18003.209	20127.982	14650.629	21798.383	13082.413	16515.422	15482.167	16381.156	17562.289
2.0013	19211.209	22306.73	20164.422	21587.959	15246.178	26792.762	22701.426	14068.728	14850.571	16797.844	13242.184	14706.096	16004.775	14588.569	14878.76	18990.684	20786.547	16503.062	14367.511	25500.99	19562.348	14349.837	14376.863	23408.521	16200.433	18909.4	22646.15	17812.924	16623.242	18854.811	15253.757	17855.598	16302.578	16661.697	16001.548	17942.988	18116.479	17621.785	20006.711	15601.603	25785.129	13239.136	18314.908	14621.674	18164.812	17554.752
2.1348	20240.535	22246.459	21963.049	25713.127	16798.033	27009.332	24034.559	14236.148	15235.429	16816.168	15266.296	15260.247	15339.069	15756.939	14406.917	25570.676	25839.123	18590.047	14595.417	32025.383	19177.854	17289.395	15249.045	26857.664	15324.549	17775.715	25857.787	19653.242	19147.641	19200.734	16842.832	18011.213	17959.137	18092.652	15654.748	19298.686	18627.922	18959.012	19349.264	18800.664	29001.592	14467.876	19415.727	14391.146	20727.135	17884.67
2.2682	20871.143	23756.258	23932.256	30273.639	19211.701	25639.266	24928.617	15021.042	16878.574	15952.042	17457.695	16227.859	14205.798	17086.326	14277.21	37760.551	26752.824	23932.404	16115.374	38494.547	20773.275	20578.342	17292.566	NaN	16415.576	17287.418	29358.221	24134.064	25161.068	20477.35	18059.395	19903.725	20493.445	18887.834	18098.162	22622.039	18285.203	21742.461	21547.178	22984.734	31822.277	16931.736	19978.416	14693.879	25837.576	19414.881
2.4016	21541.424	26616.469	NaN	35604.75	24956.67	22076.547	21749.059	16877.713	20611.49	15959.714	20865.543	15785.013	13962.239	16594.555	15648.708	49805.027	25747.928	30558.104	19651.465	39243.188	24374.662	23469.998	20892.297	NaN	18618.314	19868.553	30435.512	26142.352	30716.98	21468.092	21951.941	21706.98	25846.787	20271.293	20070.072	31276.557	20755.289	26645.553	24931.389	25152.713	34159.395	17397.582	20899.641	15303.347	30134.553	21948.807
2.535	NaN	30067.701	NaN	40034.867	31855.186	18388.625	18366.314	17692.479	22679.174	14535.935	24791.768	15158.563	13711.146	16157.604	18364.484	49504.52	23453.092	NaN	23444.908	33272.793	27298.252	23290.588	23499.061	NaN	23561.932	20529.885	29461.316	25794.775	33730.43	20095.701	29397.242	25565.709	28583.82	22763.486	24317.492	36060.688	22379.453	27978.787	28083.016	22259.551	34637.121	16790.93	19213.559	16863.537	31054.291	25306.832
2.6684	NaN	33108.172	NaN	NaN	NaN	15985.318	17021.791	18024.635	22211.826	12903.062	25204.365	14719.099	13740.455	15289.919	21163.391	40460.539	20825.033	NaN	28966.779	24080.031	30241.121	23225.072	25560.881	NaN	25755.676	19861.094	26202.844	24773.896	29522.359	18531.426	33634.746	28783.686	30668.316	25596.943	29650.311	36064.699	21718.191	NaN	27414.434	NaN	32119.801	15658.238	17932.758	18861.359	NaN	28058.672
2.8019	NaN	36859.719	NaN	NaN	NaN	15686.713	NaN	16178.351	NaN	12928.228	22458.209	13455.742	14094.854	NaN	23545.115	32821.703	NaN	NaN	30394.318	20197.961	30531.664	NaN	26076.896	NaN	NaN	NaN	NaN	NaN	25088.305	NaN	NaN	31105.037	29513.389	26397.555	33798.082	30661.814	20520.139	NaN	24319.143	NaN	NaN	NaN	16725.602	19838.211	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	15076.124	NaN	NaN	NaN	12139.743	NaN	13635.053	14164.268	NaN	23727.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31803.957	26178.148	NaN	NaN	25804.6	NaN	NaN	23013.844	NaN	NaN	NaN	NaN	19680.117	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	13803.983	NaN	NaN	NaN	NaN	NaN	14356.096	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22556.766	NaN	NaN	21826.518	NaN	NaN	NaN	NaN	19359.477	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19416.902	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
