x	Y_20181208_15693b_1_10g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_10g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_13g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_6g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_22g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_6_8g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_4g
1.3342	35576.1875	34453.4805	33796.2812	33104.8125	37893.3711	35815.2539	40020.9336	32657.2559	31741.4434	33056.5469	29794.5352	39032.1875	29393.7285	34576.2109	33842.8867	44271.1992	68666.5391	30051.2578	31068.8223	30580.7871	34669.9062	29592.3242	30307.8125	28041.584	31412.2344	27865.3223	30353.0469	55473.0703	30867.7129	35069.5078	30337.2168	33559.0352	33393.082	38393.3672	36925.7891	31569.1738	33020.1016	25892.2676	33983.793	31659.8008	33094.8555	29777.4258	32225.7129	30815.998	31404.6074
1.4676	42540.5195	36090.0664	33532.7227	34202.8594	45455.6367	40461.2812	48242.543	35522.7695	35340.1406	34422.1367	31144.3789	46209.8359	29876.9609	34489.8281	36018.3086	65265.3594	104564.375	29543.873	32028.0371	30060.2422	34524.8242	31828.4609	30784.1309	30788.8262	31810.9824	28533.3594	35650.5508	62615.8086	32412.2129	39785.6523	35540.7227	38164.918	37580.707	47027.5156	43387.5469	32706.5977	39012.0625	26314.5684	38988.2148	43022.6367	35561.6328	30471.7637	34408.6328	32928.1797	33288.9141
1.6011	55688.2578	37666.4258	32365.6621	37131.793	62628	51032.6094	65567.9453	48280.2227	43126.2891	41613.7773	37961.0195	60097.5469	30881.3633	34904.7344	39535.1172	94804.1406	107312.0859	29663.1172	32920.2773	32880.4766	37576.4102	37805.5117	30140.4102	36210.6367	34253.9688	30223.2285	44745.6328	51177.1953	35823.8164	48549.4727	43981.2148	48221.6445	44052.9648	64761.0586	66466.0391	35731.5156	49337.168	26367.9297	52919.6445	61983.3281	41589.418	31444.3594	41699.5273	31813.0684	35552.5977
1.7345	83887.2031	42473.5195	33275.4531	46319.9414	93499.0859	73810.7734	97910.9531	70606.2578	64555.3438	57370.6875	50372.5273	64488.1445	32504.1191	37336.7148	51118.6602	96989.8438	77257.3438	31447.3789	43046.1055	38512.9766	45834.1875	50147.9414	31462.6172	47731.8398	38500.293	37004.3828	56645.2227	40589.3672	47665.5352	69292.3125	65157.7422	68283.7031	61402.9453	96743.625	91442.3359	43264.4648	69410.1797	31183.1191	79951.2031	81638.1484	51215.7188	32082.0918	63053.1523	34713.3984	41247.1992
1.8679	102173.3672	54684.4883	34853.2656	63300.7461	99343.4922	92813.6094	106349.6328	87748.5391	88803.6641	90400.4141	56685.8594	51088.4766	36807.0625	42962.3594	68586.5547	69782.1406	46309.3906	32013.3965	57587.7031	48844.2266	60453.5859	62211.9102	33570.4219	79907.5078	47450.6133	49791.2461	55342.7539	36577.1016	73387.9375	80731.7969	89996.25	86521.3672	92059.7656	123388.8359	91373.5703	63949.957	84010.9453	36265.9141	98184.7656	77354.6562	74114.7188	31800.8789	90662.7891	40597.707	61033.7891
2.0013	82319.0312	74518.4297	41487.3359	86625.5234	71859.7891	87852.8594	76204.2578	77931.0703	89406.5391	114044.1719	50036.8867	41729.6289	46371.7148	57729.6094	72558.4609	50041.9609	35304.2227	34948.9219	64872.6953	62556.9609	73107.625	58539.5938	37725.4062	110307.6172	59889.9375	63889.7734	42992.1445	34264.8398	102961.5	65506.3125	93467.7734	74194.9844	103427.5547	102788.5078	63874.9688	90355.8359	74764.2422	49789.668	83198.4062	56136.5977	82520.375	33626.7852	93382.3203	54605.7461	82793.3516
2.1347	54108.6484	76768.9844	54574.3984	88217.6797	49771.6484	59431.6445	54807.4531	52744.3789	63002.0977	97401	41886.8672	36304.8594	67744.7891	70240.6406	54857.625	NaN	31699.8066	45373.4961	49644.8555	62229.043	65156.1328	46354.2969	50063.4883	108846.9609	59384.1406	62306.7422	33841.0625	33537.8906	96546.0938	48602.2812	69832.9062	52000.1875	77244.8281	62880.1445	43971.0664	92872.625	52420.9688	61803.0469	56046.5195	36762.9062	63809.8086	38534.2422	72266.5312	86742.2422	82743.0859
2.2682	41190.9766	62710.6992	80634.25	62855.9023	43141.3867	44279.2891	50299.3477	37725.3828	46772.1328	74294.6719	35401.4609	36561.0352	84188.5781	63593.8477	40946.3281	NaN	29919.0449	65168.0859	38884.8359	46029.0508	47992.3672	37322.7656	69222.8984	68460.0312	46772.1602	47449.0703	30008.3496	32685.1914	68666.2422	39157.4102	47725.875	40319.1875	51783.0234	45415.8398	39465.8477	64278.0977	35221	50304.4062	44539.207	32093.4434	43733.1953	47365.7148	49506.5117	116138.7344	58498.8477
2.4016	38971.3633	53697.9961	89029.0781	43281.4492	38464.1406	38614.3789	45470.6133	NaN	45884.875	62004.2148	32447.1562	34499.6094	69101.2969	48226.6953	34565.9062	NaN	27028.5801	78594.7266	35902.918	36727.4062	39448.0312	34700.5508	75766.3203	45270.1641	36154.3711	43932.8477	27472.1914	NaN	48243.6133	34687.9414	34663.6914	36758.2422	43209.3867	38498.3203	34363.1172	44137.0273	31480.9062	35326.832	41049.7852	29888.6777	37593.5391	65681.5156	39018.5	101282.1719	43918.8516
2.535	40519.7695	48775.2656	66671.4375	38351.3242	37729.3086	33897.543	41965.2539	NaN	NaN	48423.793	32023.6504	34176.6484	47669.4727	39074.9883	31122.3789	NaN	27365.334	68625.3984	33701.1094	33258.4414	35581.5039	30456.6875	62650.2578	34526.2617	34905.4531	47722.4102	27018.0371	NaN	40280.8398	33153.9453	32705.2344	33907.332	43150.7891	34247.707	36807.3906	35080.4922	30836.4844	29357.1543	36012.2969	28933.6582	34055.2266	76831.4531	34458.0703	66448.9922	36220.3594
2.6684	40113.375	48923.6562	47164.332	35608.832	36680.8398	33629.5391	40006.3398	NaN	NaN	38767.8984	32103.0703	NaN	37037.3555	35773.2109	29408.3359	NaN	NaN	49865.4648	31609.6484	NaN	34191.4805	NaN	45815.5781	32769.3711	32575.0137	NaN	26731.707	NaN	36213.6484	31891.6309	29232.1641	NaN	NaN	32738.666	32945.9336	32004.2188	30150.0723	27188.3145	NaN	27998.252	33730.3711	67129.9453	33620.4375	46985.5742	33188.6445
2.8019	36610.0117	60697.7266	36658.1719	34885.7578	35033.1211	32739.5762	NaN	NaN	NaN	36045.6758	33037.4766	NaN	35114.125	34320.1523	30785.0625	NaN	NaN	42115.3086	NaN	NaN	NaN	NaN	38681.2539	42159.9844	32099.873	NaN	27025.084	NaN	32708.8047	NaN	27420.1309	NaN	NaN	32483.9609	NaN	30174.2617	29791.6914	26525.4961	NaN	NaN	32860.4062	48406.8125	33037.9258	37521.0078	31765.4609
2.9353	NaN	NaN	33203.8047	34273.5625	NaN	NaN	NaN	NaN	NaN	34352.4141	NaN	NaN	32184.9648	32995.5547	NaN	NaN	NaN	39637.8477	NaN	NaN	NaN	NaN	35239.8984	NaN	NaN	NaN	28801.5938	NaN	32452.0938	NaN	NaN	NaN	NaN	NaN	NaN	30074.5293	NaN	26014.8828	NaN	NaN	NaN	39748.9453	NaN	33174.2773	NaN
3.0687	NaN	NaN	32643.8066	NaN	NaN	NaN	NaN	NaN	NaN	32316.7949	NaN	NaN	31966.084	34103.5234	NaN	NaN	NaN	36971.2617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32802.4297	NaN	NaN	NaN	NaN	NaN	NaN	30925.2598	NaN	NaN	NaN	NaN	NaN	39569.5508	NaN	32229.1602	NaN
3.2021	NaN	NaN	31813.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31044.1543	33551.3828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	32299.4863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
