x	Y_20180212_14590b_1_10g	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_2g	Y_20180212_14590b_1_5g	Y_20180212_14590b_1_6g	Y_20180212_14590b_1_7g	Y_20180212_14590b_1_8g	Y_20180212_14590b_10_1g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_11_6g	Y_20180212_14590b_12_1g	Y_20180212_14590b_12_2g	Y_20180212_14590b_12_6g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_1g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_13_6g	Y_20180212_14590b_15_1g	Y_20180212_14590b_15_2g	Y_20180212_14590b_15_6g	Y_20180212_14590b_16_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_4g	Y_20180212_14590b_17_6g	Y_20180212_14590b_17_7_2g	Y_20180212_14590b_18_1g	Y_20180212_14590b_18_3g	Y_20180212_14590b_18_6g	Y_20180212_14590b_19_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_21_3g	Y_20180212_14590b_23_6g	Y_20180212_14590b_24_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_26_2g	Y_20180212_14590b_26_7g	Y_20180212_14590b_27_1g	Y_20180212_14590b_27_2g	Y_20180212_14590b_28_1g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_4g	Y_20180212_14590b_28_5g	Y_20180212_14590b_29_3g	Y_20180212_14590b_3_2g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_5g	Y_20180212_14590b_3_8g	Y_20180212_14590b_30_3g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_2g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_3g	Y_20180212_14590b_32_4g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_1g	Y_20180212_14590b_33_2g	Y_20180212_14590b_33_7g	Y_20180212_14590b_34_2g	Y_20180212_14590b_35_1g	Y_20180212_14590b_35_4g	Y_20180212_14590b_37_2g	Y_20180212_14590b_37_4g	Y_20180212_14590b_39_2g	Y_20180212_14590b_4_1g	Y_20180212_14590b_4_2g	Y_20180212_14590b_4_9g	Y_20180212_14590b_40_1g	Y_20180212_14590b_40_3g	Y_20180212_14590b_41_2g	Y_20180212_14590b_43_4g	Y_20180212_14590b_44_2g	Y_20180212_14590b_44_3g	Y_20180212_14590b_45_1g	Y_20180212_14590b_45_5g	Y_20180212_14590b_46_3g	Y_20180212_14590b_46_4g	Y_20180212_14590b_47_2g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_3g	Y_20180212_14590b_48_4g	Y_20180212_14590b_48_5g	Y_20180212_14590b_48_7g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_12g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_6g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_6_2g	Y_20180212_14590b_7_2g	Y_20180212_14590b_7_9g	Y_20180212_14590b_8_6g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g	Y_20180212_14590b_9_7g	Y_20180212_14590b_9_8g
1.3342	17428.877	14714.186	16549.752	19203.977	19085.42	17627.867	16359.712	16313.805	17410.848	16430.506	17157.824	20467.18	15885.959	21690.062	18775.42	20979.701	16665.512	16158.494	16829.895	19246.639	16052.552	15151.239	15683.264	15478.958	14734.925	16005.729	16674.662	22121.941	16100.748	15091.853	15522.888	16879.996	16378.564	18663.895	19466.723	15829.139	13932.833	20219.088	13218.518	17732.09	13880.198	17053.285	19786.59	13666.24	16938.516	15553.705	19253.045	16504.186	15718.456	17996.893	16235.831	17465.924	16246.879	17312.969	17219.73	21841.846	14977.946	17567.043	12915.285	17004.301	18540.984	15278.387	17634.375	17949.906	20329.809	16187.059	15573.046	13957.751	17532.299	17286.955	22648.088	19637.34	19645.723	19883.42	18687.758	18524.377	23015.209	19901.684	23913.133	16999.16	17216.32	16558.242	16845.773	17451.363	14894.869	15783.214	18268.443	19205.221	19740.766	16490.711	18358.52	14606.333	15941.505	17829.318	22351.363	20219.307	15062.272	19394.293	14312.115	20308.17	18660.934	20303.049	17689.066	19971.404	15282.833	14649.062	21553.771	23236.148
1.4676	18366.877	16258.705	17719.344	18586.045	22488.299	20983.607	18106.912	17559.385	16962.535	16973.965	19720.434	22197.67	19907.504	24687.51	20350.23	20804.104	16552.99	19050.258	15079.112	19328.082	16430.021	17014.27	15655.489	16328.139	14940.94	14593.816	15886.199	23998.061	16188.651	15827.145	13984.37	15377.595	17121.006	18318.123	17950.348	16432.549	16209.411	22253.59	12705.883	17100.455	14814.495	18921.09	21977.902	15290.803	19058.516	15618.211	19108.246	17835.424	16644.445	21015.447	17497.475	18062.006	15519.175	17562.719	17183.438	23875.297	14459.306	19324.605	13384.313	17972.002	20038.965	15212.079	22911.752	22282.98	21641.92	18549.002	15392.701	15161.004	18495.619	20494.797	29559.871	26230.531	21728.695	22865.812	21620.504	16792.895	22171.592	21203.303	22985.646	17638.059	17395.42	18685.348	19551.088	18547.773	16056.371	19944.074	18367.039	21955.74	26602.293	18546.275	18646.52	13848.386	17435.533	16271.099	26692.008	22879.389	16614.646	17982.51	14527.441	22799.02	21131.426	20025.615	17012.699	19897.318	16452.814	16465.99	25428.877	30145.605
1.6011	18799.344	19229.648	19086.729	17294.133	23533.99	22305.195	19704.449	18683.719	17008.615	20102.943	20736.137	23650.979	24099.822	29838.045	20246.059	24221.24	16031.413	22075.221	14561.893	18812.16	17933.635	21735.094	16789.059	18421.141	16336.134	14412.877	16185.277	26719.732	16511.316	17042.27	13353.66	14573.32	18500.053	18512.895	17493.213	16759.863	18415.559	22307.713	13674.324	18656.564	16529.441	19968.352	NaN	16579.141	19232.566	16203.373	18728.387	20357.314	16818.779	26966.613	18593.213	20681.93	16248.038	19612.926	18326.426	23684.297	16177.924	26483.256	15360.157	20474.832	21030.609	15062.389	27152.594	27634.883	20171.385	23646.328	15649.005	17060.031	18712.676	24544.254	36981.371	33559.078	26274.842	24309.316	24610.047	15283.646	17902.773	25658.516	22857.168	18190.865	16408.979	21232.742	22184.646	21824.816	19634.906	22347.186	20353.875	24432.01	29682.475	19544.057	21013.678	13318.909	22517.377	16458.25	29218.375	27325.65	20374.105	18404.699	16862.91	23633.746	22341.758	24263.68	19698.338	20300.861	18202.615	19442.57	23570.578	NaN
1.7345	18067.727	21030.691	24099.834	18494.084	NaN	20553.025	20591.908	23595.227	18623.92	NaN	19400.102	28105.777	25145	31669.906	NaN	NaN	16997.223	25597.676	14296.822	19118.107	18235.256	27512.523	16822.777	20950.26	18154.996	14876.81	17415.65	NaN	15330.35	17432.592	13466.024	14759.151	18889.793	19408.09	16426.029	18927.479	19640.553	20517.119	13617.46	22472.303	18520.529	23045.627	NaN	19810.83	19770.459	17342.094	19712.201	21356.654	17638.768	32403.42	19823.551	24114.414	NaN	24562.27	22094.748	NaN	19869.711	32523.824	17311.715	23310.008	22738.555	16180.115	31405.348	30385.695	17499.186	28744.117	18118.889	18960.785	17601.846	27791.859	NaN	36642.391	28770.678	NaN	24283.057	14698.529	15502.799	34431.223	23282.191	18746.336	18430.613	25653.809	24015.732	23055.932	23110.135	25232.871	25524.826	26295.883	31689.15	21915.303	24874.385	13039.238	26824.475	19496.99	28448.486	33238.004	NaN	21432.828	21366.977	24648.822	23476.352	26714.156	23097.395	23687.797	21188.785	23578.596	20673.521	NaN
1.8679	NaN	22477.998	29847.723	20590.137	NaN	NaN	22454.084	29573.412	20505.994	NaN	17202.523	30556.891	25625.156	NaN	NaN	NaN	21650.09	NaN	13458.996	20806.412	21630.033	NaN	19795.422	NaN	17710.803	14195.69	15790.761	NaN	14661.709	17612.602	13272.165	16038.124	18330.453	19226.447	15702.555	21129.971	18598.826	18515.027	13367.933	27539.275	20388.795	25187.611	NaN	21942.914	22268.271	17299.678	19689.416	21377.561	NaN	NaN	19420.355	27722.039	NaN	30822.295	27200.23	NaN	22121.445	35671.465	20568.316	NaN	22455.48	17234.645	32794.234	NaN	NaN	34337.727	19870.279	21957.924	17004.104	NaN	NaN	NaN	30085.402	NaN	NaN	15091.074	13723.183	36248.676	23640.367	18921.873	21785.422	29229.574	23082.803	23749.248	27579.381	NaN	33708.59	24326.738	NaN	24021.615	26505.826	15084.068	32190.297	24097.365	21640.033	33702.445	NaN	24781.199	25751.896	NaN	NaN	30918.096	24164.973	28247.967	24107.887	NaN	19204.518	NaN
2.0013	NaN	22532.848	36388.293	24648.279	NaN	NaN	NaN	35916.523	25363.621	NaN	15666.117	31464.529	NaN	NaN	NaN	NaN	26761.664	NaN	13132.416	24843.137	23851.461	NaN	NaN	NaN	NaN	13810.062	14964.299	NaN	NaN	16949.254	13300.291	17344.574	NaN	18887.951	14950.215	24500.209	NaN	NaN	14515.223	30433.664	NaN	NaN	NaN	24061.023	NaN	NaN	21669.4	21735.014	NaN	NaN	NaN	NaN	NaN	32391.494	30577.492	NaN	24731.9	NaN	22124.828	NaN	NaN	17577.887	NaN	NaN	NaN	NaN	21430.369	23498.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16326.709	12590.022	31029.912	24153.779	NaN	26690.002	NaN	NaN	21653.758	NaN	NaN	NaN	NaN	NaN	22315.268	NaN	17172.324	NaN	27612.508	17962.652	29770.146	NaN	NaN	28862.1	NaN	NaN	NaN	NaN	33818.934	25969.676	NaN	NaN	NaN
2.1348	NaN	NaN	NaN	29078.314	NaN	NaN	NaN	NaN	28527.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22719.309	NaN	NaN	NaN	NaN	14369.979	14733.18	NaN	NaN	17599.441	12720.937	19374.75	NaN	19550.494	15129.034	26871.334	NaN	NaN	NaN	29865.963	NaN	NaN	NaN	NaN	NaN	NaN	26115.449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19086.029	NaN	NaN	NaN	NaN	NaN	22479.914	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17351.318	NaN	24197.666	NaN	NaN	36476.023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18327.457	NaN	30078.193	15848.517	24146.383	NaN	NaN	28168.143	NaN	NaN	NaN	NaN	37401.363	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.931	NaN	NaN	NaN	NaN	21503.387	NaN	18098.088	15726.854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18307.121	NaN	19994.723	NaN	NaN	44201.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18796.242	NaN	NaN	NaN	21982.336	NaN	NaN	23142.756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15938.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46160.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
