x	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
1.3342	48936.2383	32386.6191	33215.1797	29302.1758	69345.5859	33668.1094	48005.2266	28932.1836	32886.5078	30442.4316	39165.2539	33072.0703	44005.3125	34965.5352	42932.2109	47852.6875	86135.5625	32809.082	32734.6816	32056.2109	32879.8984	34328.8125
1.4676	69979.9375	35294.5938	32864.6992	30738.7656	59148.125	32771.7148	66907.5469	29688.8008	38434.2266	33413.6328	55005.9023	37833.1289	58739.4297	46049.0273	58504.168	73364.5156	73121.3906	32174.6191	36862.5547	35495.6016	33596.9102	38707.6523
1.6011	75048.7344	36919.3516	36327.3008	35695.7656	42025.3594	37623.8516	86082.8516	32210.3652	46211.1562	41172.4844	84680.6875	47342.9609	58756.9414	63071.9922	87274.0078	84051.1172	48130.0312	35328.2656	41357.8828	42989.2656	34337.0469	45813.0898
1.7345	56798.6875	44889.2734	45195.9648	46349.3945	31173.082	47084.2656	77024	36661.1406	62842.4258	57979.875	99109.5703	61420.4062	46957.9727	77364.3594	104534.9141	69449.4531	36085.043	43634.8906	52301.6055	60247.1758	36542.7734	66533.4609
1.8679	39504.3281	64290.5547	59577.1055	48979.3672	28584.7109	66693.4219	56515.3008	47604.5195	82133.4375	72580.1875	77904.6328	69530.125	37776.1797	65605.0547	87265.7031	50079.3242	30102.1602	60083.1758	52652.3984	82565.5781	40415.0781	91621.2188
2.0013	34900.4062	80290.8125	63488.3633	37946.8477	28724.1934	90339.6562	41798.3789	67576.2031	79176.6484	64875.2539	50103.7539	58781.8086	34254.5625	46233.5938	57644.9883	38153.8906	29334.0762	67526.2109	40926.8438	96007.7734	41837.9023	86404.7422
2.1347	32676.1172	76287.1641	52698.2852	32605.3555	26273.0195	85214.8594	37774.0547	75346.3125	54729.418	48204.6523	38511.0469	45208.6172	32767.6035	40848.5078	41853.6289	33955.1914	30850.7812	59658.668	34835.8867	92696.4844	38521.3789	59068.3828
2.2682	32924.3828	55255.3008	42446.043	29119.0996	NaN	62357.5664	36322.7734	57211.5234	41214.2188	36836.6523	34769.1992	38717.9961	34374.4141	44562.0352	36624.293	NaN	29056.4961	50963.9375	32991.3398	64980.2227	37198.3789	43254.7812
2.4016	31540.123	42564.1328	35543.7266	28835.4297	NaN	NaN	NaN	39917.0352	36619.6484	33879.375	31440.8008	35636.2695	NaN	54116.9922	35715.6328	NaN	NaN	58871.5352	32034.6992	44016.8555	35335.3633	37623.4258
2.535	NaN	36826.5391	37208.625	NaN	NaN	NaN	NaN	33007.7461	35214.4219	31420.2168	32452.0605	NaN	NaN	NaN	35280.7734	NaN	NaN	NaN	NaN	35667.5078	37564.6719	35571.5234
2.6684	NaN	34233.4062	40182.7656	NaN	NaN	NaN	NaN	31782.123	35149.1797	30890.8633	31718.2812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33672.5352	38578.9375	34637.1211
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29656.5508	NaN	29597.6445	31932.5352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30925.5508	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29389.1523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30517.4395	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
