x	Y_20180212_14590b_1_3g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_3g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g
1.6011	13976.043	14996.909	17290.744	18805.203	14374.664	15217.655	17046.842	15760.016	16279.929	13864.436	15601.896	13581.569	14850.062	17805.113	15127.934	15220.335	18866.098	17727.537	20792.281	13726.968
1.7345	15245.133	15311.636	17732.467	19704.6	13440.027	14499.409	17361.381	16627.85	16217.824	14575.684	15588.301	14311.985	16027.863	19096.65	16791.008	15801.884	18887.434	19967.021	22086.211	13989.746
1.8679	16825.012	17232.953	18120.996	21994.184	13623.244	15561.5	15418.185	17239.982	17546.555	15837.624	15414.134	14287.753	18826.457	20596.035	16625.117	17636.055	18003.209	20127.982	21798.383	13082.413
2.0013	19211.209	20164.422	21587.959	22701.426	14068.728	16004.775	14588.569	18990.684	20786.547	16503.062	14367.511	14376.863	23408.521	22646.15	17812.924	17855.598	17621.785	20006.711	25785.129	13239.136
2.1348	20240.535	21963.049	25713.127	24034.559	14236.148	15339.069	15756.939	25570.676	25839.123	18590.047	14595.417	15249.045	26857.664	25857.787	19653.242	18011.213	18959.012	19349.264	29001.592	14467.876
2.2682	20871.143	23932.256	30273.639	24928.617	15021.042	14205.798	17086.326	37760.551	26752.824	23932.404	16115.374	17292.566	NaN	29358.221	24134.064	19903.725	21742.461	21547.178	31822.277	16931.736
2.4016	21541.424	NaN	35604.75	21749.059	16877.713	13962.239	16594.555	49805.027	25747.928	30558.104	19651.465	20892.297	NaN	30435.512	26142.352	21706.98	26645.553	24931.389	34159.395	17397.582
2.535	NaN	NaN	40034.867	18366.314	17692.479	13711.146	16157.604	49504.52	23453.092	NaN	23444.908	23499.061	NaN	29461.316	25794.775	25565.709	27978.787	28083.016	34637.121	16790.93
2.6684	NaN	NaN	NaN	17021.791	18024.635	13740.455	15289.919	40460.539	20825.033	NaN	28966.779	25560.881	NaN	26202.844	24773.896	28783.686	NaN	27414.434	32119.801	15658.238
2.8019	NaN	NaN	NaN	NaN	16178.351	14094.854	NaN	32821.703	NaN	NaN	30394.318	26076.896	NaN	NaN	NaN	31105.037	NaN	24319.143	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	14164.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31803.957	NaN	23013.844	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21826.518	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19416.902	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
