x	Y_20181208_15694_1_10g	Y_20181208_15694_1_2g	Y_20181208_15694_10_10g	Y_20181208_15694_12_14g	Y_20181208_15694_12_5g	Y_20181208_15694_12_7g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_14_1g	Y_20181208_15694_16_2g	Y_20181208_15694_16_5g	Y_20181208_15694_16_7g	Y_20181208_15694_17_1g	Y_20181208_15694_19_10g	Y_20181208_15694_19_12g	Y_20181208_15694_19_1g	Y_20181208_15694_19_9g	Y_20181208_15694_2_9g	Y_20181208_15694_21_6g	Y_20181208_15694_22_1g	Y_20181208_15694_23_4g	Y_20181208_15694_23_8g	Y_20181208_15694_24_14g	Y_20181208_15694_25_2g	Y_20181208_15694_26_12g	Y_20181208_15694_26_1g	Y_20181208_15694_26_3g	Y_20181208_15694_27_8g	Y_20181208_15694_28_1g	Y_20181208_15694_28_2g	Y_20181208_15694_3_10g	Y_20181208_15694_3_12g	Y_20181208_15694_3_14g	Y_20181208_15694_3_9g	Y_20181208_15694_4_6g	Y_20181208_15694_4_9g	Y_20181208_15694_5_8g	Y_20181208_15694_6_11g	Y_20181208_15694_6_15g	Y_20181208_15694_6_19g	Y_20181208_15694_6_5g	Y_20181208_15694_7_8g	Y_20181208_15694_7_9g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_8_9g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_5g	Y_20181208_15694b_3_1g	Y_20181208_15694b_6_6g
2.6684	NaN	13249.8594	11024.8701	NaN	NaN	10243.9893	12715.71	12889.582	11934.1328	NaN	13304.375	13132.8711	10948.0049	NaN	NaN	13546.4453	11446.2656	NaN	12421.7432	11133.0146	12790.2393	NaN	12807.6738	NaN	12020.9619	NaN	12617.4502	11909.2295	12845.0488	13219.6758	13382.4824	11616.6182	NaN	11870.7324	NaN	12149.2539	12833.1211	12129.8555	12857.7998	NaN	NaN	11167.6602	12544.3096	11762.877	NaN	NaN	11855.0605	11936.1738	11281.3213	NaN	NaN	11730.0312	12811.1455
2.8019	NaN	12914.9141	NaN	NaN	NaN	10196.2529	12530.6172	NaN	11395.2686	NaN	12613.0137	NaN	11442.957	NaN	NaN	14195.5576	11351.2998	NaN	NaN	11191.7549	11971.1035	NaN	12039.2188	NaN	12230.6797	NaN	11476.4111	12303.0908	12466.0732	NaN	12849.0303	11702.9385	NaN	12403.1543	NaN	11381.7314	12434.5508	11275.3281	NaN	NaN	NaN	11353.6816	NaN	11865.0625	NaN	NaN	11951.8779	11835.333	11228.0049	NaN	NaN	NaN	12315.4844
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	12770.4805	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10994.793	11313.541	NaN	11400.3428	NaN	12113.1699	NaN	11549.0117	NaN	NaN	NaN	12564.2744	NaN	NaN	12480.5723	NaN	NaN	NaN	10045.3965	NaN	NaN	NaN	11430.9229	NaN	NaN	NaN	NaN	11978.4336	11884.3213	NaN	NaN	NaN	NaN	11412.2061
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	12515.0898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10643.9736	NaN	NaN	11108.5615	NaN	11740.8691	NaN	NaN	NaN	NaN	NaN	13413.6895	NaN	NaN	11925.7744	NaN	NaN	NaN	9588.6123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12174.5986	11483.1787	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9360.2646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9497.3467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9111.6553	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
