x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g
2.4016	14196.917	13603.0361	14386.123	15991.6846	14019.1074	15996.6846	13172.9141	12864.6621	12597.4102	13659.7607	13775.8184	14847.4326	12417.2705	13417.3369	13355.9248	12288.6064	12421.625	12809.7461	14272.792	14718.5859	13831.0957	12636.168	11551.0713	13351.7217	13231.8936	15249.3975	13605.5693
2.535	15357.9375	13774.8828	13435.6182	15926.29	14515.082	15301.1484	13055.6875	12227.0908	12380.1318	13191.8223	13212.3906	14607.4033	12142.3965	13898.4365	13126.5615	12100.5186	12657.2852	12890.2783	12320.9375	14976.0635	15111.8037	12666.1621	12317.1855	12565.0859	12726.5049	14644.1074	13727.9609
2.6684	14224.7256	13321.709	12926.2666	15142.0479	15500.7393	15658.5869	12854.0078	12468.4541	12498.2686	12660.8096	13172.8164	13447.6309	11394.6016	13297.6074	12094.2305	12107.874	12285.4932	12428.9316	12429.4775	14783.4326	14042.8096	13087.5938	11335.5176	12909.6982	11930.0264	14179.0312	14677.4346
2.8019	14741.3496	11865.0625	11985.8193	14754.4355	15094.9355	14524.3496	13940.9189	11886.96	13064.1182	12617.0801	11971.4688	12948.5176	12707.8555	13420.3594	11895.8281	12197.1279	12521.2979	12777.8525	12502.5879	13978.6631	13778.0859	12678.7295	11207.7402	12171.3545	11899.3369	13331.5156	15380.7891
2.9353	15402.4326	12368.2139	12334.0244	14290.3936	15572.0195	14244.1494	14400.3457	11499.6797	12921.3506	12578.0244	12571.4844	12820.2578	NaN	13318.9189	11758.1377	11742.1914	12952.3447	11730.8232	12378.5059	12965.4404	13672.8184	12245.376	10731.9561	11756.0615	11833.4629	12591.7822	14269.7227
3.0687	14537.8389	11613.6172	11833.5615	13940.9316	14972.8379	13707.0889	15817.457	11326.3516	11679.7832	13263.7334	11965.7256	12590.1992	NaN	12877.1602	11372.8193	11276.5	13170.3105	NaN	11859.5117	12543.668	15248.5127	11857.4219	10437.8447	10976.7002	11372.1553	11870.1514	12960.124
3.2021	14420.6348	10767.5156	12167.8574	13716.21	14672.2266	14884.5527	15655.5234	11204.0059	10600.7969	NaN	NaN	13070.5674	NaN	12745.4961	11185.8223	NaN	13096.5488	NaN	11224.7275	11399.1982	14560.8027	12274.5498	10677.2676	11159.7471	11212.5957	11708.9775	12430.8535
3.3355	NaN	11649.3916	11708.9697	13456.4707	14973.498	16149.1514	15491.8691	10963.6025	NaN	NaN	NaN	NaN	NaN	NaN	11162.0508	NaN	NaN	NaN	10779.6045	11311.166	NaN	12103.6807	NaN	11070.3672	11639.3408	11750.1738	12408.0264
3.469	NaN	11659.4434	NaN	14064.833	13654.4033	16575.2461	14386.3291	10260.4854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11081.8154	NaN	11889.6475	NaN	10781.0078	11876.085	NaN	NaN
3.6024	NaN	11378.3154	NaN	13375.9463	14238.5342	14690.8086	14275.7246	10239.5742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10631.1846	NaN	12115.6572	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	11933.1279	NaN	13479.2041	13180.8799	13317.4268	12944.1582	10041.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	13705.25	13319.7295	12754.8945	9543.0508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	12629.9004	11829.5469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	12992.666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	13384.0225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
