x	Y_20181208_15692_31_8g	Y_20181208_15692_32_14g	Y_20181208_15692_34_6g	Y_20181208_15692_37_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_19g	Y_20181208_15692_40_15g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_46_15g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_5g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_1g	Y_20181208_15692b_7_7g
1.7345	15170.7207	16082.7402	13289.2324	13888.126	14244.9014	15242.6973	13455.9336	14975.5928	16546.7227	12732.5752	13870.0059	13020.3418	16853.0156	14511.9092	15384.125	14341.8662	13679.2158	16017.8291	14186.6162	12846.4316
1.8679	14863.2812	17219.5254	13300.4932	13616.3945	13483.0986	15421.0869	13473.6885	15072.5254	15011.1992	13263.8213	14829.3037	13495.375	15256.4434	13617.3477	15232.3721	14327.9502	13355.4082	16412.834	14049.8057	13820.5537
2.0013	15641.542	16720.5781	12266.8818	12791.9248	14046.8408	14176.4385	12277.1885	14536.4346	15230.583	13873.6309	14206.3145	13148.7549	14610.501	13195.7373	15292.7529	15181.5195	13639.5127	15641.7041	14965.5059	13875.0312
2.1347	14546.3018	15776.7383	12565.8936	13029.0371	14071.3545	13160.7412	12677.4004	14402.5186	14081.4316	12457.1641	14547.9746	13401.7354	14471.1396	13575.1367	14710.8594	15518.1885	13552.8398	15031.9766	15014.4268	14949.5889
2.2682	13785.1992	15429.2539	12993.2871	12961.6709	12677.3438	13210.1016	13462.5254	14612.5947	14033.6387	12517.2441	15301.6865	12725.1826	13968.6533	13194.9502	13826.7686	15226.8242	12572.4023	15835.6133	14572.6221	13847.4883
2.4016	13603.0361	14019.1074	13172.9141	12597.4102	13775.8184	12251.4746	13386.9336	14718.5859	13831.0957	12636.168	15249.3975	13923.7051	14457.3643	14104.2959	13549.165	15884.2373	12791.6348	15169.1289	15273.7021	13349.8486
2.535	13774.8828	14515.082	13055.6875	12380.1318	13212.3906	12367.999	13388.9775	14976.0635	15111.8037	12666.1621	14644.1074	14496.6631	14314.3643	14446.5918	13416.2168	16190.7451	12043.1084	13835.3359	15191.1963	13665.0645
2.6684	13321.709	15500.7393	12854.0078	12498.2686	13172.8164	12287.0049	12542.5986	14783.4326	14042.8096	13087.5938	14179.0312	15109.0176	13728.292	13244.7295	13722.1191	15092.4707	11605.0039	14464.8799	14648.123	13682.7168
2.8019	11865.0625	15094.9355	13940.9189	13064.1182	11971.4688	12897.7822	11652.7178	13978.6631	13778.0859	12678.7295	13331.5156	14266.2539	13653.4053	13051.5752	13436.1367	14081.7754	11907.4766	15363.2715	14937.6689	12959.3154
2.9353	12368.2139	15572.0195	14400.3457	12921.3506	12571.4844	12003.2695	12547.2188	12965.4404	13672.8184	12245.376	12591.7822	13816.9424	12608.9375	12554.0557	13036.3721	13834.332	11852.4834	15190.0254	15570.2266	13276.9854
3.0687	11613.6172	14972.8379	15817.457	11679.7832	11965.7256	12394.4502	12939.165	12543.668	15248.5127	11857.4219	11870.1514	13295.7861	12891.9941	11724.7119	13020.6211	13986.2891	11954.0879	15106.041	14779.3711	13026.4307
3.2021	10767.5156	14672.2266	15655.5234	10600.7969	NaN	12913.8262	12695.9014	11399.1982	14560.8027	12274.5498	11708.9775	12872.125	12491.8965	12313.7383	12230.6543	13944.5479	11750.7275	15256.2969	14061.6211	13520.249
3.3355	11649.3916	14973.498	15491.8691	NaN	NaN	12475.6738	NaN	11311.166	NaN	12103.6807	11750.1738	13345.8096	12551.1299	11882.7959	11736.5293	13962.041	11492.1807	15023.248	13735.9307	13113.7666
3.469	11659.4434	13654.4033	14386.3291	NaN	NaN	12250.4707	NaN	11081.8154	NaN	11889.6475	NaN	13524.7148	NaN	11594.6963	11123.8438	13527.6006	12428.0898	14278.0361	13201.1064	13742.5293
3.6024	11378.3154	14238.5342	14275.7246	NaN	NaN	12231.2539	NaN	10631.1846	NaN	12115.6572	NaN	14095.7344	NaN	11770.2812	11520.3389	12881.8574	12540.2979	13759.582	13419.2988	12997.1846
3.7358	11933.1279	13180.8799	12944.1582	NaN	NaN	12173.8926	NaN	NaN	NaN	NaN	NaN	12813.5654	NaN	NaN	11162.4102	11983.2441	12657.8857	12965.5146	NaN	NaN
3.8692	NaN	13705.25	12754.8945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12813.1396	NaN	NaN	11094.9531	NaN	12641.5205	12380.1084	NaN	NaN
4.0027	NaN	NaN	11829.5469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10756.7715	NaN	NaN	11136.2275	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10989.2295	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
