x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
2.2682	13162.8906	12298.6777	11263.2227	11034.8682	13340.0938	11399.2021	11991.7695	11814.2188	13172.9297	12953.1553	12271.5459	14908.8887	13162.0645	13092.9951	11648.6973	10566.0693	12460.1475	13527.7617	14140.5967	12056.1279	11705.0166	14545.2578	12567.8623	12236.1826	10939.5938	NaN	12754.6689	10953.3115	12586.5752	13861.5693
2.4016	13629.1191	12159.5811	12144.5283	11081.0537	NaN	11101.4434	11844.9414	11873.9922	13552.4365	13499.3184	12188.3555	13745.4453	13233.7207	13787.248	11644.0986	11509.0107	12305.6074	13638.376	13499.3594	12004.8027	11490.0195	13849.2959	12240.1562	11804.0762	10900.7773	NaN	13132.3311	11188.873	11834.3418	12759.0742
2.535	12422.0586	12091.4814	NaN	NaN	NaN	10641.4014	12090.8604	12231.374	NaN	12458.4336	11865.1035	12988.7676	13589.4561	13743.2178	11795.5557	11279.248	11356.8535	14161.7422	NaN	NaN	11715.3584	13029.3994	11610.7529	11600.2148	11003.0996	NaN	14076.3799	11112.3555	12650.6006	12717.498
2.6684	13219.25	12285.416	NaN	NaN	NaN	10665.04	12441.5967	11501.0176	NaN	11920.9531	11767.1201	13569.0361	NaN	13065.4775	12631.9854	11078.9209	11243.3662	13086.332	NaN	NaN	12019.7256	13003.4717	11865.6133	11918.1094	11201.9834	NaN	13203.8027	11424.9443	11998.0615	12238.1289
2.8019	12562.9756	NaN	NaN	NaN	NaN	10774.6367	12866.4092	11593.1904	NaN	NaN	11577.0537	12631.2148	NaN	13125.3027	NaN	10761.2285	11407.7119	12732.4287	NaN	NaN	11784.2988	NaN	11851.2373	NaN	NaN	NaN	NaN	11093.8711	11776.7402	12098.458
2.9353	12206.4131	NaN	NaN	NaN	NaN	10471.0527	NaN	NaN	NaN	NaN	11186.748	13006.5654	NaN	13084.1836	NaN	NaN	NaN	NaN	NaN	NaN	11727.0527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11808.1338
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10947.5557	13989.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12826.9727
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13207.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12547.7275
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.5967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12534.8506
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12710.4824
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
