x	Y_20181208_15692_33_6g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_46_3g	Y_20181208_15692_7_11g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
1.3342	13739.7686	14653.6152	14606.1074	12842.6904	15835.6992	12112.1455	14654.3145	12562.0488	14493.5391	10288.084	13335.8359	13433.8975	13518.1484	16291.4463	11028.5732	14055.458	13388.6426	14700.6934	13064.1465	11705.5605	15511.6611	16081.6152	17469.0117	16043.6865	16387.0332	16023.6719
1.4676	13781.5654	14213.3525	13565.1074	12756.6357	15666.168	12095.5811	14030.4551	12442.8193	14154.627	10225.2637	12790.6924	13396.8398	12116.2334	16023.2148	10639.7939	14349.4023	12540.0596	13597.9727	13684.9141	11422.374	14812.4316	16152.9365	16065.5283	14410.6377	15185.5479	15456.043
1.6011	13408.1943	13799.2979	13057.6953	12701.8154	14776.9834	11648.7285	13640.4531	12127.0605	14674.2871	10682.835	13071.3535	13473.1338	12315.9424	15987.5264	10456.1162	13837.1572	12349.0439	13728.293	12809.9033	11930.3311	15480.9658	15495.2979	14652.9375	13140.043	14449.8516	15470.8613
1.7345	13138.5967	13967.918	12560.7451	12532.7031	13844.8975	11717.7539	13221.5791	11452.084	14355.3691	11067.7803	13472.3447	12915.8584	12072.0547	14409.6699	11204.7998	12593.541	12224.8184	12848.2852	12970.6025	11697.5176	14583.4121	14343.9082	14160.6309	12818.0371	13626.3633	13755.7158
1.8679	12792.4531	13532.7695	12395.5605	12168.5801	NaN	11257.9961	12391.4736	11029.6055	13689.7402	10380.6191	13032.0352	13125.1934	12098.8232	14572.4092	NaN	11968.6592	12336.0547	13476.9814	13122.2656	11434.291	13481.4941	12678.9189	13521.4619	12202.3555	13832.6074	13700.1074
2.0013	12384.5342	12510.9453	11245.7051	12054.1416	NaN	11302.918	13124.4609	11112.9922	12569.9736	10016.5283	12154.7881	13037.7227	NaN	13377.7393	NaN	12191.9395	12704.4941	13989.6299	12688.9141	11721.1523	13694.0898	12355.6006	13159.918	11838.5527	13842.7725	14463.166
2.1347	12263.7227	11901.3105	11316.6348	NaN	NaN	NaN	NaN	10468.501	12483.2949	10822.9004	12186.6309	NaN	NaN	13759.667	NaN	NaN	12072.3652	13784.2822	NaN	11778.5088	12740.8145	12067.2969	13155.6973	12003.3262	13928.5527	13301.1865
2.2682	12473.0771	11470.582	NaN	NaN	NaN	NaN	NaN	NaN	11572.4062	NaN	11888.791	NaN	NaN	13166.1934	NaN	NaN	11713.0889	13185.8271	NaN	11930.5781	13368.2354	11704.7617	12667.7568	NaN	14215.0977	12096.2627
2.4016	NaN	10630.085	NaN	NaN	NaN	NaN	NaN	NaN	11524.3574	NaN	NaN	NaN	NaN	12461.8984	NaN	NaN	NaN	13803.0039	NaN	NaN	NaN	11590.665	12832.3389	NaN	13917.3887	11499.6709
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11009.9785	NaN	NaN	NaN	NaN	12623.3506	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11759.9482	13037.5723	NaN	NaN	11758.6104
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11831.6572	12252.6826	NaN	NaN	11584.1172
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11683.0801	NaN	NaN	NaN	11812.4336
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
