x	Y_20181208_15694_1_6g	Y_20181208_15694_10_7g	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_2g	Y_20181208_15694_21_10g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_10g	Y_20181208_15694_23_3g	Y_20181208_15694_28_4g	Y_20181208_15694_30_4g	Y_20181208_15694_5_1g	Y_20181208_15694_6_13g	Y_20181208_15694_6_1g	Y_20181208_15694_6_2g	Y_20181208_15694_7_11g	Y_20181208_15694_8_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_3g	Y_20181208_15694_9_5g
1.3342	33340.3789	30741.7617	31730.4316	35371.2305	31715.3457	21045.6074	25238.3184	30633.5801	27617.0059	29923.2715	31752.248	31366.1797	29882.6348	31018.2891	28053.1543	30739.8262	29446.7109	30350.5859	32383.7539	30567.4121	26290.6953	34567.4336	29068.1191
1.4676	34925.4414	31003.332	33798.0859	34322.332	33449.6055	19200.627	26443.2852	31645.0703	28148.7617	30382.3086	31739.3984	31317.8906	30482.9219	32945.6289	28250.8691	31881.7949	27360.5957	30661.1562	31422.6914	31251.582	25252.7676	32351.8535	29206.3691
1.6011	32453.502	29876.2715	32755.0918	35206.707	32172.0293	17638.6367	26102.5391	31682.6934	29354.2441	30719.9453	30201.2715	29853.7539	29477.3379	32995.8398	29562.6914	32200.627	27470.4785	29980.2578	32367.8359	29327.6309	24639.2871	34085.1211	30878.7422
1.7345	33633.4805	30525.5391	31785.2715	36942.9961	33088.6445	16189.5391	25848.6816	32921.457	29092.5957	31250.8555	32691.1836	32246.916	30260.6055	32260.5625	28922.7109	31721.668	28071.7852	31003.7793	31958.9863	31234.8125	25035.1562	32458.5312	31216.4902
1.8679	34111.5234	30543.8496	32858.6367	34924.9258	33136.9297	14858.21	28428.5586	33324.0508	28342.0664	29431.2383	33631.832	31796.6621	30334.2441	32993.6797	28782.1621	32306.5977	28762.7656	29470.6562	31838.1191	31260.7812	26130.6465	34956.2969	29674.8535
2.0013	34504.0664	30169.707	33380.7227	34185.8438	32931.375	14870.541	27921	30649.5723	28532.7754	30973.3379	32281.1016	30926.541	30545.375	32837.9453	29962.0898	32345.3066	28759.0176	31249.4336	31573.6016	31992.7246	26644.6816	33407.3711	29430.2266
2.1347	35697.0938	32059.2793	32323.2656	34050.1484	34904.0078	13810.9707	29125.8867	30203.5508	28728.7676	31110.2832	31531.2461	31389.418	33349.9414	32955.4375	29203.6094	30622.5664	28803.7285	31845.9199	33954.7656	31709.7832	26406.4941	34884.9609	31037.623
2.2682	39520.5312	32995.8789	31563.9355	33932.3477	33764.5312	15067.7539	31116.6113	30049.5977	29485.8633	30922.0332	32723.3809	30000.7285	36291.75	33994.0117	29988.2539	30979.4785	32573.2812	29630.1035	38843.8672	33056.5703	25749.8438	34368.9922	29817.7402
2.4016	48459.6289	36105.0664	33400.0938	33424.2305	35502.7539	14211.4062	39051.7734	32711.5723	33123.0742	32137.1562	31611.291	31101.3066	43676.9727	35771.9414	28640.5371	31750.0684	45034.3047	32517.5156	47719.3203	33673.0156	24855.1484	36198.082	29837.0293
2.535	71077.4531	44388.2148	34297.8984	33373.6133	39449.2148	14142.0879	45548.5156	33060.7188	40589.5352	33102.3242	32009.3496	31872.7207	56286.9297	44783.0898	29306.4629	32290.0996	66667.2891	33348.3438	46828.2305	36889.0156	25734.1328	35278.8594	30195.418
