x	Y_20181208_15100_1_3g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_13_6g	Y_20181208_15100_15_1g	Y_20181208_15100_15_3g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_2_3g	Y_20181208_15100_21_3g	Y_20181208_15100_23_2g	Y_20181208_15100_24_1g	Y_20181208_15100_25_1g	Y_20181208_15100_26_1g	Y_20181208_15100_27_1g	Y_20181208_15100_3_5g	Y_20181208_15100_5_13g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_7_7g	Y_20181208_15100_8_1g	Y_20181208_15100_8_4g	Y_20181208_15100_9_1g	Y_20181208_15100b_10_4g	Y_20181208_15100b_11_3g	Y_20181208_15100b_11_5g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_3g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_2g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_16_3g	Y_20181208_15100b_16_4g	Y_20181208_15100b_16_8g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_2g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_6g	Y_20181208_15100b_17_9g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_6g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_8g	Y_20181208_15100b_2_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_11g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_4g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_1g	Y_20181208_15100b_25_2g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_5g	Y_20181208_15100b_27_7g	Y_20181208_15100b_30_8g	Y_20181208_15100b_32_1g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_8g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_4g	Y_20181208_15100b_7_3g	Y_20181208_15100b_8_1g	Y_20181208_15100b_9_2g
1.3342	34531.4805	33111.2891	36580.9062	36561.2227	32426.6074	33781.0625	31644.0938	33189.9961	38569.1328	37530.6016	38799.3281	36622.6641	36759.25	30703.0137	28387.1562	31545.5332	35017.8125	33528.6328	36138.6797	28898.6602	28729.0664	40717.8711	49210.7773	30135.1133	35818.1172	48192.1602	28456.6309	38265.668	31859.041	41790.9727	27408.293	31245.3438	31122.9551	46631.0469	30222.1484	31152.9062	37373.9023	29267.0117	33982.2734	34194.4609	27600.8516	45914.4727	32807.1719	85282.9062	58884.3398	33677.1172	36864.6016	29882.5332	39035.0742	38371.7734	28273.9316	29782.6328	71932.8828	35074.5391	32224.4375	33221.0195	81661.3438	35979.2773	33768.4883	32995.0938	41742.2617	38407.1797	35620.5117	34027.7188	29476.707	31622.7793	28108.5059	29460.5605	31466.084	32633.8496	67461.7188	39142.2539	42978.3398	32731.4258	33515.1406	32503.7051	32319.5625	37114.8516	33161.2344	33145.4141	36578.3672	31768.6855	41012.5352	31776.6973
1.4676	39705.6719	36690.9219	40896.7266	42476.707	33436.1328	40551.8164	35205.1914	35274.4727	46271.1758	47026.7695	55329.1875	47514.6094	41914.0977	37993.4297	29617.6055	31954.4316	42601.5938	33516.2188	42065.6211	31336.293	33207.5938	51012.3672	69536.3594	33181.3711	39119.4023	71003.4688	29635.1621	58177.0352	33287.4648	55958.8242	29743.8574	34543.3438	34074.9297	73430.625	31931.6465	31010.0781	47344.0195	30609.75	40087.3242	42435.4141	30379.0293	72068.6016	42067.1953	93717.4531	94061.1406	41380.3828	58668.5391	29632.7031	42152.5352	53410.8086	29772.0762	30595.5117	83204.5625	50130.8867	32419.6992	33131.0195	124666.3828	42072.7305	40331.2539	36613.2383	53670.4336	49375.8867	40906.8438	40054.2773	34487.0742	34905.793	28900.252	31444.0234	36598.1289	38845.375	100879.3281	52181.5352	60981.4062	39791.7969	41882.9805	36294.8828	31809.6387	49822.2266	35312.6992	33413.8594	47299.1602	33659.4102	57189.8555	34606.9883
1.6011	58772.8828	47151.5625	48562.6445	55359.3398	43911.1211	54442.9297	40644.3867	37553.4727	62168.4062	66945.1484	89601.6172	66998.7734	62967.5664	52769.7461	29218.9004	37085.2812	57687.3164	34644.0508	55286.2656	39354.7422	44351.9805	78021.1953	81616.2344	45313.2227	48847.2148	98029.5703	34306.6523	92513.5625	37832.2617	90588.0781	31550.332	36470.0703	43901.1797	137173.6094	32677.6055	33782.0156	66571.5781	32750.9492	58059.418	56999.8203	35684.2031	109463.0703	64945.5586	69056.1641	119013.5781	64430.3242	101844.0312	31316.9414	55206.6875	82790.0781	32402.7441	32162.2852	66910.3984	65858.3828	34518.1836	38008.5742	136770.0469	56513.7656	58158.6016	43999.6172	80306.2344	61989.8164	57763.8047	54974.9844	40914.2461	42526.2539	36038.3438	38788.6055	46035.918	50647.1211	111591.1797	86083.9297	79435.1875	53729.793	62206.4648	48962.9141	31212.2129	70805.6562	42087.1367	37781.1094	64976.1914	42600.9883	86433.4453	41524.5977
1.7345	84782.9688	63534.9883	71948.3984	74162.7578	63883.6914	83767.9141	57634.168	48304.5156	91377.1953	80315.2188	124128.5938	87905.25	98073.2109	79387.3594	30780.9141	49426.0195	77460.0078	36296.5352	76965.1875	51098.2656	66656.4844	110367.75	69103.3438	69584.0625	79393.4375	92257.8281	48689.8242	115264.7656	45930.4844	117466.9062	33365.2617	48635.3242	64027.4258	174783.7969	36489.3164	38911.4219	79793.6172	36519.082	78814.8984	61994.2812	46424.7539	113036.125	97720.8125	44615.5117	96596.3906	102184.2812	128383.5859	34236.4883	83518.9062	99685.2422	41934.0234	36810.1367	47940.293	63167.7344	37735.375	50829.9141	95172.3516	80245.8203	90937.1953	66127.8281	89572.9141	63403.7539	87301.9688	64535.1719	60545.1914	58112.3828	48918.7656	53813.9336	60845.7734	79876.2344	86203.5	112487.3594	75255.3984	89517.7188	99530	72582.0547	31705.1309	71249.5312	60996.4766	50451.457	75504.4688	60424.1172	96936.8047	55660.125
1.8679	92890.8359	81714.3203	93452.5625	70541.9766	101908.3125	105615.3203	86651.3828	71082.4531	101541.4688	72377.7969	107057.9844	80066.2344	124515.8203	88260.9141	36390.4805	78129.8125	77701.125	41485.9297	87553.3438	57790.8164	94963.9766	97305.0859	47060.9805	89117.6641	116845.8594	59035.4062	76628.7812	91644.5703	57324.4062	97901.2969	40456.3359	75501.0625	97305.3906	137184.6406	44111.9414	50633.9961	64597.3398	47209.1367	73436.3594	48847.9883	49624.4375	79729.6562	101733.3672	33306.2148	60037.668	103123.1953	102840.6875	39567.7031	101189.2656	78504.7656	56954.4297	47377.293	38179.0156	47489.2109	46630.3047	74797.6875	59870.1914	93379.4062	112826.0156	96459.8984	65689.2812	46817.0391	96277.9219	55193.207	82517.3516	75112.5469	77181.2891	74001.2734	64644.1602	103827.4062	53716.9688	93008.4297	52514.8828	134378.3281	111710.1172	77878.2891	34190.0547	52253.8477	85746.5547	73117.1797	60152.6836	81341.5	70418.5234	67278.9453
2.0013	68541.0469	76678.7188	84157.375	50013.8164	101707.3984	86327.0625	97456.5469	112549.0781	75818.9453	53567.1641	69488.6094	51805.4766	96658.3828	67068.375	51335.9805	101982.0781	57926.7031	55641.3711	67759.9062	46040.3555	92073.7578	66095.6328	35923.1523	78468.9375	118015.7109	43365.8398	80965.9453	56511.793	56565.4375	62426.7773	60297.5547	105610.6562	103143.6875	73739.1094	65134.5664	78641.5234	42945.5898	76643.7422	52015.8125	38049.3633	41123.1328	49911.6211	70195.2344	29647.4336	43665.3984	70718.9609	62639.9531	51630.832	79650.7188	49790.3008	67429.5938	64690.7422	33191.5938	40227.7422	71682.6797	83211.7266	46332.7852	74012.1094	91734.2031	93220.7422	44047.2578	38081.4141	69394.3516	41518.8008	85668.2109	70372.2578	102590.6875	71167.1797	49117.0508	85860.75	38761.375	64604.3359	39721.7969	125850.3438	86019.4844	61476.5664	39362.5781	37720.9688	83729.7109	87876.8438	42079.4141	78583.7188	46460.168	61737.6719
2.1347	44483.9336	55313.1484	55691.8516	39050.418	64295.918	54947.0273	71739.9688	124148.3281	49466.6641	42733.6211	44174.1992	37543.9297	61518.9688	44461.6719	72370.3516	81610.2344	43751.0781	76212.1641	47734.5781	35244.9219	63117.3281	47818.2188	33257.1992	51990.2812	73894.3438	36995.1328	59187.1133	39570.375	42951.5391	45405.7188	92178.8359	94329.0938	71605.3828	49101.0703	95391.3594	102696.0312	36147.875	102208.1719	39423.4844	33410.6953	32738.8027	40537.4141	42196.9336	28395.3633	36182.8594	47190.3633	44658.2695	78905.5078	54077.7266	36594.6328	53409.1523	66521.8516	30497.2637	45418.6172	108153.0859	67816.2031	40029.6836	52068.1211	60435.6836	65576.6875	37558.0781	35583.293	47731.4844	35231.3984	60382.0703	53920.8555	82634.2109	51800.2148	37361.9141	54542.7148	31777.1055	45557.5352	34027.5312	81229.5	53008.6602	43233.3633	52978.0664	31144.2402	58741.8945	69941.375	34846.0391	55014.1055	36154.043	44578.3555
2.2682	37078.9961	39649.5352	40996.1523	35346.1719	44668.6094	41366.4375	47879.3164	84048.25	42373.0625	35771.6289	36728.5742	32926.9727	43913.0664	36655.2266	72183.7031	55585.7344	38160.5117	79160.6484	38551.9609	32317.4141	44229.5391	39877.9844	32065.5293	37665.707	50050.4297	32284.1367	42718.75	33477.0352	36489.9727	39131.4688	93970.4219	59988.4336	46469.4414	39673.2773	103126.3438	85892.9375	32218.0898	79537.9766	34406.5703	31135.9375	29431.8633	33650.5977	32152.8574	NaN	34124.5977	37987.9258	36518.6133	93667.2266	41374.918	30726.6543	39743.5703	51052.2812	NaN	NaN	102997.2031	50916.1055	39229.4453	39912.7656	43833.0117	48704.7812	34324.6094	32310.2852	37947.5859	32353.2129	43360.3867	41587.7617	52605.5195	35358.1094	31714.1836	41234.5664	28625.3086	38304.9102	NaN	51204.6406	41441.7539	34371.5781	69932.3516	28120.7617	42500.7812	48119.5312	33599.8594	40172.2656	32004.2285	34805.9766
2.4016	32005.4746	35914.3438	35070.6328	34517.9844	37202.7383	34280.9961	38611.7891	52250.2383	41502.2266	35836.6016	33336.4492	30332.75	38096.2578	32293.1445	52767.5156	43134.875	37361.7188	60714.7266	36167.8789	NaN	35080.6602	35602.3516	30906.9629	34093.1328	41224.3008	31841.666	36264.8281	29298.9922	33700.7461	36864.3711	68734.9297	43022.9961	38719.8555	37477.0586	72368.4062	58917.9531	30264.1016	51578.6602	33421.2266	32440.8223	28107.6406	31910.9355	28282.2344	NaN	34750.2891	32764.4961	32812.8359	70277.2891	35132.2891	29616.6934	33862.3008	38725.3398	NaN	NaN	66182.0156	41815.3398	39594.4883	36147.7148	38452.2461	41070.3516	32042.9492	31888.2871	34863.8086	31034.957	35666.4688	35311.3203	39695.7969	29174.0742	30536.8086	38044.4648	28350.7324	34306.8711	NaN	37695.2617	36412.6953	29900.1211	70220.6953	27850.25	35789.2734	38154.4297	31946.2598	37917.4141	30014.9023	32457.2148
2.535	31143.4258	33885.3008	32461.6758	32853.9297	34946.7812	32826.2148	35206.0625	41695.9297	45823.4102	NaN	32654.8496	NaN	35183.0273	31661.4707	38480.7773	36396.8516	36537.4844	53042.2305	34135.9453	NaN	33403.4883	36169.9141	31540.1465	32679.6191	38703.9922	32222.0391	32536.002	28306.252	32133.9004	35353.125	45170.5742	36980.3359	NaN	34492.543	48482.9414	47685.2695	29424.6758	38829.8164	33135.3516	31882.041	27245.0566	NaN	27237.6484	NaN	32953.2188	32239.4609	32391.8633	45452.7188	32450.9629	29476.9141	31405.748	32612.4844	NaN	NaN	44470.8555	38386.793	39963.7578	NaN	36236.2852	35972.4336	32116.2324	NaN	33349.4805	28996.8301	33649.4414	32844.6406	34743.5	28016.0195	31182.5625	36455.7031	NaN	31718.0117	NaN	33234.3867	33293.3047	29931.541	53371.2305	NaN	33517.1875	34004.5977	NaN	38207.2344	29054.1797	32004.3145
2.6684	31720.5781	32231.4902	32086.541	31955.3711	32771.7773	32299.8457	33995.8281	36113.7109	NaN	NaN	29793.5762	NaN	38199.6523	NaN	34160.3828	34458.3477	NaN	62451.2734	34175.2891	NaN	34315.418	36380.4727	NaN	32948.6875	37893.1992	NaN	30219.6289	NaN	30808.5371	35609.1641	36430.6445	34389.7305	NaN	35532.3594	37957.3711	51400.3711	NaN	33996.1836	NaN	NaN	NaN	NaN	27363.4961	NaN	NaN	NaN	29694.4688	37509.1523	NaN	27317.0762	29982.6738	31566.4785	NaN	NaN	37323.3516	NaN	NaN	NaN	33149.2305	35297.6758	NaN	NaN	32598.2969	NaN	32302.5703	32357.2148	31407.1855	28873.8535	NaN	34595.1016	NaN	NaN	NaN	31221.4238	31008.3965	28260.4297	41154.7266	NaN	31955.2812	31935.1758	NaN	NaN	NaN	30857.3164
2.8019	31452.1289	32483.0078	32568.9297	NaN	31364.4824	32003.8555	32239.7617	35354.3516	NaN	NaN	31350.3965	NaN	NaN	NaN	31255.4648	34018.2188	NaN	97554.4844	NaN	NaN	NaN	NaN	NaN	NaN	38580.25	NaN	28130.793	NaN	NaN	NaN	34869.4961	32191.5137	NaN	32632.5859	33703.9883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27269.9316	NaN	NaN	NaN	NaN	32150.8652	NaN	27759.7227	NaN	30106.9707	NaN	NaN	35240.9805	NaN	NaN	NaN	32568.4668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30600.8633	NaN	NaN	NaN	NaN	NaN	NaN	29237.6797	30071.5137	NaN	36563.0898	NaN	32342.3262	NaN	NaN	NaN	NaN	29170.791
2.9353	NaN	33013.4766	NaN	NaN	NaN	34074.2695	32161.8672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29976.4473	35278.7305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31555.7598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33642	NaN	27178.1016	NaN	29967.2344	NaN	NaN	33796.8047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29673.2383	NaN	NaN	34838.7578	NaN	NaN	NaN	NaN	NaN	NaN	NaN
