x	Y_20181208_15694_1_18g	Y_20181208_15694_1_1g	Y_20181208_15694_1_20g	Y_20181208_15694_1_21g	Y_20181208_15694_12_3g	Y_20181208_15694_12_9g	Y_20181208_15694_14_2g	Y_20181208_15694_14_7g	Y_20181208_15694_15_1g	Y_20181208_15694_15_3g	Y_20181208_15694_15_6g	Y_20181208_15694_20_7g	Y_20181208_15694_21_11g	Y_20181208_15694_21_8g	Y_20181208_15694_23_14g	Y_20181208_15694_24_8g	Y_20181208_15694_25_5g	Y_20181208_15694_26_14g	Y_20181208_15694_26_1g	Y_20181208_15694_27_10g	Y_20181208_15694_27_7g	Y_20181208_15694_5_17g	Y_20181208_15694_5_8g	Y_20181208_15694_6_8g	Y_20181208_15694_7_17g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_9_5g	Y_20181208_15694_9_9g	Y_20181208_15694b_1_6g	Y_20181208_15694b_6_6g
1.3342	13916.3838	14337.958	12548.752	12188.9072	10400.5723	13107.3506	12854.6387	14036.6963	12779.8506	13225.5781	15633.7793	11530.3184	11671.5801	13320.166	14461.1426	12162.7402	15541.7031	14916.2559	12610.2588	13260.5479	14975.6582	12884.4492	14500.7568	14834.1055	15632.5332	13997.9805	15506.3457	12274.7305	15504.6201	13646.8008	12181.1787
1.4676	12517.4512	13376.4863	11852.4287	11362.1484	10364.7422	12928.0293	14346.7344	13936.835	12925.3037	12979.0205	13773.7773	12294.1436	11800.6934	13276.1914	14440.9268	11960.0283	16814.7422	16350.0742	13023.3994	12836.0215	13963.1934	12605.1836	13867.1934	15244.6719	14920.9492	12907.6592	14807.7002	12831.29	14346.0986	13620.5371	11858.5527
1.6011	11882.4736	12780.0205	11506.1826	11746.9385	10511.8926	12853.1055	13618.2607	13211.5488	12893.7861	12140.7324	13183.6836	12183.1514	12070.748	13026.3506	14222.7197	11797.8643	15626.2471	17407.9316	12620.3975	12994.8369	13121.9209	12199.0264	13097.4141	15545.5361	14008.3018	12548.2178	13933.7979	12574.5146	12819.2529	12869.3115	11343.2627
1.7345	12159.6846	12981.4453	12565.8135	11898.1016	10442.873	12108.5146	13188.8887	12099.9297	12188.4551	11012.3467	12430.3926	11718.877	11638.0957	12794.876	13294.2549	11769.3291	13412.1064	16213.9346	12272.1553	12756.4355	12931.5107	11671.1162	13442.9043	16129.0352	13318.3018	13483.9189	13292.6045	11980.6143	12013.376	12601.3174	12247.8877
1.8679	11658.8984	12562.5186	12990.0781	11495.4785	10530.5029	12734.8955	12719.5312	11678.2578	11696.3477	10720.71	11743.3145	10898.3457	11274.4111	12285.248	12657.6289	11893.999	12492.3262	16519.5957	11788.2324	11859.3066	12642.9658	11024.499	13461.5957	15539.9277	14013.9053	13127.8408	13276.4863	11219.9688	12693.4785	12024.585	11555.043
2.0013	11547.3584	12679.0303	13975.4756	12251.6689	10700.3291	12164.4902	12814.0215	11611.9756	11055.0693	10866.8184	12548.2314	11448.2842	12041.1865	12398.1279	12439.1924	11924.2598	12290.8994	17572.3633	11446.9658	12351.5967	12178.8359	11328.9502	13507.5371	13535.2373	14176.6436	11940.7197	13081.2559	11452.9473	12590.5771	12037.2705	NaN
2.1347	NaN	13485.9756	NaN	12415.9258	10448.2822	12091.8828	13013.6738	11521.4805	11556.8486	10121.6885	12352.9102	11186.3486	11364.7373	NaN	13082.7686	12175.9082	12363.0342	17559.8477	11630.1006	12415.5293	11513.8623	11511.0918	14075.3027	12171.9092	13422.6104	12084.7754	13829.6182	11802.8945	12620.3242	11690.8818	NaN
2.2682	NaN	13481.5957	NaN	NaN	10388.3789	12395.0332	12457.9238	10896.8271	11481.417	10423.4561	12447.1191	10866.8691	NaN	NaN	13182.3545	11097.207	12405.5791	16051.2061	11422.0156	12453.0771	11549.4238	11702.3301	14344.2109	11121.1299	13324.459	12031.5459	14847.9736	NaN	NaN	11884.0645	NaN
2.4016	NaN	NaN	NaN	NaN	10485.2109	11765.6348	13218.7256	10797.4102	11303.2598	10645.3721	13213.9082	10967.9727	NaN	NaN	NaN	11410.2861	12860.6172	14567.2861	11210.8838	12329.2344	11363.2168	NaN	13994.7197	10411.4189	13498.5049	11892.5137	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	11272.2939	NaN	NaN	10973.4805	12006.7559	11608.8262	12244.54	11228.7646	NaN	NaN	NaN	NaN	NaN	14187.3545	11160.0156	12577.8936	11340.5156	NaN	13696.7354	9988.8711	13504.9082	NaN	NaN	NaN	NaN	NaN	NaN
