x	Y_20181208_15100_17_7g	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g	Y_20181208_15100_8_6g	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_17_4g	Y_20181208_15100b_19_4g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_3g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g
1.3342	13206.3906	17123.5215	14191.9658	15905.9043	14455.6758	14845.0283	13814.7549	15915.0527	13903.8623	14516.4873	12662.5117	16667.5586	14602.9707	16092.0088	14258.6201	14391.2715	14139.0518	15390.5039	12047.9053	14641.1953	14188.96	15276.0293	12345.3525	13781.1494	14585.8008	14783.2402
1.4676	13345.4668	16744.9766	13777.4473	14703.4834	14833.3652	15037.541	13805.6006	14831.6055	14007.0986	15217.167	13110.3867	15664.5283	14080.6934	15048.4746	15034.29	14304.9668	14303.8242	14829.3535	12388.5195	14870.4199	14162.7646	16024.0127	12215.6807	13603.3984	13917.8018	13587.3057
1.6011	13952.2891	16131.2793	13190.8115	14950.1318	15252.127	14452.1982	14585.9424	14283.2744	13806.6738	14851.5059	13755.624	15234.4463	13978.9629	15156.8311	15203.2539	13946.5254	13875.9131	14284.4727	13112.8682	15179.6221	14667.0342	16107.8818	12180.9111	12839.2852	14658.2266	14116.9688
1.7345	13601.1826	14683.4385	12973.2617	13753.7637	14521.7656	14835.002	14016.0088	14568.167	13483.334	14618.042	13896.0312	15376.8604	13408.3799	14736.3555	15844.8633	13665.5469	13282.5518	14468.0127	13802.793	13982.8057	14169.9121	14937.667	12322.7559	12476.9473	14429.6406	13270.627
1.8679	13691.5068	14543.5996	12559.1377	12693.2705	15084.4404	15285.6367	13651.8164	13787.7344	12685.9844	14954.1973	14453.5352	15304.6709	12888.8877	14008.126	15758.5234	13027.9512	13547.0615	14471.3916	13612.3525	13524.4336	13236.96	13547.4141	12405.4062	11404.4746	14466.6875	13535.0391
2.0013	13719.1611	13970.8789	12120.1172	12657.2705	15785.9551	14282.4375	13516.0908	13349.2217	12771.6094	14824.7891	13853.8066	14018.752	12371.6396	14650.5205	15752.1562	11856.6914	13647.0312	12758.7324	13865.5088	13424.5332	13828.6406	13121.0615	12249.9834	11495.0625	13598.1367	14130.3506
2.1347	13439.5166	13843.1699	11807.4268	12850.459	15520.3945	15147.0312	12961.8008	12818.2852	12849.9629	14411.4277	12837.417	13767.3057	12386.3154	13718.2236	14624.3135	11505.7383	13895.3154	13085.7588	12754.375	13151.3232	13932.3906	12690.4297	12685.75	11555.7783	13706.834	13754.2666
2.2682	13225.2891	14054.9248	11880.0928	12271.8232	14771.5381	16086.5049	13038.4463	12769.8887	12860.6592	14408.6094	12571.7578	13261.7256	12315.252	12995.8252	14259.5	11794.2744	13566.5537	12156.5098	12671.3086	13329.8584	13549.0645	11929.7314	12279.2793	11548.0479	13421.9492	14014.4209
2.4016	12301.123	12968.5059	11712.1338	NaN	14111.6875	14965.7373	12665.5391	11995.1279	13611.6641	13399.1885	12947.0596	13132.1807	12853.9785	13150.1113	15361.8076	11614.457	14736.2393	11804.2812	11838.3594	NaN	13020.3799	11529.6904	12183.4775	NaN	12635.7197	13382.6758
2.535	11692.0303	NaN	11865.9092	NaN	14028.8809	13497.0918	13179.334	12416.4854	14322.0576	12530.6865	NaN	12339.7852	12198.4004	12308.2363	16496.6387	11488.6025	NaN	11892.3389	12011.7256	NaN	13102.0664	11184.5264	NaN	NaN	12141.6445	12630.374
2.6684	11455.2334	NaN	12144.5127	NaN	13711.8311	13153.6045	13146.2354	12187.7822	NaN	13230.2432	NaN	12157.0186	11961.4209	12331.2588	16126.793	11810.626	NaN	NaN	11996.9824	NaN	12132.0576	11415.0234	NaN	NaN	12069.0977	12926.3984
2.8019	NaN	NaN	10977.8145	NaN	13606.7061	12988.3047	12451.2803	12344.8066	NaN	NaN	NaN	11935.5596	12410.8574	NaN	14421.7588	NaN	NaN	NaN	NaN	NaN	12046.2705	11061.6396	NaN	NaN	12154.0674	12209.4893
2.9353	NaN	NaN	NaN	NaN	13269.9971	12832.6953	12514.3076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13864.2051	NaN	NaN	NaN	NaN	NaN	12808.1592	11441.2451	NaN	NaN	NaN	12428.5
3.0687	NaN	NaN	NaN	NaN	12607.5264	13404.5635	12561.2754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13476.5352	NaN	NaN	NaN	NaN	NaN	12424.5273	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13244.2881	NaN	NaN	NaN	NaN	NaN	11926.752	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
