x	Y_20180130_15100b_1_3g	Y_20180130_15100b_10_10g	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_8g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_3g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_14g	Y_20180130_15100b_12_3g	Y_20180130_15100b_12_4g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_7g	Y_20180130_15100b_13_9g	Y_20180130_15100b_14_11g	Y_20180130_15100b_14_12g	Y_20180130_15100b_14_2g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_3g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_7g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_2g	Y_20180130_15100b_17_5g	Y_20180130_15100b_17_8g	Y_20180130_15100b_18_17g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_23g	Y_20180130_15100b_18_4g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_6g	Y_20180130_15100b_19_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_20_11_1g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_15g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_8g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_2g	Y_20180130_15100b_22_3g	Y_20180130_15100b_22_8g	Y_20180130_15100b_23_10g	Y_20180130_15100b_24_10g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_1g	Y_20180130_15100b_24_3g	Y_20180130_15100b_24_5g	Y_20180130_15100b_24_6g	Y_20180130_15100b_3_13g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_15g	Y_20180130_15100b_3_8g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_13g	Y_20180130_15100b_4_15g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_4g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_5_9g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_6g	Y_20180130_15100b_6_7g	Y_20180130_15100b_7_12g	Y_20180130_15100b_7_3g	Y_20180130_15100b_7_4g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_14g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g	Y_20180130_15100b_9_9g	Y_20180130_15100_1_1g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_4g	Y_20180130_15100_3_11g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_13g	Y_20180130_15100_4_1g	Y_20180130_15100_4_3g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_11g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_18g	Y_20180130_15100_5_25g	Y_20180130_15100_5_3g	Y_20180130_15100_5_5g	Y_20180130_15100_5_9_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_18g	Y_20180130_15100_6_6g	Y_20180130_15100_7_10g
1.3342	15413.838	14536.065	12410.005	19845.314	14038.685	13695.985	13548.996	18185.471	18553.633	14558.383	18483.434	13402.266	13573.678	12298.265	19047.543	12311.567	14696.974	13059.811	14189.691	13232.128	14182.52	12175.539	14356.189	15229.165	15177.601	15399.941	11635.698	16828.688	13496.278	14310.769	14577.604	14705.239	16671.564	15511.021	16634.605	12096.75	15307.418	15454.934	15655.478	13548.978	13660.437	14591.396	13973.943	12344.261	16363.025	16476.734	13235.821	13180.676	13761.423	12790.476	18539.846	15041.734	18777.057	16629.426	18556.938	16176.202	19471.15	15577.642	12279.688	13254.184	12612.195	13720.298	12679.615	13336.001	18120.645	14389.237	15509.954	13809.446	14377.215	16773.35	15052.488	14453.533	17849.092	15566.513	16565.453	12742.375	12880.745	14910.827	13789.585	16232.569	15331.622	13057.348	12849.448	19845.969	12326.949	13795.182	17323.637	20450.975	14135.167	14753.792	15594.501	15548.743	14747.391	13511.017	14125.156	11664.345	13462.892	14120.661	13614.085	15006.53	19608.643	16396.828	12570.173	12220.694	13174.143	12996.788	12327.679	16285.823	12313.299	13428.761	13182.462	12230.974	14454.406	17181.066	11738.387
1.4676	13754.233	13626.063	11815.514	18444.631	13663.933	13671.519	12949.821	16340.07	16266.238	14810.291	17561.633	12918.252	13703.094	12182.992	19669.168	13245.244	13104.811	13491.793	14270.451	13950.978	12080.851	12333.086	14792.068	14651.697	16085.679	14842.498	11522.827	16337.889	12990.708	13943.903	13441.788	13625.674	15017.166	16033.934	15187.324	11968.728	14722.23	16131.81	14310.932	12590.129	12889.662	14947.866	13812.327	12017.687	14201.121	16467.801	13429.71	13265.601	13799.989	12518.59	17848	14788.962	18052.855	16085.651	18559.781	16040.665	16382.315	16332.884	12878.014	12777.885	13803.866	13409.612	12567.23	13593.497	19316.805	13511.58	15864.386	13493.152	15178.476	14793.128	13460.181	14881.608	18155.828	14537.438	14630.089	13918.295	12292.113	14907.799	15084.681	15214.719	14929.463	12217.695	12656.936	18508.832	12625.632	13502.004	15403.574	17378.076	13341.545	14775.718	13424.918	16134.685	15252.99	13159.077	13630.235	12042.693	12138.628	13597.009	13151.527	13313.486	19554.68	15246.051	11136.089	12209.3	13023.46	12704.73	12518.784	15232.655	12394.592	12708.484	12771.452	11584.515	13080.978	16459.939	10854.148
1.6011	13110.38	12685.939	11483.105	18716.855	13555.714	12683.812	13029.419	14698.109	16061.857	14020.725	15732.111	12408.94	NaN	12972.095	19316.859	13763.692	13361.237	12986.955	14775.445	13860.649	12699.788	12162.242	13893.718	13068.13	15930.884	13291.79	11031.057	14911.348	13596.105	13639.325	13018.31	13107.199	13159.397	15217.481	13483.355	11908.997	12863.367	15271.265	13874.525	12603.478	12207.236	13599.098	13142.805	12243.812	13327.684	16488.279	12908.652	12685.328	12694.851	12785.28	15946.149	15723.905	16415.332	15486.629	15928.163	14841.096	13679.079	16116.803	12377.784	13107.577	12891.279	12870.957	NaN	13298.402	16982.998	14094.35	14487.74	13485.044	13899.468	13998.58	13343.141	14248.987	18239.492	13011.845	13561.15	12953.062	12712.696	14363.17	14434.878	13888.637	13639.613	11990.349	NaN	15467.412	12591.922	13149.88	13767.347	14935.584	13103.702	13718.138	12828.923	14477.977	14439.749	12026.11	13260.641	10959.892	12243.948	13562.899	12693.68	13332.077	16399.184	15010.622	11725.057	NaN	12178.654	12527.942	12718.836	14072.388	12369.753	12692.188	12969.923	12064.681	13489.503	15680	10229.835
1.7345	12369.478	NaN	11311.654	17132.814	12969.275	12669.592	12589.502	13657.713	14565.601	NaN	15244.236	11800.687	NaN	12036.979	19022.348	13709.135	13038.808	NaN	14907.608	13419.405	12557.432	NaN	12949.433	13178.82	15119.12	12266.284	11710.626	13442.046	13029.541	12699.326	12807.63	12935.587	12460.648	15437.731	13260.608	12219.797	12842.177	14007.064	13290.131	12528.137	12082.445	12315.837	12551.828	NaN	12932.197	16437.629	12938.869	NaN	NaN	13241.38	14005.509	16840.051	15129.934	14716.033	15084.812	13725.056	12778.715	15171.796	13009.143	13134.921	12991.016	NaN	NaN	NaN	14117.186	13440.027	13748.647	13394.1	13086.717	13606.86	12446.13	NaN	18406.703	11907.887	12794.175	11674.618	NaN	14649.196	13780.877	12889.587	13205.172	11198.464	NaN	14176.292	12301.158	11428.001	13036.834	13493.484	13425.896	12689.638	12260.823	13652.176	14273.249	13220.385	NaN	11216.967	NaN	12931.558	12856.969	12948.311	14909.272	13648.131	NaN	NaN	11866.946	12367.735	13019.477	12803.878	12101.495	11983.232	NaN	NaN	13401.374	14077.666	NaN
1.8679	12035.702	NaN	NaN	15788.573	13361.554	12872.238	12724.424	NaN	13929.703	NaN	14656.488	NaN	NaN	12362.143	18912.023	12797.781	NaN	NaN	14970.671	13946.135	13138.256	NaN	12774.373	12411.022	13923.531	11349.982	11948.145	14048.664	13259.43	12181.428	12630.506	11997.688	12105.679	14267.046	12498.025	NaN	12556.61	12938.104	12977.076	12183.502	12342.369	12169.516	12743.759	NaN	13335.44	15015.989	13287.882	NaN	NaN	13209.913	13415.407	17707.287	14102.642	13395.916	13667.002	13677.394	12688.933	13742.13	13220.986	NaN	12974.721	NaN	NaN	NaN	12963.319	11943.767	13460.885	13001.53	13122.651	13491.563	12631.81	NaN	17693.436	11752.71	12854.554	11434.832	NaN	14445.874	14211.835	12234.839	12449.964	11109.637	NaN	12258.943	NaN	12965.958	12682.738	12375.938	13453.93	11951.27	11536.124	13194.197	13884.151	12879.212	NaN	11424.614	NaN	12705.539	NaN	NaN	13175.906	13679.587	NaN	NaN	NaN	11679.24	NaN	12108.332	11747.415	12168.212	NaN	NaN	12987.687	13112.707	NaN
2.0013	11799.419	NaN	NaN	14569.928	13707.211	12070.439	12733.795	NaN	13960.603	NaN	NaN	NaN	NaN	NaN	17519.822	12277.343	NaN	NaN	14457.503	NaN	13153.651	NaN	NaN	11358.979	13887.679	12187.483	11738.059	13899.787	NaN	NaN	NaN	11945.028	NaN	14075.351	12274.336	NaN	11899.086	13087.707	12843.488	11757.292	NaN	NaN	12631.928	NaN	12552.78	13835.048	13762.242	NaN	NaN	12985.248	NaN	16459.666	13283.068	13166.245	13287.943	12739.499	12113.352	13226.492	NaN	NaN	NaN	NaN	NaN	NaN	13065.749	12705.929	13112.425	NaN	13196.439	NaN	13117.638	NaN	16376.893	12649.426	12759.016	NaN	NaN	14005.173	NaN	12488.569	11192.615	NaN	NaN	11896.944	NaN	NaN	NaN	12331.786	13189.283	13121.681	11660.83	NaN	13619.874	12646.165	NaN	NaN	NaN	NaN	NaN	NaN	12910.439	13705.698	NaN	NaN	NaN	NaN	NaN	12714.541	11891.321	13164.979	NaN	NaN	11482.335	12620.119	NaN
2.1348	11922.426	NaN	NaN	13861.728	13238.864	11905.507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15917.471	12192.918	NaN	NaN	15370.033	NaN	NaN	NaN	NaN	NaN	12508.385	11630.252	NaN	12951.269	NaN	NaN	NaN	12147.121	NaN	NaN	12691.932	NaN	12581.494	12421.202	12787.334	NaN	NaN	NaN	NaN	NaN	NaN	14403.41	NaN	NaN	NaN	12798.176	NaN	15533.531	13563.928	NaN	NaN	12728.212	11010.605	12258.759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12654.868	NaN	NaN	12731.225	NaN	NaN	NaN	NaN	12260.438	NaN	NaN	NaN	13224.4	NaN	NaN	NaN	NaN	NaN	11832.981	NaN	NaN	NaN	12155.324	NaN	12188.114	11364.613	NaN	12962.617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12906.854	NaN	NaN	NaN	NaN	NaN	13231.273	12110.812	12772.637	NaN	NaN	11486.195	13137.152	NaN
2.2682	12195.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14208.846	12067.997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12404.94	11756.4	NaN	13214.915	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12683.045	12163.91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13397.09	NaN	NaN	12378.874	11239.228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11676.077	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13319.512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13323.909	NaN	NaN	NaN	NaN	10882.973	12234.099	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12390.613	12923.071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13187.166	11894.181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11708.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12459.926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13592.416	NaN	NaN	NaN	NaN	10841.438	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12656.918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12240.502	12151.966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13329.918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
