x	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_4g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_2_2g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_3g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_6g
1.6011	14287.0166	13330.5117	13091.2188	13111.3848	14015.8086	12479.6328	13380.5068	13280.2393	13077.958	12232.8135	15011.0547	11784	11594.9072	11221.5195	15347.1982	12156.3145	12032.7422	14427.1084	17210.2539	14067.8701	13734.2998	12403.3203
1.7345	14413.1074	13327.3018	13477.8623	13221.71	13483.2773	12793.2539	14802.1113	12689.7158	13812.2891	12614.1064	15164.3037	11334.9766	13166.8818	11522.0156	17304.291	12143.0117	12206.0303	14680.0713	18473.8359	13530.8047	13578.3311	12051.1816
1.8679	14498.4355	14193.7178	13742.084	13834.7451	14430.3545	12238.5166	16163.8066	12362.5713	14050.7197	13164.2744	15232.46	11719.9062	13662.4072	11466.96	18678.2188	12563.0488	12281.29	14891.2959	16509.6426	12634.1465	13601.9561	11230.4746
2.0013	13529.8623	13812.0547	14771.7217	13282.542	15090.668	12977.8809	18368.8691	11787.2529	13887.708	13473.54	15256.9023	12568.5332	13855.0508	12611.2207	17647.8438	11773.0205	12740.8809	18578.4531	16931.6367	12796.5869	13520.9443	11446.6152
2.1347	13534.1924	13262.7725	15514.8096	12804.8887	14869.6172	13194.2676	16831.9238	12301.4736	14027.8018	13058.1758	14983.501	12294.6699	14773.2559	12578.2666	15314.5205	11092.9639	12543.958	20068.1523	16168.7939	12247.4316	14050.1846	11170.624
2.2682	13540.9404	12824.6855	16752.4277	12909.1611	15094.5371	12828.8438	15996.3594	12590.6514	13556.4775	12391.5254	14563.0508	11795.335	14471.1777	13556.0918	13177.4648	11163.7627	12059.6504	20657.9609	15701.3018	12245.5166	15912.6543	10895.8281
2.4016	13233.7021	12691.6455	16489.1953	13413.1875	14702.9619	13137.9551	14875.6914	13555.2373	13346.2129	11528.4121	12911.8281	12008.416	14312.7451	13723.2979	12308.7402	10836.6816	12217.0244	19241.4141	14092.2969	12296.5303	16249.9736	10728.1592
2.535	13895.8477	13839.9893	14910.1465	13228.2744	14687.0762	13136.958	14402.3613	13502.9092	12811.8965	11880.0498	11937.7109	12378.6865	14773.3496	14683.7939	12477.9473	10499.1592	12336.7295	17695.0488	12650.0918	12256.3018	16647.0293	10710.2627
2.6684	14063.1465	12809.0449	14081.6475	13321.6924	12929.3145	12930.9609	13844.4795	12909.333	13039.5029	11486.9287	11678.2236	12170.3584	13859.4648	14331.6279	12004.1367	10919.6455	12048.8496	16754.7637	12432.8145	11868.7979	15095.6582	11128.6045
2.8019	15491.5752	12726.8965	13747.6094	13084.2607	12746.6396	13973.9697	12960.7129	11991.4141	12880.7344	11538.2822	11837.1025	12060.4873	13304.917	13257.0088	11739.0049	12145.959	12547.5615	15644.6318	12156.9033	11493.5615	13164.6445	11720.4482
2.9353	15404.4912	13148.3291	12953.9111	13541.2979	13175.1797	14390.4473	12110.7773	11676.7217	12815.7852	11904.4883	11944.793	12140.9277	13376.9072	13199.5596	11724.3564	12601.375	12702.7773	NaN	12050.7783	11789.6201	12008.6689	11477.6631
3.0687	15557.3877	12595.7725	13282.0234	13060.3467	13872.1787	13822.9502	11550.0703	11844.2705	13533.8496	12021.9277	NaN	11722.8848	13798.1943	12409.25	12656.0117	13025.918	NaN	NaN	12026.7578	12298.5049	11645.0625	NaN
3.2021	15113.7871	13860.8252	12715.3125	12597.2207	13279.249	13046.4541	11555.1885	12087.2373	13314.1553	11834.4346	NaN	11889.833	13028.1758	12678.9561	12189.1562	13377.9629	NaN	NaN	12790.6689	NaN	11814.1699	NaN
3.3355	14364.623	13459.5254	13093.7441	NaN	12867.6748	13080.5781	11862.3848	13108.5625	NaN	NaN	NaN	12168.0557	13472.1416	12418.8291	12597.3037	NaN	NaN	NaN	12513.2998	NaN	12225.5234	NaN
3.469	14405.5596	13003.6445	NaN	NaN	12899.0195	13311.7832	11384.0586	12709.7314	NaN	NaN	NaN	12415.2285	12645.4678	11991.2754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	13709.1592	NaN	NaN	NaN	12920.3633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12417.2012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	12402.1338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12690.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
