x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
1.3342	28848.9023	33137.5039	30345.0625	27987.084	30997.0781	30962.7188	29368.5488	30914.4707	28691.6895	33904.4727	25535.1172	29373.9004	32703.793	28720.8281	28572.2363	28830.0254	27023.6016	29626.9648	29400.5977	30151.9863	31089.3066	30317.2891	31144.7754	31557.6777	28063.9199	29110.166	27933.0566	27636.3398	30695.7246	27666.8652	30768.5449	28484.5645	32569.5977	30564.0293	27796.2773	25759.1875	27759.6113	29065.8457	27588.7344	27553.9863	27542.0156	27911.0527	32294.8203
1.4676	29136.4141	33581.6133	30947.5781	28589.7871	31579.0312	32832.4492	28845.373	31265.8555	29084.1992	33164.7148	24675.875	31176.166	32056.5195	30457.8711	28555.6973	28924.209	28353.3301	28586.6367	28818.6016	29805.7949	30313.2168	30132.4883	30597.8242	31801.1914	28309.7715	28484.0898	28254.9473	25798.5312	30600.4336	28179.7793	30016.248	28300.6152	32168.4941	30037.877	27509.4883	26302.3301	28154.5352	30502.4121	29609.2402	25943.8711	27755.1484	27242.2285	32013.582
1.6011	30855.0957	31394.7227	29852.6953	29019.6875	32627.8594	33180.7148	29432.7539	29525.2168	27392.3379	32049.9082	25522.1582	33486.2891	31210.7812	29419.9883	28765.584	29641.582	28397.3984	29732.9492	28687.1836	29720.957	30490.6973	29564.3164	29735.2793	32005.8301	27622.4453	28541.8145	28012.1543	25556.3496	30434.3809	26492.8008	28531.3164	28860.7832	34672.1328	29500.0977	28076.4805	28040.4414	27507.6953	30019.8125	28551.3848	26808.7793	28588.8105	27142.9492	32099.1816
1.7345	29924.4297	30254.7129	31445.877	27767.4824	33737.0117	32012.8711	30920.0449	29696.1055	28712.5332	33265.0938	25948.4258	36697.1289	30775.4629	29636.1484	28936.4219	30450.7832	29498.5605	30680.7168	30207.3203	30814.8008	28218.4004	28339.9082	29140.3398	32680.7676	28390.3672	28970.0449	27691.4414	25948.623	30230.6816	26613.3398	29345.375	29132.2559	33326.9727	29875.0293	28870.8711	28277.4785	26720.9023	29417.7793	28590.6875	26870.0801	28508.2383	28306.5762	31722.0078
1.8679	31232.418	32469.5176	32487.9043	29339.1621	32833.5977	30768.1309	29893.9355	31651.3027	28818.6133	34304.7734	24902.1035	42062.3203	31664.6172	29673.2363	28552.918	28934.3164	29618.041	29896.9707	30952.5371	30785.1152	29299.791	30278	30188.7832	31541.8945	28789.8418	28127.6309	27027.7695	27359.5371	29890.125	25927.2754	30556.8242	29847.1328	34584.5469	30759.0977	31225.2031	27327.623	28615.8613	30228.8496	28258.1113	28742.6992	28415.3105	28118.4062	33192.3711
2.0013	30148.7207	32210.8027	33980.4688	30024.7793	32850.375	31081.5156	28734.0293	30938.1992	28369.4336	35508.6367	25268.5586	42141.2461	32281.291	31557.2285	28707.9082	29106.8027	30791.9023	29571.207	29514.7715	32556.5078	29453.5859	31281.5391	29666.0273	30585.3086	27816.3359	28354.5938	25945.0254	27078.4434	29987.2051	27023.6523	32282.9883	30206.8301	35373.3906	29607.4609	30832.5332	26385.6211	29082.1992	29418.7129	29807.0332	28682.1602	29177.7793	28341.4297	33043.2852
2.1347	30226.3594	32130.3047	34712.6914	27717.1152	35108.1953	32398.1133	28613.7441	33248.9961	30504.2852	35709.8047	25730.7266	38129.418	31142.9375	30257.1113	31082.3047	29773.1934	31640.6426	29652.6953	29393.6797	34013.668	29204.873	31313.3398	29756.9766	32191.1758	28012.5391	28766.2012	27320.0527	28696.8535	31450.1055	27600.3242	32498.4453	28245.1133	34566.1328	30909.4629	32242.6191	26749.2402	29392.084	28009.3594	28790.9355	28028.8965	28395.6094	29769.2891	33415.2266
2.2682	32088.9238	31900.4688	39359.4961	29360.8086	35371.4961	34611.1875	28465.6328	35374.5938	32143.0684	38353.3906	26525.3848	35212.4219	30188.9023	30624.7168	30412.6445	29948.0566	34311.1992	30914.9844	30041.7734	34892.7539	29567.1191	33542.3555	31148.5371	30760.916	28293.9844	29156.4551	27679.7871	30825.1562	31779.9785	26893.8262	32277.5352	28149.5781	37298.4062	31525.1484	35586.1875	25950.7168	34470.6016	28148.2754	30189.3535	28332.6465	30310.5605	29409.7617	34047.9062
2.4016	31248.5312	31706.9883	43252.4258	29392.2383	37779.832	39026.1836	29269.5918	39804.0117	36162.5938	45311.043	28070.1172	33455.7734	33071.2773	31116.084	30611.4668	30143.0703	35256.6445	30321.9922	29473.5566	36516.1406	29226.2637	36707.3281	33130.9961	31587.0918	28360.0957	29598.0547	29350.3711	33616.1953	32510.1621	28689.4785	33451.5312	27597.8047	39804.3438	34413.9805	45365.2656	26155.3125	41562.9531	29696.2617	29585.9062	30369.7578	30632.0586	30806.4688	36904.3398
2.535	31900.4863	31640.0508	48068.9453	29512.7266	41789.9805	47863.1758	31846.9102	53534.6055	46418.0273	53213.8086	33786.5391	31351.3184	36766.9609	32053.6328	30327.4395	30163.3047	42968.6367	33164.3711	30643.582	35673.2773	28020	45274.4727	36438.9531	32141.5234	29413.0625	28488.0801	29521.75	42884.4922	33007.1016	29231.5137	34092.0195	28169.3672	50450.0469	39132.4297	58590.6797	26876.418	56131.7539	30033.5488	32454.0918	31248.9668	29234.918	30699.3691	39496.7617
2.6684	35324.6133	33882.6445	49360.2188	29459.625	55919.7852	64853.2031	34615.8281	71210.5312	62068.7852	75219.0703	44896.7266	32230.5957	44706.7109	35281.4688	32742.2402	30360.748	57001.4531	37225.3516	31536.9766	39373.4375	28183.2148	63989.6914	42729.5352	32115.1621	30912.3965	29530.0371	29016.2832	64157.5195	37845.3047	29400.2969	35145.0547	29444.5918	74587.1641	53344.6875	63167.5508	26193.9531	71145.4844	28645.1641	35300.5508	31068.6367	29283.4199	34523.1875	53713.5859
2.8019	47456.5703	39954.2656	37825.4258	32682.5566	81359.4297	78259.1328	43854.4688	71560.3828	54832.9219	115843.0625	59087.9648	32097.3027	53565.9336	43628.375	36573.6016	30883.1113	69391.4766	41188.1211	32172.6602	43410.6211	29912.7734	77666.0312	61357.8633	35860.4531	35065.0977	32372.0723	30197.748	91724.4844	44304.4375	31298.3809	39110.7891	30698.543	120677.2969	78317.9922	49056.1172	26731.1465	64871.8711	29521.834	42409.5977	32777.6875	29918.334	43946.3477	76946.6094
2.9353	58097.6484	50762.125	34215.5	36944.8086	93566.8984	67607.2812	64670.2852	56529.3828	40891.6211	125723.375	55709.0039	NaN	49371.5703	62497.418	47799.7031	33032.5977	59949.6367	40439.3633	37507.1055	51972.1641	29793.6426	63939.0312	92654.3594	42004.4648	42980.2773	37754.5352	35093.1289	85203.2109	60572.3594	32742.1953	43529.2227	32361.7832	163941.9062	93683.5391	36838.2852	27915.9375	45267.668	30539.8672	53668.4102	39508.1094	31838.6699	64139.6172	89267.4531
3.0687	53039.0898	74908.9219	32358	49661.7148	77335.8359	49538.1523	81793.6875	41065.6016	32268.2148	89747.7109	39928.7344	NaN	40581.8359	88335.2266	67573.4766	35241.3398	44854.8555	39031.6289	48929.3867	52112.1367	30629.9062	44857.9961	110323.8906	56938.1094	58581.9219	51592.5195	41893.7148	55588.7578	80901.2734	40749.4023	39996.2031	40143.6172	155593.2344	74426.7031	32759.3613	31268.0879	35264.1211	30252.3027	63254.0039	54297.332	31919.4922	86036.6719	70420.3125
3.2021	44249.832	94358.0312	NaN	72106.4219	49686.8672	39621.8945	74880.9219	35702.7617	28915.7891	57035.8633	29637.2852	NaN	35329.3164	90105.1719	78345.1641	38715.4023	34930.9062	45379.25	63272.3672	43254.2539	33378.918	42396.6055	80660.8359	77177.0391	65046.2383	72650.5312	52316.6289	39956.2344	74518.3281	55457.7734	35474.4883	56311.4141	109622.5312	50047.0195	30545.2617	37518.0391	31602.8867	31532.4102	59566.6836	88613.6406	32632.3262	75711.7188	49526.9102
3.3355	37128.0742	76580.3594	NaN	93373.9141	39020.1445	35195.668	51033.5703	34331	NaN	47341.8555	29329.0449	NaN	35769.0898	59892.582	62318.7461	43736.3555	31147.6387	49276.1758	64425.1992	35449.207	44177.8945	NaN	51361.082	74617.7344	50500.1484	68920.8594	51484.3867	33818.293	53728.375	81783.1016	32704.0605	68370.4688	67088.5469	37766.2188	30402.4023	45220.4297	29257.5605	35248.6328	46197.7578	123854.1016	36362.5039	50780.2266	39817.9219
3.469	39635.6094	49896.8711	NaN	86238.0156	37385	33230.9102	40137.0508	32476.5762	NaN	52322.8828	27158.293	NaN	35118.8086	41588.2891	43310.9219	49034.5352	32052.332	41801.375	47973.7031	33472.7656	58801.5859	NaN	38958.9219	54831.1758	37646.0625	48542.3438	41515.1172	31280.0996	40370.6523	85755.0078	31128.3926	58934.8867	46266.0898	34386.7852	30800.7031	51837.4258	27934.7871	42603.5586	37961	109873.6953	46832.9766	37491.3438	35242.1367
3.6024	NaN	41031.9883	NaN	59619.8242	35632.1016	34333.7344	34559.3945	33188.6797	NaN	NaN	26350.7207	NaN	35111.8086	36468.875	37048.918	47794.375	31150.5312	34100.4844	40483.8242	32742.4844	57709.7617	NaN	34332.0625	41842.0469	32591.6094	36406.9531	32992.1328	NaN	34208.0234	61115.9062	30836.7734	43868.8438	39609.5781	33794.1289	NaN	42643.9453	NaN	60192.7461	36783.9766	71456.5547	62812.7188	30830.918	34503.0859
3.7358	NaN	37377.5547	NaN	42987.4844	35356.4453	NaN	32411.4121	NaN	NaN	NaN	NaN	NaN	33556.9297	33644.6172	35005.582	42380.4141	29427.166	31469.9414	37134.9336	31891.832	44851.1445	NaN	34024.7734	36875.3672	30847.6484	32461.3535	30007.6562	NaN	32784.3633	50104.8906	NaN	35295.5586	36676.5859	32843.3438	NaN	33287.8945	NaN	69112.5	35462.543	48282.5586	61296.8555	30527.3281	33827.2969
3.8692	NaN	36833.0781	NaN	36364.6719	NaN	NaN	31488.3516	NaN	NaN	NaN	NaN	NaN	NaN	33986.1016	32659.5977	38167.5273	NaN	31194.6836	34494.7773	NaN	36748.3477	NaN	32488.1406	38054.9531	30197.1758	30739.2617	28505.9453	NaN	33165.1523	54441.8008	NaN	32221.6035	NaN	33163.2422	NaN	28066.8457	NaN	60195.3125	NaN	39041.6719	47348.6914	29809.4746	NaN
4.0027	NaN	35758.9062	NaN	33506.2188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31390.3066	40035.3008	NaN	30071	33748.0352	NaN	33174.4102	NaN	NaN	37177.7148	28615.1172	NaN	28027.6191	NaN	32334.791	NaN	NaN	30546.1816	NaN	NaN	NaN	28831.6328	NaN	43121.6523	NaN	35758.1211	37735.4648	27886.2754	NaN
4.1361	NaN	NaN	NaN	32278.1562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31168.793	NaN	NaN	37254.418	28572.2637	NaN	28465.5273	NaN	30736.2344	NaN	NaN	29697.9668	NaN	NaN	NaN	29474.5469	NaN	36111.3438	NaN	33925.6641	33187.1992	NaN	NaN
4.2695	NaN	NaN	NaN	30162.8066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30463.6914	NaN	NaN	NaN	28882.1914	NaN	26954.6172	NaN	NaN	NaN	NaN	30386.5391	NaN	NaN	NaN	26661.252	NaN	32968.3477	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	29820.5977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30869.4785	NaN	NaN	NaN	NaN	NaN	27014.0215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28447.5	NaN	31147.5254	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29489.2598	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28928.8242	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
