x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_4g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_6g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_11g	Y_20181208_15693_13_12g	Y_20181208_15693_14_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_7g	Y_20181208_15693_15_11g	Y_20181208_15693_15_9g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_4g	Y_20181208_15693_19_8g	Y_20181208_15693_2_2g	Y_20181208_15693_2_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_20_4g	Y_20181208_15693_3_4g	Y_20181208_15693_5_6g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_8g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_6g	Y_20181208_15693_7_7g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_5g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_5g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_17g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_9g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_4g	Y_20181208_15693b_6_10g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_12g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_6g	Y_20181208_15693b_9_7g
1.3342	14967.1328	12834.7578	12547.1152	14992.3828	13210.0928	13890.1934	11910.3682	11569.7715	13248.4033	14316.1738	14328.2939	13386.7861	17656.957	13969.04	11812.9727	12763.3184	14147.3857	13402.7822	15606.7656	14197.2451	22391.3652	10839.96	14390.9297	15902.6699	14695.458	15064.5234	15815.0498	14548.9893	18136.0879	11474.2422	13861.2236	11774.1172	14073.3535	13038.0693	14991.9512	14789.5645	17311.8613	12904.7285	11236.5576	13528.3154	15517.4453	11256.0518	13909.043	13827.0088	12714.3643	13465.5391	14462.1553	18836.2539	20678.5391	14467.8633	16060.9375	11117.7578	12807.6826	14831.6514	18299.373	13364.0713	11244.9199	16993.7246	13339.3242	15118.208	13118.6699	11797.3018	14871.4336	14400.2969	17123.4512	16139.9746	12879.9492	12616.6709	13970.8613	11956.1699	23196.8477	16014.5898	15504.6582	13792.0215	14270.5811	10818.7686	18428.5664	13005.4092	11510.4893	13513.7188	14173.8223	15095.3857	16658.8398	15430.4424	13279.4434
1.4676	14647.9414	12508.2549	13768.7881	14679.3779	14354.4736	13828.6387	11895.6357	11853.5137	13090.5889	13329.2324	13345.9062	13837.8008	16533.8516	12667.0273	11099.1846	12814.001	14794.0596	13490.4395	15123.1641	13075.2812	18780.1445	11353.1338	14294.3828	15864.377	16590.4785	13676.3857	15788.335	13664.1016	19307.4727	11682.6758	13597.2197	11857.752	13531.1162	12640.1631	14742.8027	15469.9658	17031.748	14025.791	10957.792	13695.6289	17085.1875	11400.709	15304.126	13624.291	11784.0547	12558.2891	14472.5107	16467.5332	17687.4531	14696.2666	16365.9453	11699.7168	13497.4219	15122.6719	15828.4209	13677.9355	11348.9316	17493.9023	14562.3711	14403.8545	13266.4561	12742.8398	15422.6855	15091.4395	15002.6475	16670.4258	13640.7383	12536.8896	15174.4375	12907.6855	19459.7949	15805.2344	15252.8428	13829.1973	15013.8994	13658.042	17241.6504	12752.9668	11718.6523	12430.6182	13746.0332	14254.0332	14676.6846	15860.1631	12306.9834
1.6011	14490.6875	11875.248	13739.0635	13163.1992	13724.8779	14557.0674	11524.4189	11708.2461	12552.4883	12796.4551	13302.7207	14422.6045	15079.457	12179.5908	10877.0039	12615.1797	14870.8135	13384.251	16005.9189	12766.2139	18371.7031	11446.5361	14354.1182	16640.0586	16103.8311	13053.6523	15666.6436	13509.1377	20890.7461	12073.4014	12545.9688	13417.8438	14556.6406	11775.9258	15431.7236	16115.5342	16758.166	12378.1318	11759.4365	12903.8545	16460.4414	11554.3486	14340.1211	12344.2217	12576.0605	12541.2979	15359.9092	15512.9834	17567.6641	12923.6562	15991.3057	11427.6875	13158.3711	14635.3369	13697.4688	12864.5518	11851.0449	17079.5254	13498.3906	13036.6133	13800.3232	13133.4209	14721.8867	14954.4541	14623.1025	16806.3184	15044.874	12054.3506	15758.6914	13003.1016	16887.6523	17417.5508	14224.873	13511.8965	14837.3154	13432.333	16985.8516	12698.2578	11691.5469	11636.6719	13227.957	14179.1689	14033.249	16228.4062	11817.5225
1.7345	14502.8604	11757.2471	14757.5547	13237.957	14368.8184	13510.3301	11398.1943	12494.1914	13074.1836	12505.584	13334.1006	14783.2676	15525.9854	12316.8174	11600.1621	12042.5576	13946.5234	14396.4629	15950.3447	11978.8672	17644.3398	11256.2744	14813.7285	16695.3184	17253.0938	13898.8066	16488.377	12796.7568	20429.9531	11084.9863	12701.9756	13185.3535	14416.5576	11284.0996	15439.4033	15093.1572	17328.7891	13800.3105	12385.2197	13114.7441	15894.6416	11475.1357	13960.0039	11164.4756	13566.2275	12394.7422	14517.4814	15138.7119	18250.0078	13011.75	15603.2744	11301.6172	12902.8867	13776.125	13921.3135	11309.6768	12608.5537	17195.5312	13893.1221	11958.1396	14519.6846	12824.626	13540.0264	14257.3154	13068.0801	16964.8867	16044.373	11639.9092	14644.6025	13431.0918	16317.3271	18915.7383	14430.9639	13195.7607	15477.9629	13322.3936	17362.1172	12059.4512	11228.9463	11486.9814	12831.3496	14100.4678	12819.1514	15198.417	12124.7949
1.8679	14922.1865	13654.958	15432.8545	12068.9609	15248.3213	13400.6709	11218.1865	13172.7422	13417.1748	11448.2266	12124.8633	15195.4912	16761.3555	12442.8594	12571.0205	12367.0029	13131.9229	13090.1797	15608.3926	11971.4463	15592.127	11477.8691	14848.3994	15739.4668	15932.5596	13068.8223	16001.5156	13468.0566	18807.8906	11231	13205	12308.7393	14476.1162	11012.3242	15115.4258	13461.5098	15348.1055	13099.9268	13246.4814	12691.3438	15669.0918	11258.9854	13512.5645	10765.7852	14358.4365	12668.4316	13757.8965	13591.4736	17946.9297	12169.1953	14812.1738	12070.4941	12632.2822	12890.5449	13135.4805	10429.0703	13193.9541	15842.9648	13051.4824	11709.0176	14189.9932	12902.1162	12660.1445	12990.3037	12688.999	16607.7422	16668.5859	11405.0586	12793.1992	13842.5029	14426.7256	17535.1289	14171.6426	14044.0029	14895.2754	12106.4453	17952.7422	11743.29	10971.0869	11420.0781	12641.5439	13751.8613	12727.3926	14427.5869	11238.9795
2.0013	14045.0986	14572.8799	15008.6631	12224.0771	16249.3359	13069.6943	10843.3408	15275.957	13997.2871	12402.0342	12779.5137	14994.3691	15747.957	12212.9639	12884.9473	11888.7441	12481.7832	12737.3389	16476.1172	12292.626	13628.918	11139.5283	13320.8457	14226.7285	15660.0186	12084.5186	14356.9053	13211.6045	16507.1406	12081.6426	12737.0986	12127.2568	13881.5713	11420.9902	15004.2109	12583.0684	14514.8916	13093.8213	12921.5859	13558.0029	16076.5107	11012.6025	12693.7822	10249.9805	14621.1006	12998.0811	13686.3818	14150.7744	17971.002	12222.8916	14578.3613	11826.2178	12245.6455	13223.3389	12713.8174	10230.7627	13512.1172	14904.6006	11722.7412	12246.5645	15195.7275	12370.5703	11907.3613	13658.5723	12017.874	16403.793	14622.417	12529.4863	11652.2783	13886.2451	14281.6367	17008.0664	12940.5254	13367.9395	15518.3975	11738.1143	15866.6094	11499.2305	11015.8975	11478.6123	12479.5215	13436.0654	13514.2266	13533.6416	11553.7549
2.1347	13933.4004	17108.6035	14519.2197	12279.3535	16120.2451	13428.3936	10621.7773	15581.6523	13794.6006	13032.1953	12881.1182	15902.7959	14644.7549	12271.5732	13671.1807	11842.9297	12314.8145	12019.127	16281.0771	12222.8887	12633.1152	11083.8594	13971.3682	12299.7695	15784.6387	11668.1787	13917.2832	12741.3916	13935.1182	11612.0176	11735.3984	11611.998	14314.792	12452.4609	15046.6006	12094.7119	13928.4951	12568.9062	11527.7168	13668.4268	13869.9922	11272.4053	12539.3613	10553.6807	14467.167	12186.5703	13458.5361	13918.3096	17131.0254	13132.7695	13787.585	11571.0488	11833.96	12039.9229	13122.0664	11149.4824	13868.2178	14124.5244	11861.085	NaN	14757.2021	11869.2842	12080.835	14066.5928	12067.0195	15650.1221	12769.6025	12731.3262	11692.5391	13638.3457	13077.002	16535.2266	12770.2559	13254.084	14218.7656	10967.6055	13912.0566	11847.4258	10982.1836	11496.875	13109.9258	13257.9707	13627.3174	13088.9043	11890.6465
2.2682	15060.6455	17430.1953	13817.6709	11706.9688	14998.0498	12323.8164	10562.4619	14696.4492	13566.6855	14159.1738	13130.7676	16287.002	14165.0645	11794.3857	13491.3984	11963.3057	12380.7588	11960.0947	16297.5928	12332.0264	11431.6826	11863.8496	12725.9561	11399.8975	15055.624	11613.8672	13438.5488	12312.583	12518.0332	11883.1475	12095.8682	11187.6494	14223.5195	12733.5615	15160.207	11301.6807	14103.5459	12493.9727	11124.2051	13859.0039	12738.623	12050.584	12020.3301	11241.9453	13729.1553	12573.7803	13047.4297	13099.1455	15815.5996	12257.0967	13439.0859	12372.7852	12218.5176	11887.627	12389.4209	10935.748	12758.2832	13075.3271	11460.6836	NaN	13488.8975	11639.2207	12692.8652	14138.0361	11259.6699	14486.2158	11666.3359	12596.6543	11863.5176	12650.5293	12778.2305	15258.3193	12583.4355	13583.5439	13785.0615	11449.0195	12829.4072	11432.8945	10822.2383	11001.5791	11969.0693	12547.6016	13697.5205	12051.0225	11672.1602
2.4016	14769.6191	14091.1855	12776.667	12097.8096	13413.3574	11403.4473	10432.3389	12968.6406	12851.4053	14778.9443	12088.9336	15411.2109	14806.4092	11606.5566	13074.0322	12178.0811	12307.9463	13062.835	14528.334	11426.6377	11153.7676	11761.6543	11578.8008	10848.1094	14591.1611	11900.9287	12096.1982	12204.249	12060.5645	11863.0566	12037.3447	11964.5781	13686.7998	13045.6641	13942.9404	11227.9463	13858.3008	12213.9932	11291.2734	12365.8379	11522.4541	12295.6543	11769.4268	11527.7324	13392.2588	12301.9443	12896.3027	13557.5166	13504.5879	12366.9111	13414.0586	12410.5459	12152.2451	13182.2412	11586.4629	10743.415	12599.5098	12612.3281	11657.4795	NaN	13358.6475	11630.75	11439.4014	13450.6699	11025.6621	13855.4346	11501.0645	12047.0908	11851.4561	13290.9902	13394.3506	13566.9111	12672.4062	13716.6113	14147.8633	12792.4219	12897.8535	11429.3428	10707.0732	10364.0225	12310.1416	11701.6924	13684.2178	11716.3359	12007.2256
2.535	13154.9863	13047.4189	12923.8467	12845.6855	12535.9883	10801.4189	10219.4316	12862.9561	13472.8145	NaN	12104.1318	NaN	14302.4092	11649.415	11753.4551	11627.8896	11869.7051	13926.748	12457.748	11357.5713	11114.96	12026.8682	11785.6172	11319.5996	13203.3389	11933.5752	12881.6104	12771.1797	12313.0273	11907.0264	12167.4961	11920.2197	12173.7354	12148.9473	14257.3486	11453.4424	12865.7939	12386.2441	10927.4141	12384.7451	11074.7178	11505.3008	11539.8711	11109.5322	13697.1426	12235.1465	13006.7715	12663.7744	12772.2188	11616.7598	13073.9971	11983.2236	12181.1475	12918.9082	11690.0654	11482.9092	11367.8213	12116.8271	12062.4043	NaN	13303.8945	11484.9199	11023.9414	14086.46	11422.7979	12637.2754	11376.0566	12309.6436	11929.9473	12761.4424	13036.0703	13068.4053	11282.2158	12183.2588	13561.124	11647.042	12365.9385	11424.2705	10759.7422	10495.0977	11764.9707	11355.5527	12886.1621	11667.8252	11619.0117
2.6684	13595.4463	12480.959	12367.3613	11954.8809	11635.5684	11322.0352	9919.3447	13046.8291	12843.0791	NaN	11271.6084	NaN	13404.4395	11866.3125	11360.2959	11800.7803	11958.8955	14417.2949	12293.5537	11809.6318	11237.0508	12236.3604	12062.6934	10860.7939	12462.6582	11793.3906	13272.0273	13664.8291	12061.1182	12020.1143	12664.6436	12117.6836	12105.2031	12039.3291	13565.0088	11264.5781	12247.6406	12809.3164	11269.9482	12615.0029	10807.7275	11502.7188	12378.2979	10663.2471	12998.8652	13075.665	12123.1191	12885.1357	12139.6904	11888.4131	13144.8311	12093.9922	11529.874	13141.5957	12242.9473	10978.623	11430.0547	12084.5293	11758.8125	NaN	13091.6982	11282.9277	11176.7559	13096.0566	11560.5352	12216.4707	11548.5596	11912.6904	12129.4873	12840.5518	12537.6758	13115.6689	11750.9248	NaN	12587.873	11105.4004	12751.9639	11249.8506	10854.2695	10930.1504	11917.6523	11442.1016	13145.1963	11710.1123	11302.7812
2.8019	12817.4131	11672.0449	12849.752	11753.4834	11376.0742	11008.1113	9968.627	13212.5049	12923.1426	NaN	11654.4326	NaN	13433.3721	12433.3828	11726.7324	12413.6689	11460.2012	14394.8428	12172.5918	12035.1699	11824.9033	11871.1738	11122.8594	11745.2139	12782.2744	12062.167	13711.4238	14355.4521	11845.3799	11645.3652	12233.3174	11728.9775	11954.1289	12011.4678	13008.9258	NaN	NaN	11539.5	10890.1221	14009.166	11127.6387	11309.8447	11369.1133	10257.9473	12954.6963	13420.5996	12974.1992	11824.8311	11990.3223	NaN	13145.998	11999.2822	11851.5566	12871.4717	12364.623	11478.2871	11839.249	11596.1279	11468.418	NaN	13282.6104	11728.5059	NaN	12292.9277	11283.2676	12775.2627	11718.8193	12437.834	12517.0254	12963.0439	NaN	12767.8936	11923.1572	NaN	12757.2256	NaN	11992.8662	11514.6914	11278.7539	11775.084	12663.1328	11582.1475	11752.6514	11544.3984	11796.7344
