x	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_14_10g	Y_20181208_15693_14_8g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_20_2g	Y_20181208_15693_5_10g	Y_20181208_15693_7_3g	Y_20181208_15693_8_6g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_15g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_9_13g
1.3342	15687.5234	13935.7363	10557.6328	12738.5303	11036.6045	12212.2383	12089.6455	15661.3193	10952.1582	13886.3848	17748.084	16435.4043	14433.4082	13274.2559	11908.5801	12330.6641	10239.1357	15857.0566	13096.4307	12860.0605	12070.7002	10649.9834	11193.7373	11505.1416	13007.5918	12556.7295	14297.2461	14767.8164	14389.3643	12783.4678	15208.0479	13088.5146	12147.8994	11420.8242	16301.0664
1.4676	16201.8486	13586.6357	11181.04	12824.4268	11105.8516	12256.5195	11919.3379	15135.8516	11105.9502	12906.2744	18123.6016	17711.0254	13245.8115	11645.9443	11715.3086	12557.5146	11121.9482	16224.5078	13677.2061	13167.3701	12665.2842	10924.6172	11447.7471	11888.4805	12656.8213	13627.7344	13034.2842	14601.6924	13504.5586	13645.3057	15000.543	12091.1484	12374.5459	11613.1709	16110.873
1.6011	16488.7305	13510.3701	11617.5547	14156.1367	10751.2422	11852.0693	11923.583	15389.1221	10736.4023	12698.666	16550.6758	18752.25	12646.0986	11393.0947	11478.6436	11793.4893	10671.9395	14963.6074	12898.499	13313.7295	12128.0508	11295.1875	10339.1055	11381.8613	12906.4365	14885.9473	12142.8535	13384.8174	13262.9609	14925.0264	14232.4326	12435.4609	12774.7363	11401.3223	15867.3281
1.7345	16028.4229	13883.5146	11628.9121	14109.9961	11314.6934	10737.6562	11946.3252	14669.5859	11280.5264	11640.3887	14824.2393	17211.2129	11918.708	11177.6514	11232.4912	11143.0391	10417.8359	13973.5186	12644.3604	13282.5752	12184.0273	12098.7861	10664.4297	10769.8281	13373.1875	14104.4922	11357.2598	13282.5762	12410.9316	13812.1455	12966.5449	12637.4814	13357.9414	11430.1748	15143.7051
1.8679	14261.3594	12711.5508	10953.5283	13260.0391	10890.7529	11266.1436	12254.4648	14108.0088	11370.8066	11316.3779	13583.5889	15943.0576	12099.8135	11053.3066	11099.6787	10926.0459	10402.1113	12107.8779	12183.3213	12867.9092	12545.7441	12402.6846	11088.4961	10713.208	13872.6045	13840.1348	11356.0088	13377.2705	12379.2275	13143.7725	12578.501	12922.7783	12611.7363	11453.2168	13502.2881
2.0013	14148.5117	12408.752	10371.6797	12422.5801	11199.4443	11435.6533	12026.7627	13805.7861	11116.7451	10990.335	13837.9863	14735.6475	12129.4521	11129.3838	10563.5459	11071.1084	11181.9727	11968.4307	12241.1641	12788.9736	12726.0596	12184.7998	10942.2139	10912.9854	12735.624	13226.21	11165.2432	13150.5166	11941.7686	13319.124	11769.5449	12517.1074	12334.001	11099.959	12865.1592
2.1347	13592.8682	12405.2158	10556.9121	12650.5967	11295.5977	11482.6709	NaN	13038.0312	10876.2539	11052.79	13137.4658	13548.9453	12215.0166	11454.375	10589.416	11485	11283.7744	11951.874	12013.8418	12513.3652	12027.3574	11861.3389	11208.4385	11082.3281	12869.9658	12301.1836	11140.3115	13666.3955	11883.4453	13672.2764	11196.373	12664.8457	12524.5459	10534.498	12163.585
2.2682	13245.666	12460.4424	10830.4424	12893.5645	11345.0117	11785.3926	NaN	12272.7275	11774.0127	11294.8057	12618.4395	12520.0762	NaN	11143.874	10522.2188	10649.4121	10823.1465	11866.1182	12895.9434	11919.7412	11999.5439	11788.4941	10879.7373	10230.6895	12829.2549	12361.1387	10899.4277	13179.1494	11680.8672	12530.9121	11374.3164	12907.6582	12357.9883	10253.6963	12066.1504
2.4016	13485.8184	11706.1172	10548.4121	12818.5898	11356.1611	NaN	NaN	11383.5273	12002.8486	12256.6807	12150.749	12100.5879	NaN	12022.7979	10137.2598	10535.8096	10578.9941	11579.0771	11990.2998	NaN	11509.0908	11857.7617	10296.2793	10476.1836	13131.7334	12278.6094	10910.2178	NaN	11578.623	12599.8271	11078.9336	13631.957	11925.7686	10659.5049	12229.5391
2.535	13195.4072	11753.2393	NaN	12001.8535	11987.7451	NaN	NaN	11766.8936	12529.7393	12356.3818	12021.2432	12363.7637	NaN	11225.0635	NaN	10716.0576	11020.6104	12239.2393	11369.9902	NaN	NaN	12201.2188	10724.5586	11040.3789	13174.7734	12161.6367	12001.5977	NaN	11159.501	12760.1387	10984.9678	12879.7188	11910.3291	10692.4902	11125.6172
2.6684	NaN	11652.7881	NaN	NaN	12000.6719	NaN	NaN	11488.8857	13148.3389	11993.9492	12477.9268	12843.0176	NaN	11400.8896	NaN	11149.2393	11400.9268	11882.709	11384.752	NaN	NaN	11188.5352	NaN	NaN	12974.7021	NaN	11560.1855	NaN	10801.4795	NaN	11037.168	13243.2891	NaN	10208.3447	10547.6758
2.8019	NaN	NaN	NaN	NaN	11106.9863	NaN	NaN	10602.8877	12750.8896	NaN	12288.498	12278.1934	NaN	NaN	NaN	11119.2471	NaN	NaN	11527.2803	NaN	NaN	11792.2344	NaN	NaN	NaN	NaN	11567.9893	NaN	10844.04	NaN	10681.6787	NaN	NaN	NaN	10935.7734
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11341.1777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10400.4697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11531.2402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10956.7373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11065.4639	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11416.8145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
