x	Y_20180224_15100_10_3g	Y_20180224_15100_12_2g	Y_20180224_15100_12_8g	Y_20180224_15100_15_2g	Y_20180224_15100_15_3g	Y_20180224_15100_16_4g	Y_20180224_15100_16_6g	Y_20180224_15100_17_1g	Y_20180224_15100_21_10g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_28_7g	Y_20180224_15100_29_7g	Y_20180224_15100_2_1g	Y_20180224_15100_2_9g	Y_20180224_15100_30_1g	Y_20180224_15100_30_2g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_4_5g	Y_20180224_15100_6_3g	Y_20180224_15100_6_6g	Y_20180224_15100_6_7g	Y_20180224_15100_6_8g	Y_20180224_15100_7_11g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
1.3342	48513.332	74344.391	53494.023	38712.141	78274.289	60124.672	49405.887	53719.121	52418.016	59042.148	56462.66	54566.32	38078.262	48622.16	37742.281	46419.559	59553.148	55050.289	46091.883	43097.211	56772.781	70331.906	42409.461	42183.137	59622.914	38534.609	48816.918	46314.684	53402.301	47196.133	48434.137
1.4676	60360.434	94235.016	64323.527	41823.531	62026.543	63249.98	56981.625	55432.75	65252.562	69594.773	65925.5	52898.289	43314.812	41571.047	44417.148	40337.66	48932.453	46911.977	46010.996	50948.309	56084.75	80527.586	44101.895	46569.984	74793.586	38106.754	52402.684	53358.414	44053.801	59155.406	63146.008
1.6011	72884.141	86383.445	61653.617	47604.637	47426.98	60371.184	62840.922	45241.383	68763.359	66322.641	61087.727	NaN	53073.926	38026.496	52809.277	38319.434	43954.676	43434.07	41193.922	66696.93	49746.82	73651.648	50710.395	61802.168	75373.211	NaN	49181.453	61291.938	42241	62410.855	104007.375
1.7345	67914.594	74473.148	49175.23	51201.266	42332.75	NaN	58379.258	38665.922	60038.824	51508.297	50031.277	NaN	56034.719	NaN	52596.352	NaN	NaN	NaN	40789.934	78198.32	47036.051	54617.941	54666.863	68612.07	57931.738	NaN	46516.594	64004.812	NaN	53957.148	142858.891
1.8679	61346.828	85694.977	42135.848	46566.688	38867.73	NaN	53007.102	33216.438	49322.812	42846.512	42494.359	NaN	47028.016	NaN	44029.473	NaN	NaN	NaN	NaN	68310.883	NaN	45113.461	50765.426	59088.652	45906.645	NaN	45225.098	56019.918	NaN	50363.672	134936.688
2.0013	69176.422	NaN	39934.859	40897.168	39694.285	NaN	52353.672	33770.055	42649.465	41112.129	41572.723	NaN	39309.824	NaN	38382.887	NaN	NaN	NaN	NaN	51311.469	NaN	41448.52	44436.191	47607.379	43364.031	NaN	NaN	46632.617	NaN	NaN	82841.789
2.1348	NaN	NaN	39409.535	37860.484	NaN	NaN	NaN	NaN	NaN	39432.34	NaN	NaN	35361.336	NaN	34846.465	NaN	NaN	NaN	NaN	44808.586	NaN	39184.695	43921.055	42690.602	NaN	NaN	NaN	40524.691	NaN	NaN	56787.539
2.2682	NaN	NaN	NaN	36834.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42152.793	NaN	NaN	NaN	40644.934	NaN	NaN	NaN	NaN	NaN	NaN	49297.488
2.4016	NaN	NaN	NaN	37176.902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
