x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_12g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_4g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_33_14g	Y_20181208_15692_33_1g	Y_20181208_15692_34_2g	Y_20181208_15692_34_5g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_37_20g	Y_20181208_15692_37_4g	Y_20181208_15692_37_8g	Y_20181208_15692_38_13g	Y_20181208_15692_38_17g	Y_20181208_15692_38_18g	Y_20181208_15692_38_2g	Y_20181208_15692_39_21g	Y_20181208_15692_39_3g	Y_20181208_15692_40_11g	Y_20181208_15692_40_14g	Y_20181208_15692_40_16g	Y_20181208_15692_40_3g	Y_20181208_15692_40_4g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_15g	Y_20181208_15692_41_16g	Y_20181208_15692_41_17g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_16g	Y_20181208_15692_43_8g	Y_20181208_15692_43_9g	Y_20181208_15692_44_10g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_44_4g	Y_20181208_15692_44_6g	Y_20181208_15692_45_11g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_45_7g	Y_20181208_15692_46_16g	Y_20181208_15692_46_18g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_21g	Y_20181208_15692_46_22g	Y_20181208_15692_46_2g	Y_20181208_15692_46_3g	Y_20181208_15692_47_1g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_3g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_1g	Y_20181208_15692_7_5g	Y_20181208_15692_7_9g	Y_20181208_15692_8_1g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
1.3342	13972.5752	13366.5234	13418.5986	15289.6924	11620.0996	13732.9883	14756.8057	12732.8848	14078.8311	12118.0322	10770.542	17034.209	12224.8838	12536.7197	13391.6465	10970.2764	11987.9248	13473.6113	13634.2285	12514.4688	12658.5332	15245.3008	14692.7939	11667.4639	12595.9072	15481.7334	10098.9189	11405.874	13178.3574	14106.7812	13040.6338	13180.7617	13711.0234	12477.3252	16021.5439	15005.4795	11212.8271	12006.0908	13202.6924	16447.0391	12340.7734	12033.1045	12227.0596	15583.1416	15659.2188	13132.8975	14707.3389	13237.6299	12921.1426	14717.4365	11770.3877	14407.5098	14096.7852	13538.4795	12782.29	12026.3291	11284.9258	12491.0762	14151.46	12071.9492	15267.2461	13161.5244	14589.96	15638.9951	14333.3242	13878.2324	14799.7949	12885.6484	15545.8594	14865.3838	12453.5928	12342.374	12316.2998	18811.9082	14949.585	12056.4189	12695.6982	16950.916	13296.3369	12426.8994	15427.584	14189.8457	15913.4922	13555.667	12069.7764	14731.0078	15343.043	12930.2861	15772.9561	13065.8574	14956.2646	16474.0117	14678.5508	12990.4492	15058.9131	14910.2383	11812.7754	17247.9922	11927.8262	12815.4424	14182.1621	14969.9424	14141.4971	13324.5547	14988.7949	11153.7266	13238.4102	11918.4316	12161.4072	13455.8604	15131.6641
1.4676	13772.0986	13297.1221	13034.3418	14686.6992	11575.583	13577.168	15353.2529	12799.3594	13418.6045	12118.6211	10936.9092	16784.7695	12494.959	11866.9492	13636.5664	10835.3115	12142.8594	13380.3242	14473.4805	12810.9629	12498.7197	15119.8887	16877.4668	12014.6104	12503.7549	14556.9443	10522.5947	12368.2607	13172.8848	13782.0713	13126.9854	12874.7764	14024.0889	12464.499	13926.9629	15492.2607	11333.8525	12524.501	12788.1074	15853.0205	11833.4561	12226.8291	12531.3789	13970.9404	16052.7451	12787.8906	15012.8447	13183.2217	13376.1064	12895.9805	11985.8545	14089.583	14427.333	13234.7158	13656.2676	11989.1572	12136.5781	13327.0566	14919.5684	11116.1494	16433.2246	13158.8008	15125.6484	13369.3281	14368.6523	13399.3467	14456.9346	13272.1973	15235.6855	13988.1025	12909.292	13723.3623	12441.0586	19686	14956.8057	11081.1328	12730.3252	18231.6387	12434.1396	12974.8467	16942.2305	14156.4043	14800.126	12398.3164	11085.248	13851.3574	14361.4658	12703.0869	14964.4424	13808.4912	13885.4551	17218.0039	14182.8555	12904.7705	15000.0732	14690.0088	11468.2656	17857.1016	11385.7695	13127.1289	13712.9873	14320.0889	14361.5312	12625.96	15008.2002	11647.1709	13221.6816	12310.8965	11343.9844	14303.4805	14462.9736
1.6011	13950.1768	13253.1904	13511.5566	14493.6924	11216.3096	14264.0391	14613.5088	13076.5957	13847.4727	12391.5693	12035.7627	16464.5625	13247.0029	12274.5986	14596.7969	11473.3838	11506.8857	12701.3438	15210.1006	12936.6758	12772.0371	14557.0186	15944.0498	12221.2998	12834.1553	13682.8711	10742.2158	12670.0449	13356.0342	12986.1543	13088.6094	13054.1367	14891.7441	13281.4346	15202.4141	14526.8408	10716.8398	11576.4365	13318.6504	17538.3281	12152.3828	14156.1494	12756.251	13775.4229	15178.0127	12954.2383	14805.9492	12550.79	12928.4336	12262.3896	11754.9473	14307.9219	13174.0889	12329.5293	14109.0156	12219.6475	11503.9736	13860.626	13512.0137	10976.0801	15941.5977	12663.3477	14914.46	12921.3525	14800.2373	12757.7373	14674.8438	13132.3701	14250.8447	14373.8008	13284.751	13353.2666	12785.668	18728.4688	14823.3164	10737.8193	13640.8936	17343.2637	12021.3613	14313.7178	17546.291	13986.8076	14411.5566	11532.4004	10439.1299	12863.5859	13108.3369	13405.9375	14577.3008	14595.9766	13863.666	17066.0723	15453.874	13304.916	14500.9268	13280.0557	11077.3994	16442.1797	11604.5654	14210.2695	13393.9717	13826.3584	14344.9414	12222.3115	14771.0352	13172.0723	12799.043	12417.0322	11884.251	14889.1113	14389.9434
1.7345	14147.0479	12790.96	13715.5215	15287.3721	11293.7734	14279.5088	14355.4277	13457.168	14296.9453	12850.6074	12315.0479	15201.1943	12319.2275	12251.7363	14599.9756	11508.292	11858.8047	12217.8545	15448.667	13663.2334	13374.7305	14710.9121	15598.3486	13138.2275	12034.5566	13591.2988	11533.3477	12978.541	13374.5146	11590.085	13396.5176	12368.9004	15249.4746	13357.4434	14427.627	13728.2598	10810.3369	11064.8672	12462.5645	18277.5176	12788.1172	14641.8281	11958.1934	12632.2295	14688.8838	12899.6992	15578.2646	12762.79	12151.9053	11707.3027	12363.7461	12769.7344	12747.6865	12182.0244	14953.1143	12817.2803	11374.2207	13591.623	12374.5283	10549.3389	14241.8301	12272.0225	14379.4268	12787.3779	14193.707	12883.3936	14967.1982	13848.7529	13538.793	13829.624	13587.6328	12416.9824	12857.6338	17714.3379	13974.2021	11097.3047	13212.6846	15573.4766	11658.3115	14716.7588	18000.7988	13554.2217	13793.9541	11565.2461	9887.2666	12748.3818	12328.8574	12153.209	15158.1865	14591.0791	13258.0146	16521.1758	16639.0117	13282.5137	14184.5918	12822.4697	11649.0703	15795.6875	11705.6807	14572.9834	12556.6211	13295.625	16121.3701	11919.6631	14410.5381	12510.4912	12400.0293	11533.2002	11797.3818	14390.4219	15158.2422
1.8679	13748.5547	12433.6465	13041.4873	14782.1084	11316.1309	15678.0996	14520.2461	13462.1719	14624.5127	12941.0547	12664.9717	14011.1553	11992.6758	11213.6387	14089.6523	12267.1641	11807.1328	12413.6035	15013.8555	13464.7969	13072.3896	12661.4961	14791.4189	12315.6455	11481.4355	13500.0977	10958.5527	12562.3857	13561.6963	11620.6064	14116.8242	11856.5508	15245.1895	14407.6533	15089.1797	12528.1143	12104.3604	10429.502	11849.2373	16836.4316	12431.0586	13232.8311	12007.6807	12302.7197	12889.1855	12362.4424	14864.4932	12871.835	12487.9268	11415.8896	12474.209	12757.8848	13622.5312	11665.5684	14488.1006	12806.0957	11513.5762	13790.3789	11391.7705	10863.4492	14000.7607	13401.792	14033.0635	13038.2939	14170.7666	13333.29	15677.457	13520.5117	12687.6025	13920.7021	13530.8379	12486.9824	14121.5527	17590.582	13498.2207	11217.877	12493.7725	14192.7275	11565.3398	15443.0557	17648.5977	13773.9385	13877.0977	10905.8086	9734.6641	12251.2197	12547.8447	11726.0264	15751.6709	14139.1699	12234.2549	16234.2764	16471.5488	13037.374	13758.4795	12776.4033	12055.4014	13873.9688	11788.0166	13917.7754	12720.0029	13150.7129	15442.1992	12750.1963	14433.3223	12526.875	12595.9229	11935.1543	11680.5234	12918.333	14306.6611
2.0013	12633.3086	11863.6201	12410.4902	14321.3828	10998.2168	15214.2666	15437.1357	13699.1416	14136.8799	11988.3701	14042.5625	13212.6182	11665.8232	11501.2412	13642.9863	12611.6113	11374.5508	13218.832	14615.2412	13708.0752	12479.8311	12031.4746	13622.8584	12648.5273	12225.0625	12856.1699	11601.4404	11998.8936	13873.3555	11126.4473	13742.002	10575.208	15396.9961	13464.4434	14344.9932	12026.9502	11953.707	9703.6367	12253.8184	16310.9443	12650.0225	12936.21	12167.1299	12027.0879	11712.6953	12509.1602	14793.3467	12378.7686	12644.6289	10925.6885	12810.001	13210.5693	13422.5488	12237.4902	14056.8955	13064.1699	11634.2842	13464.5068	11152.2822	10577.3486	14683.6738	13317.8428	13236.6846	13753.7197	13694.041	12778.3057	14475.7109	13357.4648	12520.2432	14599.8555	12783.5439	12923.1592	15038.9111	16763.2383	13494.6719	11673.9561	12236.0391	13589.7578	11246.7949	14308.4014	16225.293	13003.6992	13206.0068	10764.623	10410.4365	12289.1465	11697.54	12004.9277	13863.0166	14323.7178	13338.2109	14857.1641	16214.6797	12281.6621	13305.0459	12975.125	11097.7461	13597.3604	12647.7168	13913.832	12450.9951	12460.7939	14877.8838	12761.8623	13652.9395	11622.9277	13514.8047	13006.7812	11415.0596	12747.8145	14792.4424
2.1347	12824.6855	11603.668	12008.2979	13752.0547	10710.1777	16452.7734	14386.6494	12429.8916	14045.3652	11641.8789	15257.9375	11865.4277	12101.0596	11628.6865	13344.6025	12272.8457	11778.502	13944.5898	13754.3115	14029.4297	11695.5771	12035.4863	13416.2109	12228.7432	12919.7852	13097.5771	11832.875	11674.1182	12889.8096	11254.2051	13104.2695	10869.3799	14471.9463	13193.7285	14764.666	12193.4092	11645.0908	9991.082	11958.7871	15837.0518	12340.2773	13584.0059	11831.2979	11778.1943	12090.4297	12105.2861	14652.7012	12000.0332	12228.4648	11098.7451	12531.7129	12975.8535	12959.1943	12748.2939	12754.8633	12106.7744	11518.8486	12113.0547	11655.0537	10753.7686	13677.1182	14031.3496	12038.8232	13505.0703	13184.4355	12760.5215	12931.4785	13316.208	12114.6133	13075.9824	12890.3271	12674.2256	13249.9688	14493.2246	13877.6855	11952.0996	11347.083	12286.4619	11778.2734	12607.7578	14761.0469	13347.042	12437.2578	10290.5537	10611.4863	12274.3506	11492.6699	12438.1738	12701.9717	13886.791	12818.0645	13950.6572	15526.8027	12854.1133	13339.3496	11977.9121	10608.0156	12796.1465	12679.2969	14160.7139	12326.2432	11753.2266	14521.2168	12748.1963	12645.9062	11358.9082	13418.8857	12915.0254	11220.917	12886.0322	13910.1045
2.2682	13071.082	11536.3633	11672.8203	13181.1328	10680.9229	15347.2588	14182.3037	11840.4609	13251.167	11890.7549	14438.7852	11356.7686	11243.9453	11242.5625	13388.4619	12968.752	12462.8906	12832.6182	13559.916	NaN	12024.9404	11988.3584	13208.7422	12680.0195	13999.8525	12015.5996	11549.8135	10811.2217	13166.0537	10958.0957	12247.5654	11474.2627	14114.1504	12792.6191	14112.2744	11480.5283	11109.4297	9981.9697	11995.6855	15836.0469	12727.8115	11923.3496	12102.9834	12117.4238	11678.9004	12408.6553	14457.7324	11358.3848	12583.9336	11118.7246	12220.7695	11917.4531	13059.627	12467.4658	12262.3428	12059.708	11362.125	12208.0322	11717.3389	11017.9082	13352.3906	13722.2148	12904.667	13185.9297	12681.3184	11523.9141	12581.8936	12319.9814	11700.1289	12599.916	12880.9961	12173.4775	13343.7402	13478.7871	13043.2266	NaN	10721.002	12229.0908	11915.5459	11653.4297	13591.7803	13162.8906	12298.6777	11263.2227	11034.8682	13340.0938	11399.2021	11991.7695	11814.2188	13172.9297	12953.1553	12271.5459	14908.8887	13162.0645	13092.9951	11648.6973	10566.0693	12460.1475	13527.7617	14140.5967	12056.1279	11705.0166	14545.2578	12567.8623	12236.1826	10939.5938	NaN	12754.6689	10953.3115	12586.5752	13861.5693
2.4016	12839.8594	11876.5615	11549.2695	13411.8076	11140.8047	15107.7002	13436.2783	11584.4922	12249.1143	11670.332	13149.6484	10943.4004	10917.6367	12497.543	13891.8643	13503.6709	11638.7988	11870.751	13146.1641	NaN	12269.5459	11642.8965	12599.9463	12574.4033	14826.9863	11604.7295	11757.0332	11707.3174	13641.8018	10787.71	11592.4736	10520.7139	13167.5781	12252.335	14306.6953	11641.1504	11129.2959	NaN	11833.2764	14229.8867	12592.7168	12189.418	12433.3369	12463.8535	12029.8486	13019.6787	14699.6582	11221.3633	NaN	11000.7393	12685.0469	12269.2432	12471.8184	11763.9863	11769.5479	12513.873	11707.5029	12727.7256	11376.8398	11097.6514	12838.7705	13299.5586	13317.5771	13081.7021	12751.2207	12154.1875	12543.8896	11991.8223	11448.5527	12513.6953	13009.125	11187.5625	12807.5342	13493.2402	13080.791	NaN	10737.4453	12568.8867	12096.6689	11239.9883	13069.0479	13629.1191	12159.5811	12144.5283	11081.0537	NaN	11101.4434	11844.9414	11873.9922	13552.4365	13499.3184	12188.3555	13745.4453	13233.7207	13787.248	11644.0986	11509.0107	12305.6074	13638.376	13499.3594	12004.8027	11490.0195	13849.2959	12240.1562	11804.0762	10900.7773	NaN	13132.3311	11188.873	11834.3418	12759.0742
2.535	12976.2627	11577.2402	11345.5635	13020.623	NaN	NaN	12475.2422	11774.0078	10993.8828	12046.1055	13659.4248	11179.8613	11958.9092	NaN	14063.5127	14378.0762	11313.502	11609.6885	13551.1221	NaN	11741.6797	11920.4736	12613.2256	12458.7705	14021.1719	12202.8301	11729.1406	11222.8711	13258.2188	11211.5605	11714.4434	11708.1055	12833.2637	12863.2119	14167.9395	11375.4121	11409.873	NaN	11847.4336	14215.7793	12876.4355	12394.21	12660.6289	12525.7129	11732.3535	12279.4219	13594.4355	10684.1992	NaN	10941.5352	12699.6377	12357.1641	12326.1875	11941.0801	11116.4932	12445.9883	11722.4775	12786.7178	11539.3623	10517.251	12262.0469	12330.6885	12640.3838	12286.4805	12523.9795	13051.2119	12690.1885	12257.0107	11278.6787	12557.167	12538.5127	10765.1055	12884.5879	13121.4922	NaN	NaN	10765.8379	12170.457	12387.4072	11699.7617	13000.7695	12422.0586	12091.4814	NaN	NaN	NaN	10641.4014	12090.8604	12231.374	NaN	12458.4336	11865.1035	12988.7676	13589.4561	13743.2178	11795.5557	11279.248	11356.8535	14161.7422	NaN	NaN	11715.3584	13029.3994	11610.7529	11600.2148	11003.0996	NaN	14076.3799	11112.3555	12650.6006	12717.498
2.6684	NaN	10690.9414	NaN	13164.6465	NaN	NaN	13064.6289	11908.2578	10562.4004	12211.6123	13654.6514	12312.0176	12190.9199	NaN	NaN	15296.5674	12152.1143	12081.6211	13318.2832	NaN	11691.9873	11773.7422	12803.4199	NaN	12527.5459	12491.6934	11597.9062	NaN	12815.7812	11330.6162	12049.4248	NaN	12815.4736	12369.0889	13202.4111	12065.6162	NaN	NaN	11307.3936	14106.4141	NaN	12127.8291	12794.5117	12561.4443	12001.4873	NaN	12559.1895	11152.8359	NaN	11225.0752	12332.4062	12087.3291	12023.6074	12584.2227	11019.3691	11283.1475	12006.1152	11954.2002	NaN	NaN	11526.5732	11976.502	13473.3682	NaN	12328.4697	13435.8252	11962.8193	12263.0957	NaN	11482.1875	12205.915	11623.4639	13418.9521	13495.5645	NaN	NaN	11477.5996	NaN	NaN	11999.2227	13910.6543	13219.25	12285.416	NaN	NaN	NaN	10665.04	12441.5967	11501.0176	NaN	11920.9531	11767.1201	13569.0361	NaN	13065.4775	12631.9854	11078.9209	11243.3662	13086.332	NaN	NaN	12019.7256	13003.4717	11865.6133	11918.1094	11201.9834	NaN	13203.8027	11424.9443	11998.0615	12238.1289
2.8019	NaN	NaN	NaN	13883.0088	NaN	NaN	12417.2461	NaN	10365.7041	NaN	NaN	11696.0859	NaN	NaN	NaN	NaN	13070.1504	11628.7998	13024.5879	NaN	11550.4111	10955.5947	12612.9668	NaN	12020.5273	NaN	11253.8818	NaN	12409.4727	NaN	12389.2812	NaN	13090.4795	12804.625	14195.0293	12679.7588	NaN	NaN	11158.1182	12671.1562	NaN	12592.5117	NaN	12529.9141	11426.6953	NaN	12477.8193	10881.8857	NaN	11121.3496	11916.5996	12354.1924	11963.9658	NaN	NaN	11797.999	12029.9336	12706.876	NaN	NaN	11894.5791	12628.2666	NaN	NaN	11918.6709	12942.2451	NaN	11554.1982	NaN	11688.5254	12653.0381	11255.6797	NaN	12669.5889	NaN	NaN	NaN	NaN	NaN	11206.6025	13907.4883	12562.9756	NaN	NaN	NaN	NaN	10774.6367	12866.4092	11593.1904	NaN	NaN	11577.0537	12631.2148	NaN	13125.3027	NaN	10761.2285	11407.7119	12732.4287	NaN	NaN	11784.2988	NaN	11851.2373	NaN	NaN	NaN	NaN	11093.8711	11776.7402	12098.458
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	11837.4932	NaN	10323.8408	NaN	NaN	13155	NaN	NaN	NaN	NaN	13781.1797	NaN	NaN	NaN	11056.1787	11438.9043	12367.7412	NaN	NaN	NaN	11630.5449	NaN	12644.4727	NaN	NaN	NaN	13261.335	NaN	13962.1201	12120.0186	NaN	NaN	NaN	11409.208	NaN	NaN	NaN	12433.5801	11923.4844	NaN	12787.3828	11324.5596	NaN	NaN	NaN	12602.8057	11851.7998	NaN	NaN	NaN	NaN	12485.998	NaN	NaN	12147.4023	NaN	NaN	NaN	11224.1445	12785.1855	NaN	NaN	NaN	12191.9932	12201.3086	NaN	NaN	12891.7373	NaN	NaN	NaN	NaN	NaN	NaN	13839.2891	12206.4131	NaN	NaN	NaN	NaN	10471.0527	NaN	NaN	NaN	NaN	11186.748	13006.5654	NaN	13084.1836	NaN	NaN	NaN	NaN	NaN	NaN	11727.0527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11808.1338
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	11526.6084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12454.1162	NaN	NaN	NaN	NaN	NaN	12130.8652	NaN	NaN	NaN	12731.2227	NaN	14186.0137	12123.1934	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13126.4775	12526.1143	NaN	12286.7871	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12313.1045	NaN	NaN	NaN	11198.1338	12814.5596	NaN	NaN	NaN	11720.6338	12745.5176	NaN	NaN	12848.8076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10947.5557	13989.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12826.9727
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12335.7256	NaN	NaN	NaN	NaN	NaN	12308.0176	NaN	NaN	NaN	NaN	NaN	13151.8584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12518.4707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12416.4268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13207.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12547.7275
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13459.5967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12534.8506
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12710.4824
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
