x	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_7g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_23_3g	Y_20181208_15100_4_1g	Y_20181208_15100_5_14g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_8_2g	Y_20181208_15100b_1_2g	Y_20181208_15100b_1_7g	Y_20181208_15100b_12_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_14_9g	Y_20181208_15100b_15_1g	Y_20181208_15100b_15_7g	Y_20181208_15100b_17_11g	Y_20181208_15100b_22_14g	Y_20181208_15100b_22_15g	Y_20181208_15100b_22_2g	Y_20181208_15100b_24_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_27_6g	Y_20181208_15100b_29_1g	Y_20181208_15100b_29_4g	Y_20181208_15100b_30_2g	Y_20181208_15100b_4_6g
1.3342	30753.5488	30436.2168	30508.2773	30373.4102	27187.9434	30988.875	31770.7539	28831.543	28545.6113	32072.8145	31157.5254	32031.6094	28727.8379	29431.2832	30398.9766	32531.6348	32358.2578	25457.4609	28452.5488	31064.4922	25521.7129	27139.2676	30180.9043	27999.377	34044.6562	31631.7168	28961.9551	29591.873	31490.918	28357.9746	31013.5859	30900.0586	28091.75	26900.1621
1.4676	30811.7637	32614.1074	31542.4277	30845.6992	27434.1484	32432.1426	31745.1191	29909.0078	28576.3828	29323.8945	31138.168	32011.5078	29178.3867	29424.5195	31124.3301	31797.8457	31566.2949	26172.1172	29126.4961	32009.8828	25876.7168	26664.793	31278.6875	28557.3398	34392.4141	32158.9375	28022.0801	29498.7598	31796.3477	28749.252	30484	31979.418	28295.9199	25793.3926
1.6011	31777.1426	31405.8789	30524.3633	30572.6016	26614.002	32990.3281	33022.0352	30737.5332	27345.5098	31106.3477	31327.3359	31523.6309	27246.6113	29405.1055	31744.2461	31341.8184	30510.8535	26003.5234	28083.0469	30025.9902	24931.9082	26056.8906	31335.9336	28431.1953	33084.3047	31961.3086	28635.8789	30142.25	31322.8418	28681.6035	30009.4648	30209.3027	27935.8809	25397.4023
1.7345	33164.1016	30220.8184	30703.3359	30410.5098	26324.7266	31595.377	32431.3828	31002.1934	27372.3867	29928.0098	30990.291	31529.4727	29209.0781	29713.4316	31425.4688	31138.9766	31599.6816	26365.2539	28012.0078	29625.4531	25180.4316	25686.9766	31009.8359	29295.3555	32174.3555	32233.9648	29469.957	30069.4414	30766.6816	29390.1699	31122.3535	32269.0723	28360.7051	28074.8633
1.8679	32612.4688	31438.2285	32965.2578	30105.6758	26285	29939.4121	32693.3867	32218.9277	27301.2812	28836.3594	30835.6035	32871.7383	28348.9668	29429.7422	31687.1816	31162.5801	32459.0664	26317.0488	28943.2461	29590.6016	26266.7598	26213.5254	30993.1992	28126.5566	31948.7129	32551.9766	29272.7539	29432.8086	30905.166	27716.3477	32106.8027	32879.9531	29195.9004	27304.6836
2.0013	32023.1074	31549.4746	31995.7344	30544.6816	26828.6406	31116.666	33512.457	31815.0293	27859.4199	29763.2969	31076.8457	33328.9609	28761.1387	28252.6172	32377.4883	32239.0176	32235.9863	25891.0059	29205.5625	28882.3359	25414.752	25898.2227	30715.6855	28817.918	30714.6152	32622.959	30146.1367	29462.7969	31655.4062	27575.9277	33872.2148	31711.9531	29672.1562	27468.5703
2.1347	34541.5117	30512.9141	31978.0996	32450.4082	25832.5742	30436.1074	32096.9785	32853.9375	28150.377	30384.5664	30264.0078	33729.418	29954.3027	29928.3594	32450.668	32951.2188	32725.0605	26601.1133	28401.0547	29435.9238	26459.1758	26277.7852	30547.002	28967.3301	29800.2324	33742.0234	30497.793	28994.9453	33800.8672	28476.8613	36340.8203	32881.0391	30907.9961	29764.9648
2.2682	33071.9766	31202.25	33540.4922	32067.0117	28140.877	30984.1875	31705.1914	33630.2734	30866.9473	31354.4961	32376.584	35110.7031	31247.0176	29509.0156	33240.5703	34651.75	33553.0078	28088.5469	28208.3711	29061.4316	27156.0449	26396.2227	31647.0059	30251.0645	31094.1191	35445.5234	33630.5156	30698.9941	34551.6172	29219.6465	46216.6562	31587.8848	35796.7539	33051.0117
2.4016	33867.4375	30858.4961	36693.3984	32454.752	27945.9453	31900.4707	32500.1855	35008.1094	34057.5234	32169.0898	31389.877	41213.3516	31988.166	30969.8828	33993.5391	34164.1328	34618.457	27391.918	30013.2383	30592.1152	30990.8945	28177.2402	32571.2305	32568.5312	33492.125	36587.6211	38090.6094	33159.8281	35883.4531	31878.2559	70818.5938	34447.25	45400.9102	44499.957
2.535	33807.1758	32098.8691	41260.0234	33851.2031	28751.1328	31291.6113	32736.5332	37502.4336	35531.7188	33967.1484	31428.8887	52423.8242	36511.4102	33070.7734	38593.5391	37573.2773	37113.8086	28753.4863	32835.3906	29985.0312	37137.5469	29949.4746	35510.582	35361.4531	33799	39004.6953	49222.6836	36469.3867	43538.4805	34208.3828	115116.4688	39204.0547	65610.2188	63001.0586
2.6684	37699.5898	33419.1523	54402.9883	36484.0859	32846.6133	34141.7227	34184.1562	42169.6055	45415.8789	41032.0781	35180.1445	80444.7422	44345.1094	40295.7266	52639.9258	44078.2227	42162.957	31504.873	37995.6211	30843.1797	51379.7266	32340.8496	43882.8594	43987.3086	39395.4141	52706.0352	78545.1484	43643.8164	65157.0469	45992.9219	124708.8516	55362.3125	74463.2969	74188.5234
2.8019	45763.4453	32169.1953	83861.4844	41926.6406	40396.0977	40002.1211	36953.5586	51146.207	71307.6484	55263.5391	40241.7188	94715.5703	61220.4922	54877.4844	81336.6562	64074.0312	56042.9414	40343.6172	50527.6328	30313.2734	67806.9375	36941.9609	61930.4219	63759.4219	47611.5039	79894.6719	121244.6484	65336.9375	87254.1094	60950.1094	92245	79226.5234	58924.9375	61632.5547
2.9353	56903.9727	31117.498	112921.3281	57833.9609	46424.0156	53880.2383	42119.793	73543.6719	109300.9375	84352.8828	55905.5156	74902.8516	74037.1953	87326.6562	96884.8594	94354.1484	83250.25	52239.6992	79186.1875	30161.7832	62413.6133	47847.6172	72938.5	84084.9297	62418.9297	112574.2266	123848.3984	100712.2422	80524.2734	86796.8672	56238.4922	95213.1875	41317.1484	41423.0742
3.0687	60896.7422	34175.7188	112731.0938	88148.375	40297.0117	92025.5156	57078.2539	91401.3438	104743.5156	105042.4922	81519.4922	49645.0391	66093.4922	108623.5234	75989.5234	110053.7188	88748.0781	51341.4648	122511.7344	32712.1367	45078.0312	74947.4062	60340.7422	78384.8125	64663.6641	112224.1406	76917.3438	108653.7734	54060.3086	102368.0312	38266.9375	80481.8125	33499.5977	32530.7305
3.2021	50854.0859	35641.082	73935.6641	112241.8516	33084.4844	132575.5781	86025.7891	75306.4375	66171.5469	87268.3672	79734.6016	38376.5312	48687.5977	90021.9141	49000.707	84524.75	62929.918	51649.7266	144984.9688	36239.5859	32972.1055	95067.7344	42652.3516	52837.7109	52014.2773	74294.2422	45668.9766	78153.8438	43335.9961	83684.9609	34618.1797	53972.043	30234.9375	29752.6797
3.3355	44396.3984	40176.957	52045.9414	98027.8125	29456.2266	112406.1953	102465.6562	50920.3906	42232.8203	59272.3945	54719.3086	34403.8828	37397.2305	56106.875	38613.9766	55430.3789	46891.7891	NaN	106182.9453	43407.8945	29834.5723	86180.2266	34044.5391	36921.4141	42445.6875	49329.9688	35990.1211	49945.5078	37546.1328	57090.8789	31478.8711	43408.0078	29342.8926	28781.3398
3.469	50941.1641	51635.4688	40647.7617	65365.5117	28739.6113	70196.0312	77780.0156	37861.6055	34988.8633	45772.082	40008.3281	34016.0156	33343.7578	39895.3164	34827.3359	45997.543	40024.6289	NaN	63259.7734	60320.3086	27350.9336	59281.707	31757.1152	31034.1211	35962.8516	39424.7344	33489.2109	39067.3477	35540.1836	40390.4883	29493.3184	38259.2578	30693.8613	28734.8867
3.6024	NaN	48540.8711	38296.7852	45799.3008	28435.918	46933.2617	53277.0391	33559.3086	31074.9512	38884.6602	34815.0312	32335.7852	32714.1562	34535.875	32618.1074	40924.8984	36586.4492	NaN	43689.7148	84145.5625	27090.0234	39452.7617	30066.7461	29869.2344	33890.7578	36633.0391	31736.791	34801.5508	36078.6445	35003.8828	NaN	36680.457	29471.4336	27502.3789
3.7358	NaN	40231.0508	38073.0742	36628.7812	NaN	40977.3555	41900.3594	33197.668	29650.2383	34726.6406	32400.8926	32258.709	NaN	33930.8672	33413.9648	41970.5352	35042.6641	NaN	36081.3672	85561.1797	26577.4805	31386.5469	NaN	29630.5801	33838.6562	37180.1094	30726.209	32386.3398	35031.3672	32796.3125	NaN	38452.2578	NaN	NaN
3.8692	NaN	35564.3086	37572.1406	34882.5195	NaN	33537.6562	38573.6641	33347.5	29549.6152	33945.4844	33435.3984	NaN	NaN	35743.7734	33351.9766	NaN	33059.8516	NaN	31673.8145	60702.6055	NaN	27919.1094	NaN	29431.7539	32615.0449	35764.6289	31585.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	33366.2344	NaN	34114.5195	NaN	35140.7812	36089.6055	31840.3301	29298	32394.0332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43555.8906	NaN	29372.4004	NaN	NaN	NaN	34284.6484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	33168.7773	NaN	33183.7812	NaN	33430.1797	34995.9297	32341.7812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36519.6211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	32869.4258	35300.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32874.2422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	33270.1992	34659.8203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32297.9766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
