x	Y_20181208_15100_1_7g	Y_20181208_15100_11_4g	Y_20181208_15100_14_1g	Y_20181208_15100_16_1g	Y_20181208_15100_17_5g	Y_20181208_15100_18_3g	Y_20181208_15100_19_5g	Y_20181208_15100_4_1g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g	Y_20181208_15100_7_8g
3.0687	13481.9844	14544.9893	13848.1367	14546.8408	12458.2949	12132.873	12603.3467	11966.0439	13068.3936	15265.8682	11554.0957	12923.9531	14388.8115	17815.1562	NaN
3.2021	12807.5479	14473.6523	14280.2129	13972.4395	12784.375	12746.9717	11976.9355	12183.3467	13677.5967	14337.2217	11979.5186	12239.4404	14746.001	17074.5566	NaN
3.3355	14071.9268	14398.2998	14346.2988	NaN	NaN	12562.8027	12321.8818	12334.2529	13832.752	13972.792	12691.1934	10480.5059	15356.9648	16519.6309	NaN
3.469	14499.8877	13777.8613	NaN	NaN	NaN	12879.2949	11966.3838	12039.0557	13211.375	13225.9609	12601.2031	10063.251	14820.085	14378.8467	NaN
3.6024	NaN	13948.9346	NaN	NaN	NaN	NaN	11900.6357	12283.5674	13203.3486	13111.0908	12726.625	NaN	16190.3447	12704.9697	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12096.084	13101.1514	12898.2871	12083.0488	NaN	NaN	12948.543	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11853.5137	13183.3984	NaN	NaN	NaN	NaN	12136.0186	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11993.0996	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
