x	Y_20181208_15694_1_6g	Y_20181208_15694_10_7g	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_2g	Y_20181208_15694_21_10g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_10g	Y_20181208_15694_23_3g	Y_20181208_15694_28_4g	Y_20181208_15694_30_4g	Y_20181208_15694_5_1g	Y_20181208_15694_6_13g	Y_20181208_15694_6_1g	Y_20181208_15694_6_2g	Y_20181208_15694_7_11g	Y_20181208_15694_8_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_3g	Y_20181208_15694_9_5g
3.0687	12490.7959	13481.4688	11865.2393	13394.3721	12452.2344	32187.9004	10773.2197	12101.9473	11807.9131	19251.9883	14318.6006	11984.5674	13953.8672	12762.4902	11943.4492	12491.2939	11011.71	13703.2393	11426.1396	12391.3574	13002.5518	13185.8896	13960.71
3.2021	12718.0049	13376.5469	12303.167	13726.3496	13224.4668	NaN	10239.5	11804.3125	11254.8652	16563.0176	13479.0879	11074.4443	15421.6523	13150.4219	11939.7148	12606.6025	10595.9658	12551.0068	11567.1455	12773.6729	12824.6631	12654.7949	12998.1152
3.3355	13143.1162	13573.8662	12483.2646	13053.0898	12397.0352	NaN	NaN	12649.0293	11405.8945	13765.7129	12802.2793	11591.5361	15057.8926	13314.8477	12081.4795	11570.9609	10207.4375	11919.6123	NaN	12669.1133	12122.6982	12195.3896	12816.252
3.469	13568.7002	NaN	11665.9854	12858.041	12672.3291	NaN	NaN	11737.3975	11570.5547	12054.4424	12297.6113	11313.584	14529.4326	12902.5088	11533.0352	11566.3076	10155.4443	11623.2607	NaN	13028.5557	12017.7314	11599.5869	11721.4014
3.6024	NaN	NaN	12641.7178	12799.5498	11884.5352	NaN	NaN	11538.0645	11399.6533	11207.8105	12229.7705	11364.8613	NaN	12850.9062	10986.5586	11481.4375	9574.4814	11019.3545	NaN	12376.9346	12626.7969	11044.4004	11864.543
3.7358	NaN	NaN	NaN	12606.7363	11413.0537	NaN	NaN	11880.1299	NaN	10980.9453	11993.7354	11571.9688	NaN	NaN	10308.0078	11232.3643	NaN	10665.9072	NaN	NaN	12098.9863	NaN	11626.459
3.8692	NaN	NaN	NaN	11558.3252	11227.8066	NaN	NaN	11220.6416	NaN	11549.7412	11758.0908	11946.3213	NaN	NaN	10230.6748	NaN	NaN	10835.4238	NaN	NaN	11084.2578	NaN	11190.3672
4.0027	NaN	NaN	NaN	10981.0312	NaN	NaN	NaN	NaN	NaN	NaN	11173.5332	12033.4834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10664.5146	NaN	11369.4111
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12183.4951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10102.459	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9824.0391	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9409.4971	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
