x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g
1.3342	31191.4141	29038.875	32356.2227	37629.3281	33364.2969	28727.8535	29305.6992	28082.3047	27717.8926	25348.2949	30555.8652	31673.4238	28704.3965	30907.1895	29632.9922	30472.5293	30599.0059	30261.2031	34766.1836	30313.9004	32366.0391	32605.4258	30374.625	31571.9668	27233.0762	31808.6094	33746.7578
1.4676	29267.7949	29574.5684	32663.3652	35248.6133	34339.4648	28916.0039	30481.2422	27947.3125	28205.3496	25730.2598	31069.041	33391.0898	28150.1914	31019.9492	29681.3691	30640.6445	30302.7734	31153.0469	35147.1328	30655.9902	30504.5723	32368.1133	30230.9199	28708.2578	28846.7617	31463.6953	33423.0625
1.6011	30197.8281	31925.4727	31897.1074	35304.6523	33436.3828	29517.582	29532.6191	26597.1191	30105.7344	25524.6387	29720.5957	33152.0859	27897.2598	31586.8438	28893.6777	30879.291	31512.7773	31281.9102	35169.9297	30451.7207	31771.7812	32074.8262	29509.7559	31419.0547	28619.8262	32116.5703	32840.5273
1.7345	28939.5996	31681.7754	31849.2793	35482.2578	35640.8008	29892.8203	29449.4062	27832.3672	30540.8965	25933.6172	30867.2227	32822.5	28939.082	29289.8867	27993.0293	32011.75	30705.4688	33628.707	33785.4648	31376.9531	31343.6348	33650.4609	31601.7617	31683.2695	28199.0723	31489.1152	34362.5312
1.8679	30710.1309	33304.7891	34147.5586	36818.4648	33359.668	30350.5215	29774.4277	28249.0645	32848.6328	27096.4336	29334.9844	33933.3398	30465.2461	29109.6211	29957.1016	31000.3281	30658.6094	34978.1406	34057.3203	32229.1133	32845.5	34936.2812	31169.2559	31359.1445	28786.709	30815.8828	36554.6797
2.0013	30809.4922	32202.9043	32489.166	36158.957	35028.6992	30335.6914	29894.707	28864.7109	34327.6367	27569.7441	30847.418	33518.8867	32571.3848	30156.3242	29629.8008	31048.1289	29308.5137	37129.7305	34983.1523	31539.6797	33335.5391	33181.7344	31899.6172	32877.0156	29758.125	30337.5078	35672.625
2.1347	29417.0391	31946.1738	33946.9062	36625.8906	35615.5312	30311.6211	29437.6973	29298.4336	35435.9453	28215.0234	33459.7422	34079.793	39351.3672	30988.0137	28132.4961	34125.0508	30328.1855	43344.6953	34641.1016	30466.6699	32751.0742	33843.1367	33240.875	31683.1309	29528.8164	30808.6348	34738.3984
2.2682	32211.9512	31824.8125	39206.6602	36921.6602	33616.7031	30419.1504	31108.3359	29184.7949	36640.1992	30618.8164	36894.8164	38061.6602	49860.1523	30573.6973	29250.4238	34991.1602	31689.2852	57550.3789	36414.9258	31527.6641	33961.8945	34596.582	32927.6797	34413.7266	30216.959	31346.4941	36949.6836
2.4016	35948.5586	31234.3945	52711.5273	37260.6758	35284.2109	31185.9004	30368.6602	27315.1836	38978.5039	38685.5273	49731.3945	41165.3047	63734.2109	32755.8926	29766.0195	41892.6094	34816.2969	61076.8867	40464.1289	34108.1445	42204.9844	35688.4102	39404.582	40885.9102	30799.7891	31865.5723	42641.75
2.535	46350.2227	31204.6562	75892.0391	42119.125	33336.3281	31168.9082	30741.834	28241.1445	49135.8438	45092.2773	70562.3984	54022.7461	49993.332	38452.1445	31814.4727	50012.8359	41845.5547	48197.6602	45163.9453	39554.3008	54151.4141	34344.5547	47921.3672	53448.8438	31722.9219	32964.5039	46038.3555
2.6684	62771.3008	31359.0508	90436.0781	53815.9844	34361.9805	30896.5078	29209.5879	31182.3906	53146.2305	40245.8086	79526.5703	64799.4531	38094.7812	49094.8398	36120.8242	49515.5156	49708.2578	37655.5859	54281.4961	53424.9453	76643.8906	37403.4727	49769.2461	69353.5938	30930.3691	34795.582	42802.4727
2.8019	74471.7969	37377.3086	76604.2344	82485.2188	40113.6641	30743.9902	31665.6367	38420.6602	47287.3828	32673.0137	58512.3789	59179.9961	36134.5312	61046.9414	42654.957	38401.707	50086.9258	32498.2617	66841.9531	71104.6016	79653.0625	42722.7344	43287.6875	62253.6328	32666.9258	41305.7617	38741.6875
2.9353	54157.5977	46158.3672	57995.4023	88002.4609	47383.1953	31121.4844	32147.2344	50307.5195	37725.9922	31570.1074	41331.1641	48143.668	NaN	55052.7227	45022.1367	34520.375	44602.9219	31186.3262	70351.8125	68902.8906	56804.1484	53231.4219	34218.6484	44246.5117	35850.7734	55771.0312	36344.5898
3.0687	41276.2578	56228.5352	48944.332	67161.3984	67223.8125	30433.5703	36551.375	70090.7422	31502.3828	39619.6758	33659.2109	38644.4141	NaN	48318.5898	37044.1523	35969.3984	39609.832	NaN	58180.7305	49756.2891	42890.9453	65123.6016	29801.0273	35382.4648	36700.4688	67066.8281	34475.0977
3.2021	37348.0586	53483.5742	53520.043	49233.8086	66192.8438	29658.1875	46020.6914	69692.6562	28142.123	NaN	NaN	35977.5195	NaN	48462.6523	31223.377	NaN	36415.5312	NaN	44130.4258	37741.6211	34945.8633	59948.7969	28978.5332	32957	34490.3438	58951.2148	34061.3242
3.3355	NaN	42486.6914	71021.2734	39667.3516	53674.332	31717.5449	54914.2461	51770.9531	NaN	NaN	NaN	NaN	NaN	NaN	28894.5703	NaN	NaN	NaN	36706.207	33126.7734	NaN	48078.0391	NaN	31605.5703	32001.4043	46011.3398	32629.1484
3.469	NaN	39151.5117	NaN	35523.7695	41448.7188	36290.3906	54190.3828	38004.7266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31929.3184	NaN	40701.1328	NaN	29696.6602	32160.8516	NaN	NaN
3.6024	NaN	41263.1992	NaN	33668.8438	37344.293	45273.6641	42635.125	33025.3906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29091.582	NaN	36334.2852	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	46137.4375	NaN	33121.4102	36433.3438	66719.7734	35773.7812	30366.6855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	35285.4727	76372.0625	33654.4766	29208.3398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	60829.8711	35643.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	42656.1016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	38654.0469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
