x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_2_8g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
1.3342	25091.074	16992.256	18923.072	19843.998	19646.506	22633.141	18808.453	20758.432	22428.479	27022.275	25610.281	22441.23	21154.381	19008.617	21372.432	18491.801
1.4676	23762.842	15785.093	17994.828	18576.865	17621.887	23147.729	18367.818	20356.229	22451.311	25981.393	24486.895	22715.09	22339.139	19647.178	22041.137	18921.48
1.6011	22534.963	15553.042	17560.006	17260.65	17233.441	22124.818	17309.66	20232.301	22246.926	24050.383	25619.637	21975.203	23369.949	19485.158	21929.977	17877.27
1.7345	21824.713	17174.453	16853.303	17105.652	18329.879	21414.105	18061.635	18682.449	22735.49	22816.928	28511.32	22454.674	22952.062	18584.76	22870.504	18094.625
1.8679	23160.055	18713.004	17338.107	17411.459	18822.219	20429.826	17958.191	17404.537	21936.861	24154.213	28122.805	23718.617	23675.488	17682.777	21469.154	17666.74
2.0013	24664.469	18459.701	17195.416	18368.422	18044.953	20648.727	18117.674	16250.278	22426.557	23943.959	25367.592	23852.344	21789.479	16671.268	19715.439	15941.503
2.1348	24179.68	17870.896	16012.972	18173.762	17884.859	19746.947	19117.23	16755.721	23584.473	22742.553	24188.242	22465.346	20180.125	15865.288	19625.918	15622.406
2.2682	24772.609	17480.494	17205.938	17731.088	18646.385	18923.43	18290.09	17665.748	23291.777	22835.623	24044.227	20104.459	17230.611	14424.032	19073.797	16237.971
2.4016	22605.588	18727.715	16762.182	18619.352	19721.963	19635.08	17040.357	18068.473	22419.422	22951.826	24173.311	19726.047	16304.395	14933.089	18126.658	16360.422
2.535	20846.75	19190.283	17423.662	19066.445	18782.42	21504.934	16859.875	17732.701	22873.533	21245.453	24861.438	18497.352	15366.146	14831.773	17759.686	16980.881
2.6684	18403.445	18678.033	16155.144	19116.58	18831.422	22364.459	16249.858	17030.418	22630.68	20532.174	24243.754	17417.609	15869.163	14497.583	18351.555	17590.24
2.8019	17299.982	18370.053	15439.972	17179.133	20644.475	22768.58	14788.452	15943.066	23981.984	19712.914	25684.582	17442.838	16325.562	14635.125	20247.865	16369.739
2.9353	17018.523	17937.596	14552.512	15557.238	21690.822	20842.359	14967.032	15024.09	25751.883	19162.084	25800.691	17282.887	17007.238	15186.879	21087.354	15387.3
3.0687	17341.43	17538.062	16051.521	14768.672	20168.908	20465.893	14036.389	15517.373	26077.604	18885.93	29727.086	18596.328	18537.631	15055.072	21346.066	15233.048
3.2021	17164.564	17544.479	17909.428	15277.892	17734.391	24684.791	13780.104	16953.596	22927.656	18361.047	37504.781	18461.748	20723.49	17614.492	20255.789	14903.911
3.3356	18581.076	17020.908	17642.434	14868.075	15794.253	28303.066	14111.73	17968.523	19619.088	17377.061	42134.391	17431.459	25451.486	18678.25	18568.578	13968.525
3.469	20560.736	16302.231	16047.205	14680.476	14729.094	29340.83	14204.874	19097.773	18375.291	16896.23	36916.102	16238.519	25516.033	17652.178	16883.359	13790.912
3.6024	21447.838	17088.914	15088.047	15018.93	13817.729	26014.705	14955.128	18085.305	19597.633	17142.18	28753.234	16838.641	23277.645	17901.336	18317.186	13506.174
3.7358	20982.785	16476.295	13953.988	15182.77	13061.03	22101.77	14986.659	17985.145	21823.912	16532.264	22987.266	15960.781	21265.342	17128.426	18046.018	13316.769
3.8692	18266.936	16284.981	14219.17	14897.51	12543.823	18461.35	14992.372	17039.551	23581.232	16649	20724.146	15891.722	20330.754	16691.695	17722.975	14497.193
4.0027	15866.802	15549.322	14300.726	15941.257	12588.851	16534.291	15002.899	17926.436	21214.361	16791.234	19378.264	15590.624	20678.697	15461.49	17284.846	13267.896
4.1361	15115.014	16265.065	14660.379	NaN	13455.783	15401.021	14250.21	18357.234	16618.188	16670.668	18654.855	15760.384	20078.199	NaN	15403.208	NaN
4.2695	14488.845	17972.58	13836.889	NaN	14632.977	NaN	14351.886	NaN	15600.25	16162.936	18129.301	16600.594	NaN	NaN	15132.864	NaN
4.4029	14950.633	NaN	14620.861	NaN	NaN	NaN	14019.313	NaN	13770.775	15989.022	18497.301	15906.585	NaN	NaN	15216.078	NaN
4.5363	NaN	NaN	14008.322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17025.281	NaN	NaN	14893.177	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
