x	Y_20180224_15100_10_2g	Y_20180224_15100_10_5g	Y_20180224_15100_11_1g	Y_20180224_15100_11_7g	Y_20180224_15100_12_2g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_2g	Y_20180224_15100_13_3g	Y_20180224_15100_13_4g	Y_20180224_15100_13_5g	Y_20180224_15100_13_6g	Y_20180224_15100_14_4g	Y_20180224_15100_16_2g	Y_20180224_15100_16_3g	Y_20180224_15100_16_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_13g	Y_20180224_15100_19_16g	Y_20180224_15100_19_4g	Y_20180224_15100_2_11g	Y_20180224_15100_2_4g	Y_20180224_15100_2_9g	Y_20180224_15100_20_3g	Y_20180224_15100_20_4g	Y_20180224_15100_21_1g	Y_20180224_15100_21_4g	Y_20180224_15100_21_7g	Y_20180224_15100_22_6_1g	Y_20180224_15100_22_6_2g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_23_2g	Y_20180224_15100_24_3g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_25_5g	Y_20180224_15100_26_1g	Y_20180224_15100_26_6g	Y_20180224_15100_27_2g	Y_20180224_15100_27_3g	Y_20180224_15100_28_10g	Y_20180224_15100_28_1g	Y_20180224_15100_28_4g	Y_20180224_15100_29_1g	Y_20180224_15100_33_2g	Y_20180224_15100_33_4g	Y_20180224_15100_4_10g	Y_20180224_15100_4_1_2g	Y_20180224_15100_4_2g	Y_20180224_15100_4_8g	Y_20180224_15100_6_9g	Y_20180224_15100_7_13g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_9_6g
1.3342	38542.094	42841.152	37822.969	35569.227	40911.016	42032.742	33102	40182.48	39811.613	40331.891	42608.984	38338.348	39086.988	40870.059	38316.727	36694.148	37856.734	38524.32	39261.262	37829.023	41812.109	42085.188	41201.086	36217.078	35137.754	41554.656	35877.566	43885.875	34755.102	42754.148	44064.551	37833.762	37261.211	36553.23	37617.109	36239.719	35559.289	32862.191	41167.383	39231.812	38116.18	39694.176	39001.703	38869.559	30692.031	41650.996	40594.012	38640.418	36084.652	32608.984	38768.09	39835.527	36306.332	34180.188	41346.629	37427.898	38381.391	38915.387
1.4676	38214.918	41156.461	39303.074	34784.535	40720.535	40076.098	32441.141	40487.984	39195.723	39847.367	42102.043	38180.305	40014.422	41459.473	39328.141	38522.211	40094.816	38587.586	39197.969	38567.703	41565.422	41828.621	44504.188	35726.059	33886.281	43089.004	37766.23	42772.707	34973.047	45248.828	43596.883	36626.879	39300.031	36773.055	39006.762	36187.773	33060.605	34588.59	41105.062	39936.809	38412.945	39774.008	39723	37695.406	30942.486	39835.938	41901.008	40060.199	35424.516	35264.969	40006.16	40144.016	36053.035	35479.457	41853.855	37350.023	37220.992	39061.254
1.6011	39338.668	40875.613	42571.293	35252.41	42296.484	40835.395	32656.627	41302.555	40265.871	39046.527	42920.066	39050.914	40733.953	40277.395	39943.723	41123.281	39487.773	38476.414	41287.188	38050.477	44646.645	43464.453	52789.273	37911.816	33480.504	45203.895	41567.215	42224.355	35487.801	47739.59	43678.793	36874.008	40734.086	37988.098	38237.672	38234.422	35130.84	36636.168	42586.234	38423.191	40395.266	41702.004	41018.336	39386.66	31938.283	41656.609	42402.363	42507.625	38028.191	34824.805	39772.406	38551.5	36449.77	35099.738	44647.789	38500.297	39215.184	39768.809
1.7345	40968.457	43173.207	48481.266	34395.859	44140.027	41929.812	34930.863	42529.734	39619.395	40836.734	45996.148	45223.309	41419.328	39732.227	41696.582	43484.977	39658.27	39869.57	42066.895	39056.82	46983.207	43476.18	72267.18	39496.445	37746.387	49446.867	47820.453	41502.883	35284.227	55716.27	44012.289	37763.402	43437.891	38597.766	40423.789	41476.156	36252.012	39487.941	46070.52	38089.469	42770.074	44193.48	38885.457	40868.914	33545.359	41255.297	45340.965	51156.57	39282.504	34368.699	39324.273	38261.602	39242.117	37273.801	41389.75	39869.043	38951.453	40186.191
1.8679	44189.621	44158.262	66685.922	37527.27	49923.102	42295.41	38265.5	46874.48	39731.293	41910.656	50228.133	56220.941	43620.859	40396.887	47529.172	51874.039	38249.266	41637.477	46403.863	44386.609	57056.688	42854.426	119153.117	43671.996	39112.98	67271.578	66496.891	46329.461	36152.809	74546.75	46092.52	38184.324	48339.406	40443.789	44923.305	50362.98	41821.676	48062	53622.07	42942.504	47814.059	52058.688	42043.055	40115.695	35420.258	42310.145	47984.039	72104.195	40385.723	39034.055	41379.621	37153.398	40557.348	38241.621	44504.414	46269.555	38868.953	44872.137
2.0013	52463.836	45999.492	106350.305	42440.324	71400.195	42747.754	41801.082	57549.207	42146.504	41104.547	57802.605	84666.555	46633.453	45644.449	59884.859	75559.477	38834.703	42447.68	58555.766	53511.641	81483.367	45512.918	193094.109	58564.797	45857.945	106289.773	100638.234	49922.996	40391.91	103020.305	47429.195	43997.359	54505.992	48316.297	53939.809	70564.891	53183.961	67325.461	74620.367	49971.875	61311.227	67598	43766.746	44881.367	48888.363	43604.73	59800.742	89335.242	44501.609	43552.934	49873.441	40505.211	43678.207	44044.988	44220.664	53491.211	40715.512	55538.48
2.1348	75341	48816.898	148131.328	58924.289	109506.18	48822.016	52572.172	89001.773	45019.516	46530.672	78677.828	142607.25	55257.754	54271.699	82484.641	118818.602	39877.395	48563.945	80261.852	70252.703	142200.422	52449.773	200009.656	87230.383	64246.074	146796.719	143066.438	62524.383	49789.625	105031.82	53112.855	51805.945	78385.086	63821.324	69296.953	86715	77497.047	100796.109	119436.258	66786.188	70708.102	91464.195	43918.926	53543.715	66381.781	47826.316	71324.75	77306.758	63837.73	57455.699	68883.148	43879.043	55180.969	62298.285	50250.051	79999.375	41261.219	83439.188
2.2682	111912.008	55839.594	133578.234	90659.188	135608.531	58781.098	78375.727	112507.203	53734.84	57148.906	129644.906	172505.125	76953.109	81911.711	90575.578	132206.125	41286.766	62772.504	90982.953	81998.5	209020.641	74399.844	139151.438	101171.688	95938.102	130604.508	130022.836	95317.023	71607.461	77412.07	56585.629	71229.336	98523.133	72162.336	77194.406	78401.242	105825.07	104055.07	143138.891	79736.805	62104.625	98207.078	47214.32	75698.695	67007.844	57018.605	67449.344	56171.754	109187.102	88995.547	82996.914	52785.711	69370.234	85017.109	66114.203	135813.844	43543.273	110546.82
2.4016	124257.328	73608.828	85877.336	87727.742	104662.883	86112.25	107106	99817.352	76654.188	67553.844	167247.469	129941.258	133381.641	137897.859	71091.891	96222.055	47449.547	102595.586	72561.617	72346.508	203071.156	110315.781	82694.734	77850.836	102324.93	81550.516	78976.633	137304.328	88661.859	56497.5	59495.02	95789.008	88743.516	58448.504	60824.59	59212.004	101158.391	73637.516	115277.086	71177.734	46781.664	74099.133	52106.172	95610.031	50582.031	79620.359	54180.742	46029.832	158761.906	118769.961	77909.594	71793.305	72618.125	80990.766	89735.57	169969.672	50355.688	100948.82
2.535	91463.406	90533.469	56022.863	62021.547	74046.211	115717.844	93924.195	69648.883	118657.539	63535.516	138701.484	78222.859	166996.078	147487.016	49934.277	63667.434	64516.09	143238.047	53590.484	53335.211	127038.914	122001.523	57792.59	54584.793	68644.93	55741.379	NaN	119333.727	71158.773	49248.477	53703.344	89050.812	63001.281	47944.508	46717.406	48120.344	66814.758	53311.418	84883.125	51413.168	40519.309	56533.496	51773.949	83872.641	40022.512	119514.539	44978.395	41224.012	147571.75	98871.914	61969.996	98451.336	56060.93	59560.508	80416.43	137299.219	66255.945	68355.922
2.6684	59056.379	80010.75	43744.957	46054.23	NaN	112870.742	63738.707	52287.645	148537.391	52311.414	86480.789	55487.328	142868.766	105481.477	43382.566	48334.117	81004.289	135571.75	45903.555	42076.984	72819.234	91467.008	48154.449	45710.059	46853.652	47166.859	NaN	71745.945	51284.742	46558.449	47773.465	66760.695	48514.855	43695.242	NaN	NaN	49000.363	43877.754	73472.766	41325.785	NaN	50291.797	46536.027	61230.082	NaN	152064.172	43093.656	NaN	92095.453	65909.336	47555.41	92644.281	43771.211	56034.059	57751.809	80857.25	104708.641	50631.258
2.8019	46351.035	60608.977	39974.004	39084.062	NaN	80092.82	43999.562	45472.809	118299.039	44884.555	60764.645	49321.934	82707.836	67015.578	40488.043	43499.082	75274.234	89263.578	NaN	39043.281	58123.656	60906.16	NaN	41328.156	NaN	NaN	NaN	50657.684	42289.977	NaN	45018.941	49461.832	43576.695	40203.016	NaN	NaN	41566.961	NaN	NaN	39656.074	NaN	45854.25	42276.383	50533.387	NaN	114260.891	NaN	NaN	60275.785	49731.215	40714.215	70320.531	39879.609	NaN	45875.586	53426.555	145562.938	44333.625
2.9353	41084.977	49628.074	NaN	37696.309	NaN	55182.328	NaN	43517.508	69047.281	43209.977	48570.922	47552.199	57900.59	51655.727	NaN	NaN	55750.566	58751.125	NaN	NaN	NaN	50481.793	NaN	39498.367	NaN	NaN	NaN	43320.844	NaN	NaN	NaN	43385.738	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42072.68	41835.66	NaN	NaN	70002.453	NaN	NaN	50247.559	43632.988	38268.297	53766.648	NaN	NaN	42089.148	46548.156	131230.812	43561.098
3.0687	41571.188	46236.285	NaN	34445.082	NaN	47234.695	NaN	NaN	52649.82	NaN	44006.441	44033.656	47319.512	46825.824	NaN	NaN	46303.684	48251.484	NaN	NaN	NaN	47896.57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53704.297	NaN	NaN	48088.52	39187.48	NaN	45001	NaN	NaN	40633.926	NaN	83786.992	NaN
3.2021	NaN	42941.48	NaN	35210.887	NaN	45226.957	NaN	NaN	NaN	NaN	NaN	NaN	45267.848	44839.895	NaN	NaN	42377.035	42950.398	NaN	NaN	NaN	44051.656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46826.488	NaN	NaN	NaN	36307.609	NaN	41449.895	NaN	NaN	NaN	NaN	59648.766	NaN
3.3356	NaN	42770.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43566.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40195.391	NaN	NaN	NaN	NaN	50232.59	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45726.055	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
