x	Y_20180212_14590b_10_4g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_7g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_20_1g	Y_20180212_14590b_23_1g	Y_20180212_14590b_24_4g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_29_1g	Y_20180212_14590b_32_2g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_48_13g	Y_20180212_14590b_5_2g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_9_6g
1.3342	17855.797	16706.619	17102.936	14435.638	14550.792	15721.167	23603.148	23937.654	13843.778	18866.887	16991.32	16479.838	15681.963	18479.916	14338.295	21465.742	13187.119	16150.122	14400.452	17072.746	17693.723	17374.291	15080.428	29995.305	21079.764	16154.298	16755.402	19288.277	19009.076	14215.45	21629.812
1.4676	17280.934	17528.543	16554.906	15874.505	14647.236	14589.612	22102.385	22057.717	12571.775	17233.697	16790.703	16387.781	15908.998	17116.885	14521.578	21010.961	12773.512	15163.402	14991.88	18125.854	18910.574	16250.567	13912.142	26302.809	19811.135	16500.992	15037.379	19437.195	18773.396	15496.444	20278.971
1.6011	16722.781	19409.68	15290.471	17342.203	14792.241	16273.49	20020.918	19879.516	13066.509	17993.242	15825.476	17589.027	17091.34	15980.07	15381.838	19696.775	13902.385	15465.12	16343.312	21451.607	22024.938	16037.533	14679.589	22644.504	20970.703	16870.807	15092.022	19534.99	18453.723	15220.332	20419.156
1.7345	15710.13	18255.043	15926.969	19925.635	15814.286	16837.832	19455.348	18317.82	13821.068	17643.014	14747.912	19342.93	16907.328	16596.74	15041.112	17988.967	14914.877	16594.102	19374.363	25570.826	29270.793	16529.734	14697.64	21139.539	23758.244	19382.922	14856.52	17973.24	19302.48	16486.17	21983.143
1.8679	13786.082	17747.279	15678.083	25138.836	17093.605	19748.74	18332.967	18505.768	13419.941	17107.783	15270.087	23205.908	18808.842	17126.064	15703.909	15593.771	16158.148	15728.528	25151.965	28967.055	32613.906	16235.777	16100.347	19559.543	23996.957	24626.645	14625.112	17944.621	18650.648	17490.023	24223.404
2.0013	13470.258	17130.59	16473.492	NaN	20105.297	23709.596	17715.227	19311.215	13633.676	17376.107	17238.512	29560.947	20358.629	18168.531	16949.777	14643.801	18777.854	16602.191	34565.641	26769.824	NaN	17404.096	16385.059	18329.625	24381.721	29803.4	16741.5	20140.928	18934.035	18399.564	24936.432
2.1348	13796.438	18588.557	18601.531	NaN	22313.637	26739.619	16308.91	20619.211	12969.483	18140.947	20112.537	31008.059	21125.18	19522.365	20114.559	15606.637	20982.07	17144.318	37461.633	21898.02	NaN	21994.025	16755.912	19068.186	23941.885	31636.52	19341.348	23954.682	18630.756	18264.25	NaN
2.2682	13501.233	19897.863	20878.762	NaN	24012.42	26137.473	15968.65	20885.592	12820.533	21011.738	23857.197	28382.244	20359.818	19775.697	25080.271	16797.682	23201.707	17125.131	NaN	19737.693	NaN	26539.047	17586.566	19418.471	22302.668	28064.201	22472.156	28472.729	19809.68	18706.945	NaN
2.4016	12993.294	21895.957	NaN	NaN	NaN	NaN	16333.054	18766.533	12729.747	24099.301	29245.211	25341.549	19001.752	19834.234	26263.742	17903.084	NaN	16708.479	NaN	NaN	NaN	31711.604	18907.049	19280.211	20723.473	21927.342	NaN	31941.855	20342.148	NaN	NaN
2.535	NaN	23103.869	NaN	NaN	NaN	NaN	16256.792	NaN	12062.816	26972.301	30419.221	21831.49	17761.271	NaN	NaN	18807.086	NaN	NaN	NaN	NaN	NaN	32507.857	20348.805	17809.434	NaN	NaN	NaN	NaN	19181.664	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27429.309	29998.98	18768.666	17644.318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30486.582	20108.824	16618.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26828.26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28565.219	18668.898	15232.387	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25343.766	NaN	15249.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14585.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
