x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_3g	Y_20181208_15693_12_4g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_6g	Y_20181208_15693_2_9g	Y_20181208_15693_4_11g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
2.6684	13064.2002	12526.0625	12174.0117	10368.5684	NaN	NaN	12020.9365	11658.5605	NaN	11316.5059	NaN	13149.7549	12252.4023	NaN	12812.8486	12094.0322	NaN	13215.376	12632.875	13171.084	11141.207	12705.7461	NaN	13045.3418	11196.708	12237.7891	13444.6631	10902.874	11206.5244	12934.2266	12176.2285	11579.7217	12214.3037	NaN	11450.8037	14034.4258	12241.5596	12428.5449	12214.1553	13008.2207	11667.0107	12792.4258	12130.0254	12249.209	NaN	12197.9883	11385.7188	11748.4629	11342.542	13557.0039	13201.9453	11618.7178	11149.1035	NaN	15558.9307
2.8019	13416.1641	12256.2295	11401.4004	9809.4277	NaN	NaN	11790.8047	NaN	NaN	11710.1064	NaN	11766.3828	11583.5049	NaN	12745.0029	11349.2334	NaN	13522.3516	12521.8594	12808.3721	11337.8232	11814.6904	NaN	13028.7734	11453.5264	11996.9795	13680.7168	11197.2949	11304.0928	NaN	NaN	11497.209	11374.2959	NaN	12012.249	11709.7832	12448.8945	13389.8018	12171.9219	13262.2666	11258.5205	12864.2227	NaN	11620.0596	NaN	11803.5439	10387.3984	11849.3398	11906.291	12171.8242	13115.1807	11160.8311	11238.0117	NaN	14243.9473
2.9353	12856.5234	NaN	NaN	NaN	NaN	NaN	12283.0957	NaN	NaN	12362.8096	NaN	12156.4014	NaN	NaN	11559.8809	11893.4453	NaN	NaN	11805.6523	12567.4365	NaN	12124.8643	NaN	13283.9805	11368.4258	12678.7236	NaN	NaN	11391.3281	NaN	NaN	10851.3447	10650.5977	NaN	10665.5488	10869.9424	NaN	NaN	11864.4561	13055.9531	NaN	12769.9775	NaN	10994.5498	NaN	11801.5977	10917.0293	11150.667	NaN	12461.9355	12730.4395	NaN	10671.8096	NaN	13285.376
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	11770.5342	NaN	NaN	11634.4551	NaN	11332.708	NaN	NaN	NaN	NaN	NaN	NaN	11548.6621	12469.998	NaN	NaN	NaN	12225.0938	11284.5547	NaN	NaN	NaN	11812.2412	NaN	NaN	NaN	NaN	NaN	NaN	10891.4697	NaN	NaN	NaN	12939.7793	NaN	NaN	NaN	10800.166	NaN	NaN	NaN	11326.4736	NaN	11910.5752	13441.4238	NaN	10829.9561	NaN	11790.9492
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	11019.6611	NaN	NaN	NaN	NaN	10815.626	NaN	NaN	NaN	NaN	NaN	NaN	11408.8594	12303.6299	NaN	NaN	NaN	NaN	11320.9229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11113.749	NaN	NaN	NaN	12972.5684	NaN	NaN	NaN	10404.3291	NaN	NaN	NaN	NaN	NaN	12070.8535	12305.1484	NaN	10797.5205	NaN	11411.4863
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	11465.7998	NaN	NaN	NaN	NaN	10853.0557	NaN	NaN	NaN	NaN	NaN	NaN	11628.4707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11207.5273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10731.2041	NaN	NaN	NaN	NaN	NaN	11474.5801	12096.3525	NaN	NaN	NaN	10465.958
3.469	NaN	NaN	NaN	NaN	NaN	NaN	10838.9883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11137.0771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10159.2861
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11182.5029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
