x	Y_20181208_15100_1_4g	Y_20181208_15100_13_10g	Y_20181208_15100_14_1g	Y_20181208_15100_14_4g	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g	Y_20181208_15100_16_1g	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g	Y_20181208_15100_2_1g	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g	Y_20181208_15100_7_5g
1.6011	12759.3809	12517.9395	13779.541	13612.6709	14243.5107	13262.7207	14384.9863	13019.9463	13047.9521	14301.7158	16186.0205	15002.5889	13351.9697	13277.3076	12589.5674	13516.1055	15274.1396	15207.0254	16571.166	14120.8555	13098.1934	18881.6113	11810.9648	11705.6396	14693.7139	13837.209	13368.0889	13704.3379	12249.2324	11994.1982	15448.4092	15203.5312
1.7345	12538.1357	14661.7617	14101.2979	14984.6719	14466.1113	13939.9424	16139.1602	13253.6191	12028.4473	13909.3965	14329.1963	14282.9971	13583.1211	13900.6221	11872.9814	13061.1133	15307.6904	15912.0479	16141.9609	12561.7148	13288.3799	19538.7129	11501.3301	11540.0166	15437.6436	13669.4941	13980.0879	13512.1328	12038.1201	12263.9883	15566.9941	14608.085
1.8679	12933.0039	16356.3213	14678.6836	14958.543	15172.1484	14245.9668	17752.7461	13658.2314	12150.8184	14067.3301	13366.1846	14139.0752	13075.9053	14082.9102	11929.0254	13710.2314	15432.0508	16498.875	14946.0664	12882.7217	13708.9502	18754.125	10786.8066	11327.8564	14043.9082	13206.9971	14153.3623	14009.2559	10802.3984	12741.2119	14302.4189	14863.9209
2.0013	13490.1943	18112.8711	14241.8604	13972.0039	16567.2988	14099.6699	17851.4727	14483.9395	12475.3145	14629.79	12898.0234	15230.3623	12681.1455	13933.9033	12830.3857	14146.1572	15058.8652	15173.0938	15148.2031	13759.2285	14282.5205	19240.2012	10551.2422	11645.3027	13950.7695	12421.0107	14601.9668	18133.8848	10729.5508	13017.5713	12551.499	14074.7197
2.1347	14175.335	18543.6211	12629.6543	14750.1318	16170.8643	14136.9287	16512.2422	16248.1387	13533.0078	15702.6279	12171.5166	18284.1523	12079.0801	13686.7549	13028.7559	13656.4561	16425.377	13484.7148	14179.1738	14249.4004	14230.498	17251.1895	11256.0811	11130.7744	14225.3184	12049.8115	15078.9619	23113.0703	11147.8779	12954.2275	11997.0078	13388.4648
2.2682	13788.2568	18394.0996	11712.6768	16105.9805	17127.4707	14575.5127	15000.6006	18101.2969	13446.4453	17237.3984	12228.3545	18702.9414	11667.1201	13526.709	13161.6826	14133.9023	18103.0566	13132.3359	13817.8418	14171.5312	14931.1729	16777.082	11988.1582	11099.1211	14002.3584	11772.5742	14450.4502	27291.0547	10841.4092	13822.3809	12027.2627	13123.7764
2.4016	13710.6611	15869.6875	11251.3555	16760.4922	17036.5898	15197.5771	13568.5107	18334.3457	13199.8574	18307.3867	13720.6592	16776.5703	12035.3418	14278.418	12451.9854	15528.4482	17789.2031	13464.502	13717.8154	14283.2334	14502.1074	18146.1504	12448.2305	11091.0088	14519.4287	12194.9893	13754.9912	24690.8535	11321.2412	15377.3896	12078.7842	12760.1543
2.535	14130.8311	15670.917	10995.4248	16637.0898	15486.8281	15082.3535	12897.5059	15197.7441	12709.498	17213.9805	16180.5449	15986.1543	12228.8359	14628.4482	13343.8838	15506.75	15544.4033	13418.3418	13318.6924	15696.7822	14056.5977	18988.3398	12681.2471	11741.2217	15258.7969	12208.0928	12842.3965	20345.7598	11271.292	17195.9492	11813.334	12466.5322
2.6684	13310.9893	15522.0811	11178.1299	14848.0107	14570.7432	14721.9248	12478.3818	14139.0879	12232.9268	15308.2012	15560.0996	14255.7285	11414.1963	14346.9092	13932.5508	15852.9248	13943.2598	13949.542	12958.4424	15706.6543	13555.5986	18336.2344	13044.7812	12573.1816	14172.7305	12235.0352	12322.7773	16018.958	11574.9141	17398.9609	12030.4023	12314.6016
2.8019	13201.7988	15639.9336	10863.9395	12675.3418	12690.04	12996.6064	12313.9521	13390.9404	11556.9961	14062.0029	15107.6211	13844.458	10837.0137	14017.8135	13684.5615	14520.7314	12534.4473	12451.1592	12751.8125	14318.5078	12917.124	17193.6504	12182.9541	11841.4199	13103.3633	11392.293	11922.2988	13941.8252	12234.3066	15086.5918	12072.4688	12630.8047
2.9353	13617.2344	14252.584	11304.7939	12678.0117	12130.2637	12582.1357	12305.2969	12334.957	12052.1455	13438.7617	13230.2627	13327.5635	10961.4473	12603.7119	13568.4609	13305.4062	12005.8545	11258.9199	12121.7812	12534.7236	12506.4551	15237.2871	11502.4639	11530.9648	12185.2441	11452.2666	11254.4092	12322.9092	12671.335	14427.8115	12676.0967	12454.2754
3.0687	13356.8379	14641.4668	11395.0596	11947.1895	12034.9424	11784.9668	12692.2803	12280.1416	12344.7236	12984.3701	13049.6533	13133.3994	10586.4268	12163.7979	14692.5156	12720.4893	11755.1611	11446.1699	12437.54	11161.8213	12642.04	13683.1904	11354.5615	10948.2275	11941.4473	11698.334	10845.3154	12162.3652	12628.8975	13235.2881	11531.1982	11724.6299
3.2021	12676.9629	13370.4355	NaN	11882.2686	11781.5273	11297.3115	12429.4355	12439.998	11820.0088	12544.5537	12609.3633	13537.2334	11248.4424	12704.9023	16020.6533	13615.4453	12723.6436	11357.3486	12335.7842	10531.3457	13400.2812	12972.708	10881.3271	10695.9795	11909.8701	11990.876	10642.7334	11999.9922	13293.9883	13161.7676	12625.7197	11316.6807
3.3355	12826.668	13119.8926	NaN	11339.1543	12394.6084	11478.9492	NaN	12280.0039	NaN	12292.8779	12043.9717	12801.4844	12014.5322	12537.0244	15098.3896	14101.1592	12388.6904	11554.5703	NaN	NaN	13343.2139	13274.0527	10995.7178	11332.875	11995.916	12255.1289	10970.2314	11918.1406	13173.6592	12305.3086	15511.6182	11424.1338
3.469	NaN	12751.8535	NaN	11886.0791	11943.6787	11258.4688	NaN	12331.0303	NaN	12147.1172	12437.7979	13115.8008	12238.2529	12078.4951	12862.2178	14394.9932	NaN	11228.4951	NaN	NaN	12817.1855	13286.2002	11375.5459	12735.0107	12185.6455	12144.7129	10991.2627	12485.0371	13150.0625	12389.3525	18010.9375	11986.2949
3.6024	NaN	11928.9688	NaN	11944.957	12133.4102	10624.8701	NaN	NaN	NaN	11893.3076	NaN	12321.6807	NaN	11854.9258	13024.9844	13818.207	NaN	11775.9346	NaN	NaN	12695.5928	NaN	11069.458	NaN	12000.6504	12503.1904	10967.4629	12273.6436	12569.7559	12323.3682	NaN	12688.8271
3.7358	NaN	11863.7139	NaN	11645.1475	12468.5947	10778.4453	NaN	NaN	NaN	11785.29	NaN	12464.2969	NaN	12802.5938	12872.2246	13966.8799	NaN	11494.3213	NaN	NaN	NaN	NaN	NaN	NaN	11762.3926	12693.8291	NaN	NaN	12634.2598	NaN	NaN	NaN
3.8692	NaN	11978.3027	NaN	NaN	13068.8848	NaN	NaN	NaN	NaN	11717.0898	NaN	12199.1055	NaN	13120.7412	12555.6289	14343.0215	NaN	11878.0059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12432.4824	13587.2246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12588.5996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
