x	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_26_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_4g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
1.3342	54629.785	100744.016	102263.328	54958.418	48650.297	75386.414	46743.348	103402.883	49684.645	65990.727	87697.5	51417.73	60034.219	125606.922	100087.875	95901.805	74207.648	66549.344	59130.504	71490.578	40951.832	87495.695	51386.805	88927.273	73196.484	41744.395	47285.672	80318.758	41976.625	63292.078	154283.625	40277.105	66417.766	65160.742	59080.949	77620.586	127407.25	60316.824	47692.277	84154.297	59699.043	61237.801
1.4676	74482.055	85218.273	86440.242	72913.406	62194.234	58142.57	55724.895	66257.922	70355.477	92185.844	72730.562	60322.141	66531.812	86810.352	115138.555	96142.625	114205.719	74544.414	77597.258	92839.82	45384.996	69441.273	68710.945	73322.523	90443.93	43707.703	60318.562	122735.359	54059.727	49136.293	205164.5	47979.594	55828.625	81437.352	47318.383	53421.832	87498.766	45940.266	42274.777	62113.527	52009.414	66400.773
1.6011	78872.812	61046.969	62709.262	95891.109	86102.609	46399.688	71261.211	50267.867	90237.586	102577.258	56506.242	56747.102	55377.453	54624.859	87844.961	73823.047	119408.766	62985.246	74657.141	84413.336	55854.016	54465.059	87498.703	54483.773	79092.656	47010.062	56746.332	133424.359	71017.883	NaN	161461.719	56726.59	55013.062	75431.188	44149.324	43936.613	62331.234	41331.727	42079.055	44321.18	44035.332	58287.25
1.7345	59248.773	50568.414	48508.988	93940.18	97355.461	NaN	79473.211	NaN	86552.375	73930.055	NaN	48378.809	42894.176	44676.469	61978.359	52618.684	81786.289	47646.277	53387.094	56562.469	62748.008	45771.301	87898.258	47410.844	57750.539	49411.41	44570.059	96424.398	84074.102	NaN	92945.977	57556.137	NaN	57554.602	NaN	NaN	49702.996	NaN	41175.906	NaN	NaN	46534.355
1.8679	46006.871	46720.453	44578.016	70509.734	76053.203	NaN	67031.328	NaN	68341.18	52343.406	NaN	44872.57	38889.887	NaN	50632.895	45304.637	55654.902	NaN	42302.629	46805.82	57615.43	NaN	66916.805	44473.102	45592.277	63471.367	38867.066	61369.719	63991.566	NaN	58274.508	46861.48	NaN	47610.93	NaN	NaN	43118.527	NaN	NaN	NaN	NaN	40553.395
2.0013	41538.879	45570.238	NaN	57294.23	55664.77	NaN	51122.762	NaN	54084.613	45224.23	NaN	45630.289	35876.938	NaN	44911.109	43685.906	44886.762	NaN	NaN	41880.699	49953.223	NaN	50218.758	NaN	40973.656	79306.453	36487.895	49089.887	47159.824	NaN	NaN	38843.766	NaN	43550.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	38162.914	NaN	NaN	52349.191	NaN	NaN	45363.316	NaN	48237.312	42710.062	NaN	NaN	NaN	NaN	41818.84	NaN	40637.496	NaN	NaN	NaN	NaN	NaN	44120.59	NaN	NaN	74321.117	NaN	NaN	39047.82	NaN	NaN	35977.613	NaN	42225.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	54802.125	NaN	NaN	43748.105	NaN	46813.508	39513.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42451.184	NaN	NaN	59443.305	NaN	NaN	NaN	NaN	NaN	34833.227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41103.523	NaN	NaN	50275.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44293.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43110.852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
