x	Y_20180224_15102_1_3_s_g	Y_20180224_15102_10_4g	Y_20180224_15102_10_7g	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_4g	Y_20180224_15102_12_8g	Y_20180224_15102_14_5g	Y_20180224_15102_15_10g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_18_2g	Y_20180224_15102_18_4g	Y_20180224_15102_20_10g	Y_20180224_15102_20_11_S_g	Y_20180224_15102_22_1g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_4g	Y_20180224_15102_25_9g	Y_20180224_15102_26_1g	Y_20180224_15102_26_3g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_4g	Y_20180224_15102_27_7g	Y_20180224_15102_27_8g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_29_3g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
2.4016	35500.27	36939.367	38877.133	42004.895	40442.926	35789.215	34784.387	40542.68	32986.566	38318.445	41328.512	32364.402	40974.668	34304.066	33069.188	36982.562	41005.91	42496.07	39766.043	34669.559	37589.34	35519.211	36023.285	34555.246	40868.758	36079.758	40789.984	37391.562	33184.086	35794.617	39300.754	43186.336	38271.828	43503.391	37805.754	38028.391	34671.43
2.535	38269.707	37885.09	39809.617	43008.102	40009.797	36992.875	35262.148	41755.914	34352.18	38246.707	41254.359	31952.578	41216.781	35305.137	33149.531	37316.164	41478.875	44195.418	41685.223	35262.656	36992.551	37099.918	36608.648	33177.969	42542.16	35587.508	40796.145	38744.02	34567.914	36441.676	39126.246	45252.828	38802.422	44542.363	38257.926	39509.945	33124.543
2.6684	37368.469	39134.82	40441.785	48113.148	41180.098	36779.867	36460.57	43138.238	36368.695	41461.969	41886.621	32492.926	41420.547	35364.574	35174.453	37444	43592.133	50902.059	40342.324	33984.977	39807.785	36215.746	39874.305	33900.727	43418.254	35744.711	41214.027	39906.82	32991.727	36398.305	38845.891	47340	39229.836	44032.926	38981.641	43969.965	35373.902
2.8019	37339.254	39708.902	41663.984	66800.391	42554.406	37442.52	36901.441	47926.488	36961.199	42328.453	43253.422	32769.781	42924.984	36049.543	38276.633	38361.445	48644.59	69156.828	42075.305	35161.082	45248.562	37110.711	49119.777	35252.426	45888.797	36018.914	41706.289	41222.789	34260.984	38338.305	40274.117	54989.371	43191.504	46121.426	43126.785	54153.613	43824.223
2.9353	39190.625	40706.922	48464.266	96189.57	46843.316	40194.551	37257.562	54839.406	36960.762	43325.418	45532.559	34325.793	43780.324	39550.523	45830.941	38276.348	54929.531	120090.242	44463.375	38585.953	62859.023	38007.953	71827.422	35180.016	48052.035	36590.379	43294.535	44046.184	38136.402	41711.848	39782.109	73814.352	47943.891	53730.219	53797.32	85157.516	59416.816
3.0687	43057.469	47454.242	58885.547	110029.383	61728.301	46247.766	37875.41	68860.008	43239.043	54060.32	57418.121	36685.828	46300.156	45459.047	64646.566	43394.234	59467.574	192392.484	51556.43	43431.977	93985.594	39260.094	112107.688	33068.152	56986.594	38304.824	47548.934	50661.5	45796.609	48895.73	42901.801	118256.312	63680.555	76689.211	72591.469	114896.352	85203.039
3.2021	49048.52	66020.148	82280	83213.062	93434.664	66091.32	42331.824	90296.547	53366.293	76005.727	82736.102	42819.508	57283.523	58231.453	97011.586	48914.422	73212.977	207666.281	68389.461	56961.215	108717.047	42842.535	125021.273	35593.141	85438.367	43044.18	59979.637	66489.477	62952.457	69607.984	49611.562	159638.547	89565.164	107970.742	80856.391	105788.523	89788.266
3.3356	67186.312	85184.727	90275.406	59275.277	112577.406	96749.203	52658.188	107925.109	79244.742	118548.969	116080.211	59666.574	80550.047	89830.797	95697.312	53127.961	121188.523	147645.203	112783.297	82574.844	82832.523	54219.918	88231.602	38437.941	130404.641	53079.652	81794.633	93188.445	103793.789	103519.555	67424.391	145649.844	110233.914	104725.242	63281.824	73500.133	66875.406
3.469	98630.828	78786.945	70975.109	47413.781	90042.938	103938.539	74562.711	88163.484	115177.125	143630.141	114669.305	74858.328	98375.75	115080.68	65599.734	49652.504	165563.078	83150.797	162883.094	89014.906	57493.285	81591.406	57383.18	41306.355	140545.266	68251.539	95422.219	103905.672	143368.984	112192.375	108014.172	96854.891	88281.938	73457.773	48490.035	60091.305	46862.422
3.6024	116515.648	56829.125	52091.199	NaN	61288.98	80185.562	95119.25	62753.176	115261.422	117563.375	88408.352	70884.664	88593.453	94392.414	51454.727	47465.547	147332.031	58592.672	150613.625	64284.859	43955.508	142681.062	42869.133	47843.973	99348.711	63325.801	82171.992	82591.438	128399.086	86160.367	133920.391	60943.77	59722.445	54447.836	43138.578	56760.035	40048.34
3.7358	88828.484	44655.426	44559.406	NaN	48640.508	56439.031	86227.055	48404.633	77625.25	76843.234	63462.129	52765.188	65655.992	61487.555	50348.055	51355.645	86613.508	49637.441	95261.367	47246.168	39432.605	190213.672	NaN	54188.516	66087.594	49839.344	62899.656	58575.07	78235.141	59579.996	108816.047	49223.949	47395.84	46432.281	NaN	NaN	NaN
3.8692	60119.539	NaN	NaN	NaN	43790.039	44605.684	60506.551	41995.348	54781.008	56531.531	49474.371	41298.117	53352.887	47916.898	NaN	NaN	52376.039	43500.848	64145.18	40112.652	36314	178062.453	NaN	50039.156	51399.832	42126.105	52885.535	45713.625	52709.094	47705.594	67706.008	46067.828	41419.648	NaN	NaN	NaN	NaN
4.0027	49318.988	NaN	NaN	NaN	43004.469	41650.035	46037.773	NaN	NaN	49966.551	NaN	37077.633	49000.34	NaN	NaN	NaN	43259.359	NaN	54210.91	39276.582	NaN	114989.414	NaN	42359.137	NaN	40407.746	47316.945	41100.66	43457.211	NaN	47714.664	NaN	39891.004	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	43593.133	NaN	40168.758	NaN	NaN	NaN	NaN	NaN	51240.699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64689.578	NaN	39318.938	NaN	NaN	NaN	40230.723	37966.344	NaN	45369.789	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49177.492	NaN	37544.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44033.688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
