x	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_18_2g	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_27_2g	Y_20181208_15100_4_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100_9_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_24_2g
2.535	29286.8867	27625.7188	32552.9219	32098.8691	31291.6113	32736.5332	35320.168	35837.7891	33967.1484	36511.4102	32837.9609	29985.0312	35510.582	31603.1055	32141.9805	36469.3867
2.6684	35008.3438	28672.4648	33432.332	33419.1523	34141.7227	34184.1562	36490.2109	35208.9648	41032.0781	44345.1094	34536.7422	30843.1797	43882.8594	32680.0332	32366.6895	43643.8164
2.8019	51385.3711	31217.7773	35777.7344	32169.1953	40002.1211	36953.5586	37053.0742	35029.7617	55263.5391	61220.4922	39368.5781	30313.2734	61930.4219	33183.4531	34482.1875	65336.9375
2.9353	80930.6016	35067.2227	39776.5195	31117.498	53880.2383	42119.793	43617.5625	38630.0039	84352.8828	74037.1953	53156.2422	30161.7832	72938.5	36851.4492	36020.293	100712.2422
3.0687	96953	49690.6914	52722.875	34175.7188	92025.5156	57078.2539	57687.7539	45408.4102	105042.4922	66093.4922	77350.4531	32712.1367	60340.7422	47093.3477	39919.6602	108653.7734
3.2021	73134.6016	78431.3359	83383.1797	35641.082	132575.5781	86025.7891	87348.0547	64760.1211	87268.3672	48687.5977	108962.2812	36239.5859	42652.3516	73468.1797	50261.6641	78153.8438
3.3355	52121.9609	92161.5312	106057.9062	40176.957	112406.1953	102465.6562	126074.5312	102634.1328	59272.3945	37397.2305	120412.3672	43407.8945	34044.5391	95542.0234	76815.9531	49945.5078
3.469	42828.8555	72549.1641	90045.3047	51635.4688	70196.0312	77780.0156	124722.0703	124281.5703	45772.082	33343.7578	89865.8047	60320.3086	31757.1152	87064.9062	128345.5938	39067.3477
3.6024	NaN	49585.4375	59939.3555	48540.8711	46933.2617	53277.0391	84557.0703	102654.625	38884.6602	32714.1562	55326.2266	84145.5625	30066.7461	64580.9883	151171.0312	34801.5508
3.7358	NaN	37293.4219	44602.7305	40231.0508	40977.3555	41900.3594	54877.2461	63980.8594	34726.6406	NaN	39903.6992	85561.1797	NaN	48121.9492	114178.3125	32386.3398
3.8692	NaN	33106.5742	38107.0859	35564.3086	33537.6562	38573.6641	43006.3633	43374.8086	33945.4844	NaN	35732.0234	60702.6055	NaN	39371.1367	63826.3711	NaN
4.0027	NaN	30412.6641	34104.4062	33366.2344	35140.7812	36089.6055	39607.9258	35966.5078	32394.0332	NaN	32045.6504	43555.8906	NaN	36666.4023	42552.2578	NaN
4.1361	NaN	30148.8027	32833.3281	33168.7773	33430.1797	34995.9297	38135.7031	31260.1504	NaN	NaN	32414.0703	36519.6211	NaN	33837.7031	35372.6289	NaN
4.2695	NaN	30464.3828	31676.5352	NaN	32869.4258	35300.9648	36222.457	31868.5273	NaN	NaN	NaN	32874.2422	NaN	33518.832	33241.7109	NaN
4.4029	NaN	31727.1367	31726.0312	NaN	33270.1992	34659.8203	34718.5312	NaN	NaN	NaN	NaN	32297.9766	NaN	NaN	31403.2578	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	34818.3086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30721.5332	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
