x	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_5g
1.6011	13381.8027	10456.1162	13837.1572	12349.0439	14187.8232	13728.293	12809.9033	12248.5908	11930.3311	15480.9658	15495.2979	13686.3047	14652.9375	13140.043	NaN	14449.8516	12159.0352	15470.8613
1.7345	13679.4629	11204.7998	12593.541	12224.8184	13289.6807	12848.2852	12970.6025	12782.8857	11697.5176	14583.4121	14343.9082	15301.1895	14160.6309	12818.0371	NaN	13626.3633	NaN	13755.7158
1.8679	13184.5664	NaN	11968.6592	12336.0547	12466.6348	13476.9814	13122.2656	12434.3848	11434.291	13481.4941	12678.9189	NaN	13521.4619	12202.3555	NaN	13832.6074	NaN	13700.1074
2.0013	12956.6787	NaN	12191.9395	12704.4941	11541.5059	13989.6299	12688.9141	12391.7461	11721.1523	13694.0898	12355.6006	NaN	13159.918	11838.5527	NaN	13842.7725	NaN	14463.166
2.1347	13341.8809	NaN	NaN	12072.3652	11823.5479	13784.2822	NaN	12785.6748	11778.5088	12740.8145	12067.2969	NaN	13155.6973	12003.3262	NaN	13928.5527	NaN	13301.1865
2.2682	13481.4502	NaN	NaN	11713.0889	NaN	13185.8271	NaN	12785.7432	11930.5781	13368.2354	11704.7617	NaN	12667.7568	NaN	NaN	14215.0977	NaN	12096.2627
2.4016	NaN	NaN	NaN	NaN	NaN	13803.0039	NaN	NaN	NaN	NaN	11590.665	NaN	12832.3389	NaN	NaN	13917.3887	NaN	11499.6709
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11759.9482	NaN	13037.5723	NaN	NaN	NaN	NaN	11758.6104
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11831.6572	NaN	12252.6826	NaN	NaN	NaN	NaN	11584.1172
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11683.0801	NaN	NaN	NaN	NaN	NaN	NaN	11812.4336
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
